nohup: ignoring input

✅ Config validation passed: /workspaces/Aria/config/master_orchestrator.yaml
[master] Starting daemon mode...
[master] Check interval: 60 seconds
[master] Health check at 2026-03-29 10:52:12
[master] Health check at 2026-03-29 10:53:14
[master] Health check at 2026-03-29 10:54:17
[master] Health check at 2026-03-29 10:55:22
[master] Health check at 2026-03-29 10:56:27
[master] Health check at 2026-03-29 10:57:33
[master] Health check at 2026-03-29 10:58:35
[master] Health check at 2026-03-29 10:59:41
[master] Health check at 2026-03-29 11:00:46
[master] Health check at 2026-03-29 11:01:51
[master] Health check at 2026-03-29 11:02:57
[master] Health check at 2026-03-29 11:04:02
[master] Health check at 2026-03-29 11:05:07
[master] Health check at 2026-03-29 11:06:10
[master] Health check at 2026-03-29 11:07:15
[master] Health check at 2026-03-29 11:08:19
[master] Health check at 2026-03-29 11:09:24
[master] Health check at 2026-03-29 11:10:27
[master] Health check at 2026-03-29 11:11:32
[master] Health check at 2026-03-29 11:12:37
[master] Health check at 2026-03-29 11:13:39
[master] Health check at 2026-03-29 11:14:44
[master] Health check at 2026-03-29 11:15:49
[master] Health check at 2026-03-29 11:16:54
[master] Health check at 2026-03-29 11:17:59
[master] Health check at 2026-03-29 11:19:04
[master] Health check at 2026-03-29 11:20:09
[master] Health check at 2026-03-29 11:21:12
[master] Health check at 2026-03-29 11:22:17
[master] Health check at 2026-03-29 11:23:22
[master] Health check at 2026-03-29 11:24:27
[master] Health check at 2026-03-29 11:25:31
[master] Health check at 2026-03-29 11:26:36
[master] Health check at 2026-03-29 11:27:41
[master] Health check at 2026-03-29 11:28:47
[master] Health check at 2026-03-29 11:29:52
[master] Health check at 2026-03-29 11:30:58
[master] Health check at 2026-03-29 11:32:03
[master] Health check at 2026-03-29 11:33:06
[master] Health check at 2026-03-29 11:34:12
[master] Health check at 2026-03-29 11:35:18
[master] Health check at 2026-03-29 11:36:23
[master] Health check at 2026-03-29 11:37:29
[master] Health check at 2026-03-29 11:38:35
[master] Health check at 2026-03-29 11:39:40
[master] Health check at 2026-03-29 11:40:45
[master] Health check at 2026-03-29 11:41:48
[master] Health check at 2026-03-29 11:42:53
[master] Health check at 2026-03-29 11:43:58
[master] Health check at 2026-03-29 11:45:00
[master] Health check at 2026-03-29 11:46:06
[master] Health check at 2026-03-29 11:47:11
[master] Health check at 2026-03-29 11:48:16
[master] Health check at 2026-03-29 11:49:22
[master] Health check at 2026-03-29 11:50:27
[master] Health check at 2026-03-29 11:51:32
[master] Health check at 2026-03-29 11:52:35
[master] Health check at 2026-03-29 11:53:40
[master] Health check at 2026-03-29 11:54:45
[master] Health check at 2026-03-29 11:55:50
[master] Health check at 2026-03-29 11:56:55
[master] Health check at 2026-03-29 11:58:01
[master] Health check at 2026-03-29 11:59:07
[master] Health check at 2026-03-29 12:00:12
[master] Health check at 2026-03-29 12:01:15
[master] Health check at 2026-03-29 12:02:21
[master] Health check at 2026-03-29 12:03:27
[master] Health check at 2026-03-29 12:04:32
[master] Health check at 2026-03-29 12:05:38
[master] Health check at 2026-03-29 12:06:44
[master] Health check at 2026-03-29 12:07:50
[master] Health check at 2026-03-29 12:08:53
[master] Health check at 2026-03-29 12:09:58
[master] Health check at 2026-03-29 12:11:04
[master] Health check at 2026-03-29 12:12:10
[master] Health check at 2026-03-29 12:13:15
[master] Health check at 2026-03-29 12:14:21
[master] Health check at 2026-03-29 12:15:26
[master] Health check at 2026-03-29 12:16:29
[master] Health check at 2026-03-29 12:17:34
[master] Health check at 2026-03-29 12:18:39
[master] Health check at 2026-03-29 12:19:44
[master] Health check at 2026-03-29 12:20:49
[master] Health check at 2026-03-29 12:21:54
[master] Health check at 2026-03-29 12:22:59
[master] Health check at 2026-03-29 12:24:02
[master] Health check at 2026-03-29 12:25:07
[master] Health check at 2026-03-29 12:26:09
[master] Health check at 2026-03-29 12:27:13
[master] Health check at 2026-03-29 12:28:18
[master] Health check at 2026-03-29 12:29:24
[master] Health check at 2026-03-29 12:30:30
[master] Health check at 2026-03-29 12:31:33
[master] Health check at 2026-03-29 12:32:38
[master] Health check at 2026-03-29 12:33:44
[master] Health check at 2026-03-29 12:34:50
[master] Health check at 2026-03-29 12:35:56
[master] Health check at 2026-03-29 12:37:02
[master] Health check at 2026-03-29 12:38:07
[master] Health check at 2026-03-29 12:39:10
[master] Health check at 2026-03-29 12:40:16
[master] Health check at 2026-03-29 12:41:20
[master] Health check at 2026-03-29 12:42:23
[master] Health check at 2026-03-29 12:43:27
[master] Health check at 2026-03-29 12:44:32
[master] Health check at 2026-03-29 12:45:37
[master] Health check at 2026-03-29 12:46:42
[master] Health check at 2026-03-29 12:47:44
[master] Health check at 2026-03-29 12:48:49
[master] Health check at 2026-03-29 12:49:54
[master] Health check at 2026-03-29 12:50:59
[master] Health check at 2026-03-29 12:52:04
[master] Health check at 2026-03-29 12:53:10
[master] Health check at 2026-03-29 12:54:14
[master] Health check at 2026-03-29 12:55:17
[master] Health check at 2026-03-29 12:56:23
[master] Health check at 2026-03-29 12:57:27
[master] Health check at 2026-03-29 12:58:32
[master] Health check at 2026-03-29 12:59:35
[master] Health check at 2026-03-29 13:00:39
[master] Health check at 2026-03-29 13:01:45
[master] Health check at 2026-03-29 13:02:50
[master] Health check at 2026-03-29 13:03:56
[master] Health check at 2026-03-29 13:05:02
[master] Health check at 2026-03-29 13:06:08
[master] Health check at 2026-03-29 13:07:10
[master] Health check at 2026-03-29 13:08:16
[master] Health check at 2026-03-29 13:09:21
[master] Health check at 2026-03-29 13:10:26
[master] Health check at 2026-03-29 13:11:32
[master] Health check at 2026-03-29 13:12:35
[master] Health check at 2026-03-29 13:13:39
[master] Health check at 2026-03-29 13:14:44
[master] Health check at 2026-03-29 13:15:50
[master] Health check at 2026-03-29 13:16:55
[master] Health check at 2026-03-29 13:18:00
[master] Health check at 2026-03-29 13:19:00
[master] Health check at 2026-03-29 13:20:02
[master] Health check at 2026-03-29 13:21:07
[master] Health check at 2026-03-29 13:22:13
[master] Health check at 2026-03-29 13:23:18
[master] Health check at 2026-03-29 13:24:24
[master] Health check at 2026-03-29 13:25:30
[master] Health check at 2026-03-29 13:26:34
[master] Health check at 2026-03-29 13:27:39
[master] Health check at 2026-03-29 13:28:45
[master] Health check at 2026-03-29 13:29:51
[master] Health check at 2026-03-29 13:30:54
[master] Health check at 2026-03-29 13:32:00
[master] Health check at 2026-03-29 13:33:07
[master] Health check at 2026-03-29 13:34:12
[master] Health check at 2026-03-29 13:35:15
[master] Health check at 2026-03-29 13:36:21
[master] Health check at 2026-03-29 13:37:27
[master] Health check at 2026-03-29 13:38:33
[master] Health check at 2026-03-29 13:39:38
[master] Health check at 2026-03-29 13:40:42
[master] Health check at 2026-03-29 13:41:48
[master] Health check at 2026-03-29 13:42:50
[master] Health check at 2026-03-29 13:43:56
[master] Health check at 2026-03-29 13:45:01
[master] Health check at 2026-03-29 13:46:06
[master] Health check at 2026-03-29 13:47:12
[master] Health check at 2026-03-29 13:48:17
[master] Health check at 2026-03-29 13:49:22
[master] Health check at 2026-03-29 13:50:24
[master] Health check at 2026-03-29 13:51:29
[master] Health check at 2026-03-29 13:52:35
[master] Health check at 2026-03-29 13:53:40
[master] Health check at 2026-03-29 13:54:45
[master] Health check at 2026-03-29 13:55:50
[master] Health check at 2026-03-29 13:56:55
[master] Health check at 2026-03-29 13:57:58
[master] Health check at 2026-03-29 13:59:03
