raw,target
1.94,P
2.04,N
2.04,N
2.0,N
2.0,N
2.0,N
2.02,N
2.0,N
2.0,N
2.0,N
2.04,N
2.06,N
2.04,N
1.94,P
1.84,P
1.84,P
1.92,P
2.0,N
2.04,N
2.06,N
2.04,N
2.06,N
2.1,N
2.06,N
2.04,N
2.04,N
2.02,N
1.46,P
2.0,N
2.04,N
2.04,N
1.86,P
1.7,P
2.02,N
2.06,N
2.04,N
2.08,N
2.06,N
2.04,N
2.06,N
2.0,N
2.06,N
1.96,P
1.84,P
2.02,N
2.04,N
2.08,N
2.02,N
2.06,N
2.06,N
2.04,N
2.08,N
1.98,P
1.76,P
2.06,N
2.04,N
2.12,N
2.06,N
1.88,P
2.06,N
2.06,N
2.02,N
2.08,N
2.02,N
1.92,P
1.8,P
2.0,P
2.04,N
2.06,N
2.08,N
2.08,N
2.06,N
2.06,N
2.08,N
2.12,N
2.14,N
2.14,N
2.14,N
2.14,N
2.12,N
2.12,N
2.12,N
2.12,N
2.12,N
2.12,N
2.08,N
2.06,N
2.08,N
2.1,N
2.08,N
2.06,N
1.94,P
1.94,P
1.94,P
2.08,N
2.08,N
2.04,N
2.06,N
2.08,N
2.08,N
2.12,N
2.06,N
2.06,N
2.02,N
1.92,P
2.04,N
2.08,N
2.04,N
1.36,P
2.08,N
2.08,N
2.08,N
2.1,N
2.12,N
2.06,N
2.08,N
2.08,N
2.04,N
1.64,P
2.04,N
1.9,P
2.0,P
2.06,N
2.08,N
2.1,N
2.1,N
2.1,N
2.08,N
2.08,N
2.08,N
2.08,N
2.08,N
2.1,N
2.1,N
2.1,N
2.08,N
2.02,P
1.96,P
1.88,P
1.94,P
1.96,P
1.92,P
1.92,P
1.92,P
1.92,P
1.88,P
1.94,P
2.0,P
2.04,N
2.1,N
2.1,N
2.08,N
2.04,N
2.06,N
2.1,N
1.94,P
2.1,N
2.1,N
2.08,N
2.08,N
2.08,N
2.08,N
2.1,N
2.1,N
2.12,N
2.1,N
2.08,N
2.12,N
2.16,N
2.14,N
2.08,N
2.08,N
2.1,N
2.1,N
2.08,N
2.06,N
1.7,P
1.96,P
1.92,P
1.98,P
2.04,N
2.08,N
2.1,N
2.12,N
2.12,N
2.1,N
2.08,N
2.04,N
2.04,N
2.08,N
2.1,N
1.62,P
2.1,N
2.08,N
2.1,N
2.12,N
2.1,N
2.1,N
2.16,N
2.18,N
2.18,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.14,N
1.84,P
2.1,N
2.1,N
2.08,N
2.1,N
2.12,N
2.16,N
2.12,N
2.1,N
2.1,N
2.08,N
2.06,N
2.04,P
2.04,P
2.0,P
1.76,P
1.92,P
2.0,P
1.92,P
2.0,P
2.02,P
2.06,N
2.1,N
2.1,N
2.1,N
2.1,N
2.08,N
2.04,P
1.94,P
1.94,P
2.0,P
1.94,P
1.88,P
1.86,P
2.04,P
2.08,N
2.1,N
2.16,N
2.12,N
1.56,P
2.18,N
1.84,P
2.12,N
2.1,N
2.12,N
2.1,N
2.1,N
2.12,N
1.94,P
2.06,N
2.16,N
2.16,N
2.14,N
2.12,N
2.12,N
2.08,N
2.12,N
1.94,P
2.0,P
2.14,N
2.16,N
2.16,N
2.12,N
2.12,N
2.06,P
2.14,N
1.92,P
2.04,P
2.12,N
2.14,N
2.16,N
2.14,N
2.1,N
2.12,N
2.06,P
2.14,N
2.0,P
1.88,P
2.06,P
2.12,N
2.1,N
2.1,N
2.18,N
2.12,N
2.12,N
2.12,N
1.46,P
2.1,N
2.12,N
1.58,P
2.12,N
2.06,P
2.08,N
2.12,N
2.16,N
2.12,N
2.02,P
1.92,P
1.92,P
1.84,P
2.08,N
2.1,N
2.12,N
2.16,N
2.14,N
2.12,N
2.16,N
2.18,N
2.18,N
2.18,N
2.18,N
2.16,N
2.16,N
2.16,N
2.16,N
2.18,N
2.2,N
2.18,N
1.48,P
2.1,N
2.1,N
2.12,N
2.12,N
2.08,N
1.96,P
1.92,P
1.92,P
2.08,N
2.16,N
2.14,N
2.08,N
2.1,N
2.12,N
2.14,N
2.12,N
2.16,N
2.16,N
0.82,P
2.2,N
1.48,P
2.12,N
2.16,N
2.08,N
1.92,P
2.02,P
2.16,N
2.08,N
2.16,N
2.14,N
2.14,N
2.2,N
2.16,N
2.1,N
1.92,P
2.16,N
2.08,N
2.16,N
2.16,N
2.16,N
2.18,N
2.18,N
2.1,N
2.0,P
2.08,N
2.16,N
2.08,N
2.16,N
2.16,N
2.14,N
2.16,N
2.16,N
2.16,N
2.2,N
2.2,N
2.16,N
2.12,N
2.16,N
2.16,N
2.12,N
2.12,N
2.1,N
2.08,P
2.0,P
1.82,P
1.88,P
1.92,P
1.96,P
1.96,P
1.94,P
1.92,P
1.82,P
2.02,P
2.1,N
2.16,N
2.18,N
2.16,N
2.16,N
2.2,N
2.2,N
2.16,N
2.16,N
2.16,N
2.14,N
2.16,N
1.6,P
2.12,N
2.1,N
2.16,N
2.16,N
2.0,P
1.92,P
2.08,P
2.12,N
2.14,N
1.52,P
2.2,N
2.16,N
2.16,N
2.16,N
2.14,N
2.14,N
2.14,N
1.94,P
2.1,P
2.18,N
1.36,P
2.2,N
2.18,N
2.16,N
2.16,N
2.1,P
2.16,N
2.04,P
1.92,P
2.08,P
2.12,N
2.14,N
2.16,N
2.22,N
2.16,N
2.16,N
2.16,N
2.14,N
2.12,N
2.16,N
2.16,N
2.12,N
2.08,P
2.12,N
2.16,N
2.18,N
2.1,P
1.96,P
1.92,P
1.92,P
2.08,P
2.12,N
2.16,N
2.2,N
2.2,N
2.18,N
2.16,N
2.16,N
2.14,N
2.12,N
2.12,N
2.14,N
2.16,N
2.16,N
2.2,N
2.22,N
2.2,N
2.18,N
2.16,N
2.12,N
2.1,P
2.1,P
1.96,P
1.76,P
1.96,P
2.08,P
1.96,P
2.04,P
2.1,P
2.16,N
2.16,N
2.16,N
2.16,N
2.1,P
2.14,N
2.16,N
2.18,N
2.16,N
2.16,N
2.18,N
1.96,P
2.2,N
2.16,N
2.16,N
2.16,N
2.12,N
2.06,P
2.08,P
2.18,N
2.12,N
2.16,N
2.16,N
2.16,N
2.2,N
2.16,N
2.18,N
1.68,P
2.08,P
2.18,N
2.18,N
2.16,N
2.18,N
2.22,N
2.16,N
2.12,N
1.96,P
2.18,N
2.1,P
1.72,P
2.16,N
2.18,N
2.2,N
2.22,N
2.16,N
2.18,N
2.16,N
2.1,P
1.86,P
2.06,P
2.06,P
2.18,N
2.18,N
2.16,N
2.1,P
2.12,N
2.16,N
1.98,P
2.18,N
2.18,N
2.18,N
2.18,N
2.18,N
2.18,N
2.18,N
1.88,P
2.16,N
2.16,N
2.12,N
2.1,P
2.16,N
2.2,N
2.2,N
2.16,N
2.06,P
1.96,P
1.96,P
1.94,P
1.9,P
2.02,P
2.14,N
2.18,N
2.2,N
2.22,N
2.2,N
2.2,N
2.24,N
2.2,N
2.16,N
2.18,N
2.16,N
2.16,N
1.76,P
2.16,N
2.12,N
2.16,N
2.2,N
2.16,N
2.1,P
2.04,P
1.94,P
1.94,P
1.86,P
2.1,P
2.16,N
2.18,N
2.2,N
2.18,N
2.14,N
2.16,N
2.2,N
2.2,N
2.2,N
1.08,P
2.18,N
2.2,N
0.64,P
2.16,N
2.18,N
2.18,N
2.14,N
2.16,N
2.18,N
2.18,N
2.08,P
2.0,P
1.96,P
1.86,P
2.12,P
2.14,N
2.16,N
2.16,N
2.16,N
2.16,N
2.18,N
2.2,N
2.2,N
2.2,N
2.2,N
2.18,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.2,N
2.26,N
2.26,N
2.24,N
2.22,N
2.18,N
1.54,P
2.18,N
2.2,N
2.18,N
2.2,N
2.18,N
2.16,N
2.18,N
2.18,N
2.18,N
2.18,N
1.86,P
1.48,P
1.66,P
2.16,N
2.2,N
2.2,N
2.18,N
2.16,N
2.16,N
0.78,P
2.18,N
2.2,N
2.2,N
2.18,N
2.18,N
2.1,P
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
0.58,P
2.18,N
2.18,N
2.18,N
2.18,N
2.18,N
2.18,N
2.18,N
2.18,N
2.2,N
2.2,N
2.22,N
2.2,N
2.2,N
1.42,P
2.16,N
2.16,N
2.2,N
2.2,N
2.14,N
2.16,N
2.2,N
2.12,P
2.06,P
1.96,P
2.16,N
2.18,N
2.16,N
2.24,N
2.2,N
2.2,N
2.2,N
2.18,N
2.2,N
2.2,N
2.14,N
2.16,N
2.2,N
2.18,N
2.08,P
2.02,P
1.88,P
2.02,P
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.18,N
2.2,N
2.2,N
2.22,N
2.2,N
2.16,N
1.84,P
1.94,P
1.96,P
2.08,P
2.16,N
2.22,N
2.2,N
2.14,P
2.18,N
1.88,P
2.18,N
2.16,N
2.2,N
2.2,N
2.24,N
2.18,N
2.22,N
2.18,N
2.0,P
2.08,P
2.22,N
2.14,P
1.94,P
2.18,N
2.2,N
2.24,N
1.92,P
2.22,N
2.2,N
1.74,P
2.08,P
2.18,N
2.22,N
2.16,N
2.2,N
2.2,N
2.18,N
2.2,N
2.22,N
2.2,N
2.26,N
2.34,N
2.36,N
1.88,P
2.26,N
2.22,N
2.2,N
2.2,N
2.22,N
1.72,P
2.28,N
2.3,N
2.28,N
2.22,N
2.2,N
2.22,N
2.2,N
2.18,N
2.2,N
2.2,N
2.16,N
2.2,N
2.24,N
2.12,P
2.16,N
2.06,P
2.24,N
2.24,N
2.22,N
2.28,N
2.22,N
2.24,N
2.2,N
2.24,N
2.18,N
2.2,N
2.22,N
2.0,P
1.92,P
2.16,N
2.2,N
2.2,N
2.28,N
2.24,N
2.22,N
2.22,N
2.2,N
2.2,N
2.2,N
1.36,P
2.22,N
2.2,N
2.16,N
2.16,N
2.16,N
2.2,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.2,N
2.2,N
2.18,N
2.18,N
2.18,N
2.18,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.16,N
2.18,N
2.2,N
2.22,N
2.24,N
2.24,N
2.2,N
2.02,P
2.12,P
2.0,P
1.92,P
2.14,P
2.16,N
2.18,N
2.2,N
2.24,N
2.26,N
2.26,N
2.24,N
2.2,N
2.18,N
2.18,N
2.2,N
2.24,N
2.24,N
2.24,N
2.2,N
2.0,P
2.04,P
2.24,N
2.2,N
2.22,N
2.2,N
2.24,N
2.28,N
2.3,N
2.32,N
2.08,P
2.04,P
2.24,N
2.18,N
2.22,N
2.24,N
2.24,N
2.2,N
2.3,N
2.2,N
2.02,P
2.24,N
2.16,P
2.22,N
2.24,N
2.24,N
2.24,N
2.24,N
1.8,P
2.12,P
2.24,N
2.22,N
2.24,N
2.24,N
2.24,N
2.28,N
2.24,N
2.2,N
2.0,P
2.12,P
2.24,N
2.18,N
2.24,N
2.24,N
2.22,N
2.3,N
2.22,N
2.22,N
1.88,P
2.12,P
2.24,N
2.18,N
2.24,N
2.18,N
2.24,N
2.28,N
2.12,P
2.22,N
2.22,N
2.2,N
1.94,P
2.06,P
2.04,P
2.12,P
2.2,N
2.24,N
2.24,N
2.24,N
2.24,N
2.22,N
2.2,N
2.18,N
2.18,N
2.18,N
2.16,P
2.18,N
2.18,N
2.2,N
2.22,N
2.24,N
2.24,N
2.26,N
2.24,N
2.16,P
2.0,P
2.08,P
2.02,P
2.22,N
2.24,N
2.22,N
2.32,N
2.16,P
2.24,N
2.24,N
2.24,N
2.22,N
2.24,N
2.02,P
2.08,P
2.24,N
2.24,N
2.32,N
2.18,N
2.26,N
2.22,N
2.24,N
2.18,N
2.26,N
2.12,P
1.98,P
2.2,N
2.26,N
2.24,N
2.32,N
2.26,N
2.24,N
2.26,N
2.24,N
2.24,N
2.2,N
2.24,N
2.22,N
2.18,N
2.18,N
2.18,N
2.22,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.22,N
2.22,N
2.2,N
2.18,P
2.16,P
2.12,P
2.12,P
2.12,P
2.06,P
2.0,P
2.06,P
2.06,P
1.9,P
2.06,P
2.2,N
2.24,N
2.26,N
2.28,N
2.24,N
1.76,P
2.32,N
2.24,N
2.26,N
0.72,P
2.24,N
2.18,P
2.2,N
2.2,N
2.26,N
2.24,N
2.08,P
2.08,P
2.0,P
2.22,N
2.28,N
2.24,N
2.26,N
2.32,N
2.26,N
2.26,N
2.26,N
2.24,N
2.26,N
2.26,N
2.2,N
2.2,N
2.24,N
2.26,N
2.26,N
2.22,N
2.14,P
2.12,P
2.1,P
2.1,P
2.14,P
2.16,P
2.22,N
2.26,N
2.26,N
2.24,N
2.18,P
2.22,N
1.84,P
2.24,N
1.96,P
2.26,N
2.26,N
2.32,N
2.24,N
2.26,N
2.2,N
1.92,P
2.04,P
2.26,N
2.24,N
2.22,N
2.26,N
0.76,P
2.24,N
2.32,N
2.26,N
2.28,N
2.22,N
1.9,P
2.02,P
2.24,N
2.26,N
2.18,P
2.26,N
2.26,N
2.24,N
2.26,N
2.24,N
2.32,N
2.32,N
2.24,N
2.26,N
2.24,N
2.18,P
1.96,P
2.02,P
2.14,P
2.24,N
2.26,N
2.26,N
2.24,N
2.22,N
2.2,N
2.18,P
2.2,N
2.2,N
2.2,N
2.22,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.22,N
2.18,P
2.2,N
2.24,N
2.26,N
2.18,P
2.26,N
2.24,N
2.24,N
0.78,P
2.26,N
2.28,N
2.26,N
2.24,N
1.7,P
2.28,N
2.3,N
2.32,N
2.32,N
2.32,N
2.32,N
1.92,P
2.28,N
2.26,N
2.24,N
2.26,N
2.26,N
2.28,N
2.26,N
2.26,N
2.24,N
2.22,N
2.2,N
2.2,N
2.1,P
1.96,P
1.86,P
1.86,P
1.88,P
1.9,P
1.9,P
1.88,P
1.86,P
1.86,P
1.86,P
1.84,P
1.86,P
1.88,P
1.9,P
1.92,P
1.96,P
2.02,P
2.1,P
2.1,P
2.06,P
2.0,P
2.08,P
2.14,P
2.18,P
2.22,N
2.24,N
2.24,N
2.26,N
2.26,N
2.24,N
2.24,N
2.2,N
2.16,P
2.1,P
2.0,P
2.08,P
2.06,P
1.86,P
1.94,P
2.16,P
2.2,N
2.22,N
2.24,N
2.26,N
2.26,N
2.26,N
2.28,N
2.28,N
2.28,N
2.28,N
2.28,N
2.28,N
2.28,N
2.28,N
2.28,N
2.28,N
2.26,N
2.26,N
2.24,N
2.28,N
2.32,N
2.32,N
2.32,N
2.28,N
2.24,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
1.52,P
1.96,P
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.22,N
2.22,N
2.2,N
2.2,N
2.2,N
2.18,P
2.18,P
2.18,P
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.18,P
2.18,P
2.2,N
2.2,N
2.24,N
2.26,N
2.26,N
1.68,P
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.24,N
2.08,P
2.2,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.28,N
2.28,N
2.28,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.28,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
1.56,P
2.02,P
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.2,N
2.2,N
2.2,N
2.2,N
2.24,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.22,N
2.22,N
2.2,N
2.2,N
2.2,N
2.2,N
2.22,N
2.22,N
2.22,N
2.22,N
2.22,N
2.2,N
2.2,N
2.18,P
2.14,P
2.14,P
2.1,P
2.06,P
2.0,P
2.02,P
2.04,P
2.08,P
2.1,P
2.1,P
2.08,P
2.04,P
2.0,P
2.0,P
1.98,P
1.98,P
1.96,P
1.96,P
1.96,P
1.96,P
1.94,P
1.92,P
1.92,P
1.9,P
1.88,P
1.86,P
1.86,P
1.92,P
2.0,P
2.08,P
2.12,P
2.14,P
2.16,P
2.16,P
2.16,P
2.16,P
2.16,P
2.12,P
2.08,P
2.04,P
2.0,P
1.96,P
1.96,P
1.92,P
1.92,P
1.92,P
1.92,P
1.92,P
1.92,P
1.94,P
1.96,P
1.96,P
1.98,P
2.0,P
2.0,P
1.96,P
1.94,P
1.9,P
1.86,P
1.84,P
1.84,P
1.84,P
1.88,P
1.92,P
1.96,P
2.0,P
2.04,P
2.08,P
2.08,P
2.1,P
2.1,P
2.1,P
2.1,P
2.1,P
2.08,P
2.06,P
2.04,P
2.02,P
2.0,P
2.0,P
1.98,P
1.98,P
1.98,P
2.0,P
2.02,P
2.08,P
2.1,P
2.1,P
2.1,P
2.06,P
2.02,P
2.0,P
2.04,P
2.08,P
2.12,P
2.14,P
2.14,P
2.18,P
2.2,N
2.22,N
2.22,N
2.22,N
2.22,N
2.24,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.28,N
2.28,N
2.26,N
2.26,N
2.26,N
2.24,N
2.22,N
2.2,N
2.18,P
2.2,N
2.2,N
2.22,N
2.24,N
2.26,N
2.26,N
1.9,P
1.86,P
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
1.8,P
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.28,N
2.28,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.12,P
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.24,N
1.36,P
2.24,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.22,N
2.22,N
2.22,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.2,N
2.22,N
2.22,N
2.24,N
2.24,N
2.26,N
2.26,N
2.26,N
2.0,P
1.56,P
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.12,P
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.26,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
2.24,N
,P
,N
,P
,N
,N
,P
,P
,P
,N
,N
,N
,N
,N
,P
,N
,N
,P
,N
,N
,N
,P
,P
,P
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
,P
,N
,P
,N
,N
,N
,P
,N
,N
,N
,N
,N
,P
,N
,P
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,P
,N
,P
,N
,N
,P
,N
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
,N
,N
,N
,P
,N
,P
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
,P
,N
,N
,N
,N
,P
,N
,N
,N
,N
,P
,N
,P
,P
,N
,N
,N
,P
,N
,N
,N
,N
,N
,N
,N
,N
,P
,P
,P
,P
,N
,N
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
,N
,P
,N
,P
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,P
,N
,P
,P
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,P
,P
,N
,P
,N
,N
,N
,P
,P
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
2.0047616565294915,N
2.018254552397021,N
2.134537914080988,N
2.224134540760834,N
2.2487308034967275,N
2.154841469844362,N
2.050653133014039,N
1.9840239182669726,N
2.084971556103737,N
2.207097673425776,N
2.108676089785421,N
2.2041045391555065,P
2.2579816758217897,N
2.0010260060001683,P
2.1776907100215612,N
2.0202998652972015,N
2.1879832950718843,N
2.134943820943964,N
2.2306458135252893,N
1.9419329761301658,P
1.9849942955197841,P
2.2276207938953414,N
2.048015476547871,P
1.999449868774795,N
2.13718416190308,N
2.2331184335428444,N
2.097018584975024,N
2.1843551779795525,N
2.0,P
2.0603755798561423,P
2.20982932218227,P
2.129783442316431,N
2.013498851375602,N
2.1954767941355455,N
1.9858780435155943,P
2.026344559483589,N
2.224108290477635,N
2.151515966417987,N
2.1489467206151622,N
2.1001092309450824,N
2.2791295920717287,N
1.9356353974402112,N
2.0827816167805175,P
2.161221143751604,P
2.0490539598701774,N
1.938248429446816,N
1.8937643767782748,N
2.203135753172137,N
1.8877757738501442,N
2.237123983335947,N
2.255416024425983,N
2.0828219247811837,N
2.192838283016244,N
2.178492224112106,N
2.26,N
1.6455127656694069,P
2.1044297388467768,N
2.039363027108134,N
2.1812781015788616,P
1.9906916753470978,N
2.129513236635378,N
2.1273645058246125,N
2.212444792018518,N
2.1565497935201994,N
2.26,N
2.2583562499973384,N
2.16,N
2.2410292922979234,N
2.1756913331969066,N
2.1090641297610544,P
2.029535258818883,N
2.104246306485834,P
2.058559351270891,N
2.0734290899053573,P
1.8597391538179737,P
2.1786371038571217,N
2.2109963454365857,N
1.9448299087826277,N
2.206273233462287,N
2.160534808674571,N
1.96,P
2.100564296711744,N
2.205955351255755,N
1.9992265102407152,N
2.1783627445793186,N
2.0440403958666016,N
1.9670185749981721,N
2.105174915328314,N
1.9945908384358804,N
2.2076672691911425,N
2.144910780521655,N
2.056269410069996,N
2.26,N
2.2055752598418072,N
1.978309246418707,N
2.1950178984285063,N
1.9814950460167458,N
2.1575697145425217,N
1.884400082165045,P
1.8477985040271563,P
2.275805521452191,N
2.2234357287175146,N
2.0641400218023906,N
2.1372280136138118,N
2.1695405149734346,N
2.0470037198600326,N
1.9903561804556782,N
2.113043598004447,N
1.9930512451964455,N
2.141760927179461,N
2.0936801036231483,N
1.8052443403938572,P
1.9085840438357733,P
2.0379405201875302,N
2.0835200266780154,N
2.049088782430441,N
1.4654324327891817,N
2.0387775495267686,N
2.18525087946006,N
2.2267197747602188,N
2.0624027923766812,N
2.0919904978851442,N
1.7571410908691958,P
2.090991110549113,N
2.18,N
2.251839523195285,N
2.03883259012393,N
2.033799472942343,N
2.227199940404836,N
2.1504675457841524,N
1.973691959542525,P
2.0435791635854796,N
2.201392744054508,N
