Year,Row,Group,target
1988.0,41.0,11.0,N
1988.0,42.0,11.0,P
1988.0,43.0,11.0,N
1988.0,44.0,11.0,P
1988.0,45.0,12.0,N
1988.0,46.0,12.0,P
1988.0,47.0,12.0,P
1988.0,48.0,12.0,P
1988.0,49.0,13.0,P
1988.0,50.0,13.0,P
1988.0,51.0,13.0,P
1988.0,52.0,13.0,P
1989.0,1.0,1.0,P
1989.0,2.0,1.0,P
1989.0,3.0,1.0,P
1989.0,4.0,1.0,P
1989.0,5.0,2.0,P
1989.0,6.0,2.0,P
1989.0,7.0,2.0,P
1989.0,8.0,2.0,P
1989.0,9.0,3.0,P
1989.0,10.0,3.0,P
1989.0,11.0,3.0,P
1989.0,12.0,3.0,P
1989.0,13.0,4.0,P
1989.0,14.0,4.0,P
1989.0,15.0,4.0,P
1989.0,16.0,4.0,P
1989.0,17.0,5.0,P
1989.0,18.0,5.0,P
1989.0,19.0,5.0,P
1989.0,20.0,5.0,P
1989.0,21.0,6.0,P
1989.0,22.0,6.0,P
1989.0,23.0,6.0,P
1989.0,24.0,6.0,P
1989.0,25.0,7.0,P
1989.0,26.0,7.0,P
1989.0,27.0,7.0,P
1989.0,28.0,7.0,P
1989.0,29.0,8.0,P
1989.0,30.0,8.0,P
1989.0,31.0,8.0,P
1989.0,32.0,8.0,P
1989.0,33.0,9.0,P
1989.0,34.0,9.0,P
1989.0,35.0,9.0,P
1989.0,36.0,9.0,P
1989.0,37.0,10.0,P
1989.0,38.0,10.0,P
1989.0,39.0,10.0,P
1989.0,40.0,10.0,P
1989.0,41.0,11.0,P
1989.0,42.0,11.0,P
1989.0,43.0,11.0,P
1989.0,44.0,11.0,P
1989.0,45.0,12.0,P
1989.0,46.0,12.0,P
1989.0,47.0,12.0,P
1989.0,48.0,12.0,P
1989.0,49.0,13.0,P
1989.0,50.0,13.0,P
1989.0,51.0,13.0,P
1989.0,52.0,13.0,P
1990.0,1.0,1.0,P
1990.0,2.0,1.0,P
1990.0,3.0,1.0,N
1990.0,4.0,1.0,P
1990.0,5.0,2.0,N
1990.0,6.0,2.0,N
1990.0,7.0,2.0,N
1990.0,8.0,2.0,N
1990.0,9.0,3.0,N
1990.0,10.0,3.0,N
1990.0,11.0,3.0,N
1990.0,12.0,3.0,N
1990.0,13.0,4.0,N
1990.0,14.0,4.0,N
1990.0,15.0,4.0,N
1990.0,16.0,4.0,N
1990.0,17.0,5.0,N
1990.0,18.0,5.0,N
1990.0,19.0,5.0,N
1990.0,20.0,5.0,N
1990.0,21.0,6.0,N
1990.0,22.0,6.0,N
1990.0,23.0,6.0,N
1990.0,24.0,6.0,N
1990.0,25.0,7.0,N
1990.0,26.0,7.0,N
1990.0,27.0,7.0,N
1990.0,28.0,7.0,N
1990.0,29.0,8.0,N
1990.0,30.0,8.0,N
1990.0,31.0,8.0,P
1990.0,32.0,8.0,P
1990.0,33.0,9.0,P
1990.0,34.0,9.0,P
1990.0,35.0,9.0,P
1990.0,36.0,9.0,N
1990.0,37.0,10.0,P
1990.0,38.0,10.0,N
1990.0,39.0,10.0,P
1990.0,40.0,10.0,N
1990.0,41.0,11.0,P
1990.0,42.0,11.0,N
1990.0,43.0,11.0,P
1990.0,44.0,11.0,N
1990.0,45.0,12.0,N
1990.0,46.0,12.0,P
1990.0,47.0,12.0,P
1990.0,48.0,12.0,P
1990.0,49.0,13.0,P
1990.0,50.0,13.0,P
1990.0,51.0,13.0,P
1990.0,52.0,13.0,P
1991.0,1.0,1.0,N
1991.0,2.0,1.0,N
1991.0,3.0,1.0,N
1991.0,4.0,1.0,N
1991.0,5.0,2.0,N
1991.0,6.0,2.0,N
1991.0,7.0,2.0,N
1991.0,8.0,2.0,N
1991.0,9.0,3.0,N
1991.0,10.0,3.0,N
1991.0,11.0,3.0,N
1991.0,12.0,3.0,N
1991.0,13.0,4.0,N
1991.0,14.0,4.0,N
1991.0,15.0,4.0,N
1991.0,16.0,4.0,N
1991.0,17.0,5.0,N
1991.0,18.0,5.0,N
1991.0,19.0,5.0,N
1991.0,20.0,5.0,N
1991.0,21.0,6.0,N
1991.0,22.0,6.0,N
1991.0,23.0,6.0,N
1991.0,24.0,6.0,N
1991.0,25.0,7.0,N
1991.0,26.0,7.0,N
1991.0,27.0,7.0,N
1991.0,28.0,7.0,N
1991.0,29.0,8.0,N
1991.0,30.0,8.0,N
1991.0,31.0,8.0,N
1991.0,32.0,8.0,N
1991.0,33.0,9.0,N
1991.0,34.0,9.0,N
1991.0,35.0,9.0,N
1991.0,36.0,9.0,N
1991.0,37.0,10.0,N
1991.0,38.0,10.0,N
1991.0,39.0,10.0,N
1991.0,40.0,10.0,N
1991.0,41.0,11.0,N
1991.0,42.0,11.0,N
1991.0,43.0,11.0,N
1991.0,44.0,11.0,N
1991.0,45.0,12.0,N
1991.0,46.0,12.0,N
1991.0,47.0,12.0,N
1991.0,48.0,12.0,N
1991.0,49.0,13.0,N
1991.0,50.0,13.0,N
1991.0,51.0,13.0,P
1991.0,52.0,13.0,P
,,,P
,,,P
,,,P
,,,P
,,,N
,,,P
,,,P
,,,P
,,,P
,,,P
,,,N
,,,P
,,,N
,,,N
,,,N
,,,P
,,,P
,,,N
,,,P
,,,N
,,,N
,,,P
,,,N
,,,N
,,,P
,,,N
,,,N
,,,N
,,,P
,,,N
,,,P
,,,P
,,,N
,,,P
,,,N
,,,N
,,,N
,,,N
,,,N
,,,P
,,,N
,,,N
,,,N
,,,P
,,,N
,,,P
1985.6816721480209,44.04501644406275,11.681672148020917,P
1987.0741691707713,14.002567610822382,3.5191841953983953,N
1983.0,32.679326803512524,8.336950515289292,N
1984.5980508062173,16.77466048082371,4.794152418651625,N
1984.7541132510191,4.3688301234713816,1.5614716872452303,P
1988.5195755865893,25.274058212250686,6.558726759768004,P
1989.5302863167267,43.07544001780372,11.121145266906046,P
1986.945027097779,20.835081293337076,5.296684731852683,P
1986.1616738194566,45.83832618054337,11.94610872684779,P
1989.0,27.997103050692036,7.422296975186317,P
1986.0,37.23409792538865,9.570229377616597,P
1987.3498393285558,32.06006426857763,8.530032134288813,N
1990.8529222110226,9.90807638188916,2.981615276377832,N
1985.9200945689922,26.152056741395384,7.0,P
1984.4242604897622,12.151479020475648,3.575739510237824,N
1984.5137903475888,23.724980020019906,6.027580695177905,N
1989.8687406507888,7.7938777725539286,2.4375311640375434,P
1986.1867483448918,28.896074499534052,7.423190396439253,N
1984.9347819162258,45.95651065961296,11.73912766490324,P
1985.8057400362648,10.9359583318198,3.1368596010873433,P
1984.0447193917646,9.782589355880756,3.178877567058459,P
1988.673793349827,41.68982838693804,11.005345012370316,P
1984.1685593024645,25.618050775702937,7.140466085387031,P
1985.591389271558,27.827785431162297,6.956946357790574,P
1984.392342977172,20.56048996738838,5.168146990216514,N
1988.0,41.48765350533568,10.853615287238764,P
1987.108422983301,24.19265281630846,6.325268949902307,P
1988.0980517816402,42.183115440880194,10.895454157160053,P
1989.0712804631216,23.61186404802702,6.3366289022297275,P
1985.1610837709436,40.617240810184775,10.19458114528209,P
1986.0648384717151,25.533658848847615,6.805484584854826,P
1987.0993400782322,13.751649804419676,3.600439947845247,P
1983.0,22.94675435695546,6.062587711488009,P
1983.5837242054815,3.972873675802518,1.2918621027407555,N
1991.0,40.695319429077294,10.34087353396771,N
1985.7621012798738,9.114822482711833,2.308442960693725,N
1985.5835020003103,33.74645799348451,8.790738998293563,P
1985.8555143149058,10.55514314905757,2.711028629811514,P
1987.531318871936,11.218130152577366,2.9373622561283037,N
1985.460830302922,29.350225758198103,7.423962121347414,P
1988.6968967031783,15.591292308314676,4.378879121027304,P
1990.3818832928237,29.92717506076447,8.206038902392104,N
1987.5521022832984,30.27605114164924,8.0,N
1989.3604324662044,38.11654027036443,10.279135067591108,P
1985.5578136186969,48.76874552521261,12.442186381303152,P
1988.8771008262286,17.720588432799396,4.430147108199849,P
1983.0097469724783,51.990253027521604,13.0,P
1983.5875115700105,47.587511570010456,12.0,P
1985.517364764928,43.0,11.0,P
1990.8228266909753,43.17717330902465,11.0,N
1987.0,15.652534634699668,4.0,N
1983.8756314973316,7.124368502668405,2.0,P
1985.0,50.23015257773348,13.0,P
1988.8331329151235,9.833132915123649,3.0,P
1990.6829559941002,12.317044005899838,3.317044005899837,N
1986.0,32.83222306215078,8.83222306215078,P
1989.0,51.54120361759395,13.0,P
1988.2163280641662,6.0,2.0,P
1984.0,1.7759385782325818,1.0,P
1989.0,45.33406542319629,12.0,P
1987.0,15.84062439290533,4.0,P
1983.7045265965573,13.0,4.0,P
1985.8560656066995,13.0,4.0,P
1988.8801811487344,44.0,11.0,P
1987.314741825659,52.0,13.0,P
1990.0,8.034128964456405,2.0341289644564053,N
1986.0,47.35155895304508,12.0,P
1986.799594188493,37.200405811507,10.0,P
1988.0,30.286741224304198,8.0,N
1986.7315623382838,1.0,1.0,P
1987.0,15.746870778457428,4.0,N
1987.7608937949688,42.0,11.0,P
1991.0,31.618888315622005,8.0,N
1984.639830979644,1.639830979644135,1.0,P
1984.7684136271828,41.0,11.0,N
1983.3162587949507,13.316258794950729,4.0,P
1986.395476749979,1.0,1.0,P
1986.0,24.57493211499481,6.574932114994807,P
1988.1641654572131,19.0,5.0,P
1988.9213645343664,8.0,2.0,P
1984.0,14.427057368646143,4.0,P
1988.0598028096042,45.94019719039575,12.0,P
1984.80585238055,23.19414761944992,6.0,N
1986.3582846861416,25.0,7.0,P
1987.9340150477829,11.0,3.0,P
1984.7291808873797,7.270819112620341,2.0,N
1989.5881749847779,11.588174984777933,3.0,N
1989.0421396717122,45.0,12.0,N
1990.1914364770969,45.0,12.0,N
1990.0,38.25407397078088,10.0,N
1984.0,39.908022227712586,10.0,P
1984.925724840822,33.07427515917793,9.0,N
1984.0842681677743,52.0,13.0,P
1990.0,7.289592796891204,2.0,N
