a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql,target
-0.36726,-0.039639,0.339871,0.406919,0.269341,1.727579,0.731521,7.0,P
-0.080647,-0.480871,-0.056875,0.427646,2.067346,4.469856,0.159482,7.0,N
0.377473,0.042157,-0.443517,-0.24562,0.321352,8.350166,0.699156,6.0,N
0.228465,0.081504,0.433163,-0.070289,4.770358,7.173565,0.536842,6.0,N
0.104918,-0.25224,0.264217,0.367818,5.278111,1.257584,0.961029,6.0,P
-0.418001,0.364435,0.094917,-0.067391,0.334715,1.261947,0.765772,8.0,P
-0.073772,-0.481581,0.479091,0.310878,12.960645,5.164316,0.512654,5.0,N
0.213808,0.119237,-0.404345,0.042971,1.909828,0.940662,0.610355,7.0,P
-0.484822,0.213134,0.08034,0.393134,1.611954,11.637274,0.611787,7.0,N
0.156427,0.202019,0.055128,-0.070106,2.024997,1.720931,0.579362,5.0,P
-0.334392,-0.414114,0.387901,-0.08137,5.94134,5.875725,0.807533,6.0,N
0.07382,-0.108021,0.453707,0.358555,2.99491,0.899343,0.590436,7.0,P
0.480621,-0.485236,-0.363212,0.261824,2.884278,1.423723,0.807516,6.0,P
-0.16341,-0.341616,-0.324086,-0.316125,3.812983,0.349641,0.764788,5.0,P
0.318089,0.252974,0.241985,0.02392,4.067655,1.870271,0.686147,8.0,P
0.284921,0.397068,0.349405,-0.368916,0.133593,6.240584,0.891704,7.0,P
0.499868,0.24389,-0.056246,-0.186896,2.135483,2.92145,0.230669,5.0,N
0.414338,0.254947,0.211284,-0.427432,8.793123,1.909713,0.324446,6.0,N
-0.223736,-0.276368,-0.487926,0.10389,0.542293,2.972299,0.517848,6.0,P
0.298619,-0.130452,0.26336,-0.007112,5.297998,7.906304,0.837589,6.0,N
0.353683,-0.311727,0.040552,-0.313942,3.864538,3.508112,0.602164,7.0,N
-0.041672,-0.426083,0.078245,0.205493,0.2129,3.48263,0.890626,8.0,P
-0.0711,-0.234775,0.230457,-0.154374,1.66474,3.46461,0.654699,7.0,P
0.283291,0.442815,-0.286436,0.286574,2.325123,1.019473,0.415095,6.0,P
-0.458617,0.281956,0.238383,-0.294356,4.198712,4.186231,0.783972,8.0,N
-0.41153,0.478993,0.43524,-0.077066,2.423419,3.726223,0.662854,7.0,P
-0.2886,0.049513,-0.170652,0.11942,1.127256,2.444249,0.577481,6.0,P
0.327148,0.173704,0.175036,-0.206116,3.120578,4.907879,0.607404,7.0,N
-0.281197,0.208013,0.419414,-0.306681,8.000968,3.33443,0.81745,5.0,N
-0.320598,-0.078276,-0.419596,0.207586,3.742502,1.176898,0.53882,6.0,P
-0.050889,-0.422328,0.015905,0.33243,0.953392,11.001185,0.443055,7.0,N
-0.05427,0.135509,-0.271329,-0.125923,14.140276,3.035704,0.513986,6.0,N
-0.478687,0.16037,-0.434902,-0.315666,6.261265,2.021831,0.844861,5.0,N
0.089416,-0.02366,0.350052,-0.314151,1.364464,2.720264,0.438023,5.0,P
0.393353,-0.137869,0.441496,0.010688,0.073937,0.570362,0.816473,5.0,P
-0.44833,0.302839,0.464768,0.353391,0.644243,1.627798,0.367627,5.0,P
-0.317988,0.091429,-0.179718,0.11454,1.074871,5.030667,0.479035,7.0,N
0.383895,-0.378123,-0.358974,-0.216166,1.938878,3.78967,0.767823,8.0,P
-0.498045,0.444945,-0.453062,0.355269,7.127189,1.511737,0.644565,6.0,N
-0.422837,-0.157633,-0.371712,0.03281,0.622304,1.210568,0.507428,7.0,P
0.144613,0.150148,0.021023,-0.22622,1.112077,1.527632,0.824007,5.0,P
-0.332822,0.295772,0.106054,0.304405,0.594672,1.723169,0.805256,6.0,P
-0.013534,-0.318644,-0.327878,0.039455,2.484307,0.229167,0.817276,8.0,P
-0.142529,-0.145409,0.298174,0.00439,6.114639,0.006826,0.87683,8.0,P
0.325503,-0.483811,-0.115342,-0.11643,3.743202,19.371513,0.387947,6.0,N
0.034405,-0.345453,0.113471,-0.412018,5.789971,0.313934,0.759426,5.0,P
-0.412644,0.054628,-0.339779,0.297336,0.773948,0.616632,0.666621,5.0,P
0.134101,-0.16235,-0.422439,0.493172,0.610067,3.950419,0.770624,5.0,P
-0.254106,0.314237,0.195142,-0.146848,9.402961,3.897855,0.655052,5.0,N
0.049409,-0.091859,-0.245422,-0.044089,0.041295,0.893205,0.901819,6.0,P
-0.270057,0.384276,-0.18226,0.423048,2.1992,8.700777,0.799297,8.0,N
0.47728,0.406406,-0.210526,-0.162286,1.664872,9.704099,0.712485,6.0,N
-0.470145,-0.107953,-0.467942,-0.491758,1.070487,7.57349,0.745367,6.0,N
0.416576,0.144063,-0.267588,-0.186373,2.347278,2.231722,0.738442,5.0,P
-0.134315,-0.026945,0.428569,0.273775,0.006322,2.443256,0.475589,5.0,P
-0.162299,0.27846,-0.435398,-0.40429,3.113408,0.74644,0.268681,7.0,P
0.228134,0.340251,0.384303,-0.020956,3.628235,7.572888,0.611192,5.0,N
-0.48875,0.426052,0.106749,-0.097472,1.55062,0.884702,0.283126,5.0,P
-0.089642,0.133018,-0.449711,0.108304,0.929352,2.346403,0.349968,7.0,P
0.269957,0.266576,-0.425928,-0.484734,0.106389,3.241371,0.85162,6.0,P
-0.092134,0.03701,-0.339241,0.401433,0.209068,7.391548,0.799121,8.0,N
-0.206902,-0.47422,0.136885,0.10398,13.872195,3.27683,0.609352,6.0,N
0.212599,-0.117325,-0.306981,0.192302,0.549877,0.129283,0.4072,7.0,P
-0.370123,-0.24141,-0.234464,-0.378713,2.482361,0.739301,0.541165,6.0,P
-0.440933,0.219832,0.499765,-0.018786,0.938362,7.193127,0.849288,5.0,N
0.031172,0.181165,0.184299,-0.152658,0.014073,1.899138,0.246466,8.0,P
-0.3091,-0.391479,0.285234,0.372303,5.407699,1.644667,0.587091,8.0,P
-0.400824,0.335078,0.011878,-0.024048,1.644352,4.466219,0.757757,8.0,P
-0.404491,-0.480398,0.064192,-0.26389,4.517149,0.4187,0.335246,7.0,P
0.035378,-0.376378,0.32322,-0.165026,0.046808,0.591162,0.453427,6.0,P
-0.495179,0.016383,-0.323134,-0.469879,1.523245,3.214563,0.492899,6.0,P
-0.42507,-0.382375,0.327633,-0.345805,0.361709,0.816376,0.413666,6.0,P
-0.23319,-0.004338,0.107581,-0.206164,2.141648,0.670836,0.291106,7.0,P
-0.320374,-0.044851,-0.0692,-0.249998,4.442531,0.842628,0.464075,7.0,P
0.437195,-0.444159,-0.067246,0.309061,0.698239,0.306719,0.582647,5.0,P
-0.088504,0.282728,-0.476404,0.308846,2.975219,1.613837,0.694611,7.0,P
0.065659,0.477149,-0.470569,-0.181318,2.259491,0.154011,0.569355,5.0,P
-0.433297,0.18692,-0.481722,0.165979,2.088322,0.42563,0.884463,7.0,P
0.071142,0.415881,0.038839,-0.070148,2.675952,0.548345,0.946761,6.0,P
0.195356,-0.290093,-0.085972,-0.343669,5.724136,2.451376,0.606508,6.0,N
0.10788,-0.361271,0.306314,-0.346996,0.670632,3.925449,0.776902,7.0,P
0.213852,0.088047,0.209314,0.041278,0.670988,2.74784,0.325397,5.0,P
-0.06997,-0.290211,-0.488542,-0.223328,4.890785,1.433905,0.867255,6.0,P
-0.206494,-0.433502,0.223012,-0.237485,0.105423,0.072931,0.626721,6.0,P
-0.447952,-0.356154,0.361722,0.05096,2.899194,2.03522,0.51773,5.0,P
0.0334,0.277166,0.415982,0.367773,2.238954,3.000424,0.659086,6.0,P
-0.323437,-0.121547,0.000391,-0.247291,7.420233,2.916594,0.749746,8.0,N
-0.096709,-0.360404,-0.14255,0.146806,1.987905,2.708888,0.434482,8.0,P
0.108285,-0.495861,-0.310967,0.112588,3.832273,1.614557,0.331048,6.0,N
0.301011,0.097035,-0.490543,-0.447695,0.26482,0.37356,0.692099,6.0,P
-0.143518,0.401475,0.238702,0.492923,1.583908,4.232318,0.714181,5.0,N
-0.181809,0.428398,-0.167914,0.120137,4.418097,3.252153,0.891329,5.0,N
-0.302687,0.019706,0.025934,-0.169043,11.258562,0.619838,0.699896,7.0,N
-0.298575,-0.229401,-0.163956,0.197879,0.615294,0.384799,0.515964,8.0,P
0.404104,-0.304837,0.08898,-0.388616,5.04944,2.132473,0.21485,7.0,N
-0.281172,-0.114826,0.038506,-0.397731,0.76156,1.245513,0.94893,7.0,P
-0.321393,-0.489286,-0.473762,-0.18575,1.076282,2.619681,0.782505,6.0,P
-0.269769,-0.011038,0.071254,0.352889,4.716931,0.256762,0.731592,5.0,P
-0.490736,-0.444579,0.146607,0.154749,0.16263,0.300805,0.828922,7.0,P
-0.091212,0.493574,0.236152,-0.139409,0.618271,0.981413,0.158585,7.0,P
0.003758,-0.055081,0.177745,-0.275044,2.094054,3.37137,0.827554,8.0,P
-0.438816,-0.044304,0.290994,-0.353507,4.26853,0.384267,0.801828,8.0,P
-0.304986,-0.454868,-0.114635,0.234234,7.960739,19.566371,0.800372,7.0,N
-0.22172,-0.068602,-0.302807,0.027727,0.958296,4.811817,0.605888,5.0,P
0.168788,-0.039316,-0.493019,-0.061043,1.106095,1.515144,0.272658,8.0,P
0.110295,0.435527,0.10932,0.404449,2.336503,3.483939,0.494503,8.0,P
0.315141,0.00017,-0.426475,0.100373,3.097713,5.645638,0.657887,7.0,N
-0.26702,0.361908,0.151325,0.477924,1.973214,14.934863,0.302371,8.0,N
0.040674,0.36516,0.374867,-0.340939,8.889838,0.467451,0.469415,7.0,N
-0.006777,0.430625,-0.411214,0.303833,0.8536,1.264264,0.354713,8.0,P
-0.283697,0.388198,0.357667,-0.004695,2.625987,1.195964,0.565784,6.0,P
0.025611,0.085448,0.014965,-0.109785,4.683177,0.413694,0.920261,8.0,P
0.220762,0.137062,-0.253443,-0.242065,2.367362,3.097213,0.137964,6.0,N
0.3071,0.404662,-0.340081,0.248364,6.136386,1.150028,0.401262,6.0,N
-0.017796,0.290643,-0.177566,-0.240309,6.441152,1.231612,0.554509,8.0,N
-0.007999,-0.360164,0.030311,-0.165176,1.968387,1.468671,0.878039,8.0,P
0.353789,-0.453616,0.307202,-0.455779,0.665478,6.588933,0.635848,8.0,P
0.173747,-0.10215,0.396502,-0.493553,1.00508,10.260625,0.832357,6.0,N
0.199383,0.443091,0.073418,0.228461,1.50539,0.095575,0.543871,5.0,P
-0.103153,-0.138883,-0.122899,0.210786,4.082577,1.864781,0.85698,7.0,P
-0.34228,-0.277799,-0.164102,-0.261384,3.617123,2.637648,0.830981,8.0,P
-0.291859,0.22455,-0.20536,0.274472,0.816534,7.333006,0.771012,6.0,N
-0.386962,-0.205603,0.219739,0.1831,3.264312,9.241103,0.76999,7.0,N
0.308049,-0.079395,0.197275,-0.248709,11.069082,10.371983,0.742659,5.0,N
0.296155,0.253333,0.241914,0.249947,0.830597,5.37606,0.621028,8.0,P
-0.344732,0.373365,-0.380199,-0.131116,4.020573,2.248429,0.853254,7.0,P
-0.324386,0.185224,0.056368,0.296471,1.368547,0.936908,0.564886,8.0,P
0.282268,-0.090672,-0.094886,0.031259,0.933302,4.419505,0.876127,7.0,N
-0.304881,0.255792,0.458058,-0.196247,0.775485,9.942245,0.867913,7.0,N
-0.397192,0.453791,0.088659,0.392952,1.447847,4.725902,0.871446,5.0,P
0.419032,-0.25663,0.161923,-0.359323,0.584496,4.03209,0.83971,8.0,P
0.199539,-0.298287,0.317454,-0.268595,0.372534,2.210971,0.805906,7.0,P
-0.396873,0.26983,0.170683,-0.457178,1.136098,0.280614,0.378979,7.0,P
-0.403347,0.016175,0.073313,0.412318,1.232803,3.458341,0.251945,5.0,P
0.005364,-0.190238,0.376751,0.198175,0.21694,1.662759,0.807494,8.0,P
0.164627,-0.207112,-0.414476,0.313391,0.781884,4.237378,0.259553,8.0,N
-0.069984,-0.300423,-0.174823,-0.451354,2.348018,1.508075,0.702432,7.0,P
-0.336024,-0.214284,0.212188,-0.132455,3.827297,3.164759,0.21556,8.0,N
-0.270374,-0.04668,0.332403,-0.482613,6.914911,2.018983,0.68984,6.0,N
0.457494,-0.44961,0.354999,0.135945,2.731455,0.135105,0.611636,5.0,P
-0.215924,-0.130027,-0.323468,0.277065,8.498689,1.36904,0.652899,5.0,N
0.005657,0.070811,0.438196,-0.394854,0.314487,2.104992,0.310744,6.0,P
-0.308934,-0.417289,0.254248,0.117471,1.232848,0.652247,0.244063,6.0,P
-0.112389,-0.240683,-0.176673,-0.225018,0.126753,1.925247,0.839561,5.0,P
-0.268945,-0.378741,-0.312456,-0.480255,3.06435,1.047274,0.85091,5.0,P
0.449966,-0.154137,0.111797,-0.11527,1.295782,11.626436,0.530078,8.0,N
-0.25939,-0.178688,-0.435896,-0.488307,4.098975,0.38836,0.686337,6.0,P
-0.153171,0.283914,-0.399193,-0.381903,0.88249,5.651693,0.167672,8.0,N
0.085388,0.41459,0.359948,0.083119,0.199179,1.376635,0.752111,5.0,P
-0.100363,0.237107,0.239243,0.022903,2.456762,0.26073,0.169419,8.0,P
0.168151,0.122712,0.218512,0.091365,0.374279,1.080181,0.419495,6.0,P
0.000618,-0.427912,-0.149953,-0.13077,0.63166,3.540468,0.856408,6.0,P
-0.451499,-0.327421,0.013263,-0.170948,2.842412,2.742458,0.678684,6.0,P
-0.163977,-0.183515,0.169598,0.265327,2.505416,1.731646,0.812792,7.0,P
0.307456,0.023869,0.206292,0.106788,1.184276,3.022753,0.401367,8.0,P
-0.021435,0.43179,-0.473116,0.11864,4.529403,7.154911,0.23413,6.0,N
-0.447545,0.278869,-0.297162,0.110367,0.398995,17.849755,0.410893,6.0,N
-0.005013,0.324088,0.094808,0.216307,7.0653,0.316024,0.361184,6.0,N
0.388064,0.258352,0.383893,-0.297372,3.425706,1.866086,0.797493,7.0,P
-0.429229,-0.069071,0.421413,-0.040372,1.369605,1.086029,0.803776,8.0,P
-0.416299,-0.207968,0.154615,0.052299,1.787864,2.551667,0.704707,8.0,P
0.384742,-0.046307,0.481097,0.124065,4.694657,4.860674,0.861052,5.0,N
-0.156086,0.161297,0.435506,-0.130359,1.61792,4.532651,0.882424,8.0,P
0.43856,-0.204822,-0.290873,-0.151735,0.943239,3.231811,0.825246,8.0,P
-0.244818,0.17457,0.42433,-0.366087,11.519468,1.148636,0.716827,7.0,N
-0.12509,0.363919,0.490664,0.160453,4.101552,3.16733,0.838859,8.0,N
0.302039,0.301167,-0.276833,0.35428,1.12429,0.776114,0.219742,8.0,P
0.495092,-0.1434,0.479296,0.02572,13.243675,2.408167,0.350493,8.0,N
-0.186168,0.383471,0.397175,-0.004278,2.381323,1.079349,0.666046,6.0,P
-0.007887,-0.42798,0.266708,0.153962,0.300295,2.547138,0.390338,5.0,P
0.082631,-0.370145,0.378343,-0.350119,0.653736,2.255294,0.794061,5.0,P
-0.058624,-0.386853,0.365224,0.46243,4.127813,1.142555,0.849628,8.0,P
0.305532,-0.287072,0.131238,0.1634,1.198877,0.453433,0.721555,6.0,P
0.047271,0.309563,0.11731,-0.143482,0.773535,0.053208,0.930562,7.0,P
0.257365,-0.225107,-0.091483,-0.287927,7.052329,3.796932,0.395689,7.0,N
0.286384,0.227859,-0.352172,0.326736,5.5866,9.407515,0.510712,8.0,N
0.022488,-0.428671,-0.356699,0.381323,0.147575,5.304486,0.831535,5.0,N
-0.126856,0.279222,-0.076421,0.349624,0.007496,2.742646,0.707906,7.0,P
0.032065,0.137976,0.055799,0.29377,2.996531,6.715701,0.795509,6.0,N
0.074668,-0.043928,-0.03868,-0.350475,0.135278,3.197718,0.305894,5.0,P
-0.25592,0.354391,0.213889,-0.096482,0.328031,5.411553,0.829158,7.0,P
-0.365788,0.22378,0.2141,0.213068,0.141759,2.086395,0.370979,8.0,P
-0.205726,-0.348615,-0.218139,0.42249,0.42666,2.092609,0.690585,7.0,P
-0.341218,0.314784,0.396174,-0.042245,3.7984,0.258782,0.696369,5.0,P
-0.392325,-0.363076,-0.220703,-0.273959,1.39192,1.352396,0.558472,5.0,P
-0.143599,0.376118,-0.040711,-0.027191,2.332183,1.324516,0.832954,8.0,P
0.29649,0.105605,0.007439,-0.1673,2.89254,5.725906,0.572008,5.0,N
-0.149215,-0.145672,0.470365,-0.321829,15.617697,0.04308,0.465643,8.0,N
0.429616,-0.106553,-0.425534,0.068896,0.6935,0.772652,0.633084,5.0,P
0.249542,0.05341,-0.118426,0.300976,5.59591,3.35574,0.934083,7.0,N
-0.32595,0.155041,0.310388,-0.227357,4.240469,5.937554,0.577096,5.0,N
-0.495275,0.400324,-0.130096,-0.112708,0.261338,1.759759,0.47724,7.0,P
-0.364926,-0.350998,0.312899,0.054966,3.367883,8.751928,0.593255,8.0,N
0.231219,0.349682,-0.168085,-0.376911,0.06683,4.274053,0.406123,6.0,N
-0.443845,0.423256,-0.092455,0.162639,2.734507,0.026583,0.852043,7.0,P
0.03257,-0.353078,0.098572,-0.050126,9.499724,1.807924,0.373555,7.0,N
0.250312,0.147821,0.052774,-0.431627,0.002283,8.825055,0.610361,7.0,N
0.378407,0.164224,-0.015988,-0.135673,1.849364,3.75066,0.946366,6.0,P
0.307824,-0.304429,0.292012,-0.093213,3.823247,1.142704,0.252823,7.0,P
-0.231178,0.10454,0.163244,0.103237,1.324062,0.741383,0.77542,7.0,P
-0.020647,-0.146018,0.328963,0.182394,6.758654,6.393707,0.579098,6.0,N
-0.378883,-0.174574,0.363436,0.414194,4.623568,0.376452,0.26662,8.0,N
0.298144,-0.057618,0.241901,-0.398546,0.373962,1.57074,0.589668,7.0,P
0.394669,0.090215,0.050151,0.117691,0.367843,7.784913,0.64658,6.0,N
0.094213,-0.462289,0.235716,-0.024774,4.311173,1.455829,0.302685,5.0,P
0.078668,-0.485586,0.424564,0.030725,6.891288,2.444708,0.479776,8.0,N
-0.121927,-0.029729,0.323469,-0.080794,6.883237,3.125973,0.740843,7.0,N
-0.270835,0.084506,-0.350644,-0.060727,2.879803,0.197117,0.634282,7.0,P
-0.460257,-0.462609,0.310159,-0.048987,7.776304,0.130778,0.844537,6.0,P
0.221992,0.224702,-0.193859,-0.393419,0.289708,0.9296,0.793892,5.0,P
0.225411,0.016405,-0.281802,-0.275544,0.832178,4.049413,0.563109,6.0,N
0.029185,-0.199542,0.303602,-0.328886,3.512818,6.519509,0.754176,7.0,N
0.437317,-0.328629,0.450324,0.468725,1.383321,0.722202,0.455474,7.0,P
0.470088,0.058892,0.420517,0.118768,8.29223,0.27607,0.671068,7.0,N
-0.278763,0.347596,-0.322609,-0.123593,4.666369,2.793168,0.578003,8.0,N
0.377613,-0.252314,-0.144369,0.027339,4.6619,12.152306,0.832523,7.0,N
-0.423589,0.483592,0.140877,-0.101485,12.208843,1.685318,0.462113,8.0,N
-0.191675,-0.389037,-0.037401,0.367032,1.415907,0.178646,0.954925,7.0,P
0.39654,0.013085,0.13955,-0.157187,0.666898,3.025496,0.791594,5.0,P
0.1199,-0.441571,0.494025,-0.112987,4.542513,2.508135,0.749203,6.0,P
0.071856,0.001875,0.333965,-0.071108,0.806917,5.503612,0.188016,8.0,P
0.490663,0.318634,0.184344,0.353653,3.095715,4.668006,0.565139,7.0,N
-0.253665,0.106822,-0.351579,-0.158338,0.595431,15.855631,0.401841,8.0,N
0.009387,0.31341,-0.301519,-0.308502,0.659653,4.815353,0.575912,6.0,N
0.03932,-0.471587,0.254575,0.027064,0.711774,0.425928,0.620647,7.0,P
-0.207547,-0.089683,0.18097,0.060068,1.097194,2.220438,0.261072,7.0,P
-0.085685,0.453672,-0.297967,-0.127511,2.505351,3.26193,0.76273,7.0,P
0.252593,-0.21633,0.381524,0.263797,0.955849,1.634303,0.386866,5.0,P
0.440515,-0.492228,-0.017891,0.140435,3.379415,8.216495,0.760706,6.0,N
-0.344109,0.171057,-0.008458,-0.32922,4.447565,0.988199,0.71629,5.0,P
0.48082,-0.436105,0.235652,0.056212,0.628129,5.925847,0.503831,8.0,N
0.028414,-0.173776,0.11424,0.464207,1.534555,3.306149,0.882329,5.0,P
0.498593,-0.0351,-0.250228,0.053865,14.838993,0.042119,0.624605,8.0,N
0.267526,-0.375718,-0.107051,0.40697,6.467642,1.670237,0.711703,5.0,N
-0.04495,0.055122,0.094375,0.106434,0.688515,1.990024,0.8619,8.0,P
-0.007913,0.256629,-0.423943,0.498851,1.047964,2.819099,0.569345,5.0,P
0.204663,-0.028603,-0.00073,-0.389697,0.546967,5.961391,0.766676,7.0,P
0.486508,-0.151362,0.352014,-0.471989,1.376292,4.051243,0.559752,8.0,N
0.045751,-0.233281,0.219486,-0.196772,1.46089,7.985963,0.819608,6.0,N
0.029984,-0.055857,0.153082,0.186744,2.679733,4.714603,0.683395,7.0,N
0.174512,-0.43235,0.221935,-0.233622,1.791561,2.055299,0.407684,5.0,P
0.327795,0.03618,-0.463907,0.085662,1.039516,3.666062,0.696737,6.0,P
0.078611,-0.049504,0.10903,0.201311,1.374592,4.200061,0.061144,8.0,P
0.336361,0.461613,0.068237,-0.013964,0.702194,8.178878,0.626445,6.0,N
0.169456,-0.153429,0.374102,-0.413606,1.146713,2.67654,0.937449,5.0,P
-0.244507,0.452249,0.161141,0.193015,1.2336,8.374571,0.14723,7.0,N
0.140189,0.468171,0.055715,0.4443,1.11089,2.188286,0.486904,5.0,P
0.42025,0.261016,0.18618,0.018942,8.759415,1.230363,0.663703,5.0,N
0.358986,-0.415714,0.20683,0.274019,13.247411,0.04362,0.95342,8.0,N
-0.344804,-0.140276,0.241034,-0.318857,0.811054,17.591124,0.328868,8.0,N
-0.471759,0.013769,-0.451592,-0.077738,1.643162,1.2147,0.52307,8.0,P
0.305679,0.05973,-0.183821,0.005394,1.498262,2.560601,0.664529,7.0,P
-0.441032,-0.37891,0.469336,0.214923,1.197647,1.885867,0.556071,7.0,P
0.253669,-0.33465,0.265067,0.326217,4.452449,0.632806,0.646019,6.0,P
-0.123443,-0.288907,0.102827,-0.267048,3.249788,1.738435,0.604449,7.0,P
