credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,target
651.0,Germany,Male,35.0,8.0,110067.71,1.0,1.0,0.0,127678.95,Yes
495.0,Spain,Female,45.0,3.0,89158.94,3.0,1.0,0.0,135169.76,Yes
805.0,France,Male,39.0,2.0,0.0,1.0,0.0,0.0,166650.32,No
829.0,Spain,Female,26.0,8.0,101440.36,2.0,1.0,1.0,19324.5,No
583.0,France,Female,40.0,4.0,55776.39,2.0,1.0,0.0,26920.43,No
686.0,France,Female,43.0,0.0,0.0,1.0,1.0,1.0,170072.9,No
505.0,Germany,Male,40.0,6.0,47869.69,2.0,1.0,1.0,155061.97,No
528.0,France,Male,30.0,2.0,128262.72,2.0,1.0,0.0,50771.16,No
677.0,Spain,Female,34.0,4.0,0.0,2.0,1.0,1.0,6175.53,No
660.0,Germany,Female,37.0,2.0,133200.09,1.0,0.0,0.0,71433.88,No
785.0,Germany,Female,36.0,2.0,99806.85,1.0,0.0,1.0,36976.52,No
607.0,Spain,Female,27.0,5.0,100912.19,1.0,0.0,0.0,7631.27,No
603.0,Spain,Female,39.0,5.0,162390.52,2.0,1.0,0.0,54702.66,No
480.0,France,Female,28.0,6.0,0.0,2.0,0.0,0.0,48131.92,No
656.0,Germany,Male,68.0,7.0,153545.11,1.0,1.0,1.0,186574.68,No
631.0,Germany,Male,48.0,1.0,106396.48,1.0,1.0,1.0,150661.42,Yes
604.0,Spain,Female,35.0,7.0,147285.52,1.0,1.0,1.0,57807.05,No
622.0,France,Male,32.0,5.0,179305.09,1.0,1.0,1.0,149043.78,No
601.0,Germany,Female,42.0,9.0,133636.16,1.0,0.0,1.0,103315.74,No
674.0,France,Male,46.0,2.0,174701.05,1.0,1.0,0.0,90189.72,Yes
531.0,France,Male,31.0,3.0,0.0,1.0,1.0,1.0,42589.33,No
632.0,France,Male,32.0,6.0,111589.33,1.0,1.0,1.0,170382.99,No
707.0,France,Female,46.0,7.0,127476.73,2.0,1.0,1.0,146011.55,No
723.0,France,Male,25.0,3.0,0.0,2.0,1.0,1.0,134509.47,No
795.0,Germany,Male,38.0,7.0,125903.22,2.0,1.0,1.0,127068.92,No
585.0,Spain,Male,45.0,0.0,0.0,2.0,0.0,0.0,189683.7,No
627.0,Germany,Female,30.0,6.0,57809.32,1.0,1.0,0.0,188258.49,No
546.0,France,Female,30.0,5.0,0.0,2.0,0.0,1.0,198543.09,No
571.0,Germany,Female,66.0,9.0,111577.01,1.0,0.0,1.0,189271.9,No
684.0,Germany,Male,42.0,1.0,117691.0,1.0,1.0,1.0,23135.65,Yes
636.0,France,Female,45.0,7.0,139859.23,1.0,1.0,1.0,108402.54,No
562.0,France,Male,48.0,3.0,92347.96,1.0,1.0,1.0,163116.75,No
482.0,Germany,Female,48.0,2.0,69329.47,1.0,0.0,0.0,102640.52,Yes
786.0,France,Female,62.0,8.0,0.0,1.0,1.0,1.0,165702.64,No
747.0,France,Female,45.0,1.0,114959.12,1.0,1.0,0.0,189362.39,Yes
688.0,Spain,Male,32.0,6.0,124179.3,1.0,1.0,1.0,138759.15,No
699.0,France,Male,29.0,3.0,125689.29,1.0,1.0,1.0,151623.71,No
528.0,France,Female,32.0,4.0,85615.66,2.0,1.0,0.0,156192.43,No
542.0,France,Female,42.0,1.0,0.0,1.0,1.0,1.0,178256.58,Yes
773.0,France,Female,50.0,4.0,0.0,2.0,1.0,0.0,129372.94,No
675.0,Spain,Male,33.0,3.0,0.0,2.0,1.0,0.0,45348.08,No
652.0,France,Male,51.0,7.0,0.0,2.0,0.0,1.0,43496.36,No
638.0,Germany,Male,27.0,4.0,135096.05,1.0,1.0,1.0,186523.72,Yes
607.0,Germany,Male,32.0,9.0,144272.07,2.0,1.0,0.0,176580.63,No
594.0,Germany,Female,23.0,4.0,104753.84,2.0,1.0,0.0,56756.52,Yes
755.0,France,Male,42.0,2.0,119919.12,1.0,1.0,0.0,156868.21,No
555.0,France,Male,40.0,10.0,139930.18,1.0,1.0,1.0,105720.09,No
710.0,Germany,Male,43.0,2.0,140080.32,3.0,1.0,1.0,157908.19,Yes
823.0,Germany,Female,53.0,4.0,124954.94,1.0,0.0,1.0,131259.6,Yes
694.0,France,Male,42.0,3.0,156864.2,2.0,0.0,0.0,88890.75,No
584.0,France,Male,47.0,5.0,0.0,2.0,1.0,0.0,89286.29,No
740.0,France,Male,33.0,1.0,129574.98,1.0,1.0,1.0,123300.38,No
511.0,France,Male,33.0,7.0,0.0,2.0,0.0,1.0,158313.87,No
481.0,France,Male,44.0,9.0,175303.06,1.0,1.0,0.0,65500.53,Yes
488.0,France,Female,36.0,0.0,0.0,2.0,1.0,0.0,136675.22,No
718.0,France,Male,33.0,7.0,102874.28,1.0,0.0,0.0,117841.06,No
523.0,Germany,Male,41.0,0.0,119276.31,1.0,0.0,0.0,122284.38,Yes
698.0,France,Male,38.0,2.0,130015.24,1.0,1.0,1.0,41595.3,No
555.0,Germany,Female,51.0,9.0,138214.5,1.0,1.0,0.0,198715.27,Yes
750.0,France,Female,26.0,1.0,151510.17,2.0,1.0,1.0,19921.72,No
779.0,Germany,Male,33.0,1.0,158456.76,1.0,1.0,1.0,197000.92,Yes
529.0,France,Male,39.0,6.0,102025.08,2.0,1.0,0.0,12351.01,No
618.0,Spain,Male,33.0,4.0,0.0,2.0,1.0,1.0,77550.18,No
790.0,Germany,Female,34.0,2.0,164011.48,1.0,1.0,0.0,199420.41,No
710.0,Spain,Female,27.0,2.0,135277.96,1.0,1.0,0.0,142200.15,No
714.0,Germany,Female,49.0,4.0,93059.34,1.0,1.0,0.0,7571.51,Yes
850.0,Spain,Female,54.0,4.0,120952.74,1.0,1.0,0.0,66963.15,No
679.0,France,Male,41.0,8.0,147726.98,3.0,1.0,0.0,172749.4,Yes
794.0,France,Male,56.0,9.0,96951.21,1.0,1.0,1.0,71776.76,No
746.0,Germany,Female,33.0,2.0,107868.14,2.0,1.0,1.0,146192.4,No
470.0,France,Male,35.0,1.0,96473.59,1.0,0.0,0.0,5962.3,No
670.0,Spain,Male,35.0,2.0,124268.64,2.0,0.0,1.0,84321.03,No
669.0,France,Male,37.0,1.0,125529.55,1.0,1.0,1.0,162260.93,No
628.0,France,Female,31.0,6.0,175443.75,1.0,1.0,0.0,113167.17,Yes
721.0,Spain,Male,33.0,5.0,0.0,2.0,0.0,1.0,117626.9,No
597.0,Germany,Female,43.0,7.0,119127.46,2.0,1.0,0.0,55809.92,No
500.0,Spain,Female,47.0,8.0,128486.11,1.0,1.0,0.0,179227.12,No
494.0,France,Female,33.0,1.0,137853.0,1.0,0.0,1.0,90273.85,No
676.0,France,Male,29.0,4.0,140720.93,1.0,1.0,0.0,36221.18,No
524.0,Germany,Female,31.0,10.0,67238.98,2.0,1.0,1.0,161811.23,No
669.0,France,Male,57.0,5.0,0.0,2.0,1.0,1.0,56875.76,No
598.0,France,Male,28.0,8.0,129991.76,2.0,0.0,1.0,46041.08,No
577.0,Spain,Female,33.0,6.0,0.0,2.0,1.0,0.0,57975.8,No
773.0,Spain,Male,41.0,9.0,102827.44,1.0,0.0,1.0,64595.25,No
602.0,France,Male,31.0,7.0,155271.83,1.0,1.0,1.0,179446.31,No
656.0,France,Male,39.0,10.0,0.0,2.0,1.0,1.0,98894.64,No
725.0,France,Female,25.0,9.0,0.0,2.0,1.0,1.0,168607.74,No
699.0,Germany,Male,34.0,4.0,185173.81,2.0,1.0,0.0,120834.48,No
584.0,Germany,Female,31.0,6.0,152622.34,1.0,1.0,0.0,99298.8,No
628.0,Germany,Female,51.0,9.0,155903.82,2.0,1.0,1.0,71159.84,No
520.0,Spain,Female,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,No
716.0,Germany,Female,30.0,2.0,205770.78,2.0,0.0,0.0,65464.66,No
765.0,France,Male,43.0,9.0,157960.49,2.0,0.0,0.0,136602.8,No
589.0,France,Female,39.0,7.0,0.0,2.0,0.0,0.0,95985.64,No
594.0,France,Male,57.0,6.0,0.0,1.0,1.0,0.0,19376.56,Yes
521.0,France,Male,37.0,2.0,0.0,2.0,1.0,1.0,86372.24,No
663.0,Spain,Male,64.0,6.0,0.0,2.0,0.0,1.0,15876.52,No
636.0,France,Female,24.0,9.0,0.0,2.0,0.0,1.0,38830.72,No
597.0,Spain,Male,26.0,5.0,0.0,2.0,0.0,1.0,95159.13,No
682.0,Germany,Female,29.0,6.0,101012.77,1.0,0.0,0.0,32589.89,Yes
691.0,France,Female,33.0,6.0,0.0,2.0,1.0,0.0,164074.89,No
680.0,Germany,Male,34.0,6.0,146422.22,1.0,1.0,0.0,67142.97,Yes
492.0,France,Female,48.0,6.0,127253.98,1.0,1.0,1.0,92144.09,Yes
684.0,Spain,Female,36.0,5.0,174180.39,1.0,1.0,0.0,119830.08,No
533.0,France,Male,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,No
540.0,Spain,Male,28.0,8.0,0.0,2.0,0.0,0.0,197588.32,No
783.0,Germany,Female,42.0,2.0,139707.28,1.0,1.0,0.0,2150.22,No
411.0,France,Male,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,No
526.0,France,Male,30.0,9.0,0.0,2.0,0.0,0.0,100995.68,No
576.0,Germany,Male,44.0,9.0,119530.52,1.0,1.0,0.0,119056.68,Yes
497.0,France,Male,47.0,6.0,0.0,1.0,1.0,1.0,90055.08,No
744.0,France,Male,31.0,9.0,120718.28,1.0,1.0,1.0,58961.49,No
582.0,Germany,Male,32.0,1.0,88938.62,1.0,1.0,1.0,10054.53,No
452.0,France,Female,35.0,8.0,0.0,2.0,1.0,1.0,149614.81,No
485.0,France,Female,39.0,2.0,75339.64,1.0,1.0,1.0,70665.16,No
850.0,France,Female,46.0,2.0,157866.77,1.0,1.0,1.0,18986.12,No
649.0,Spain,Male,36.0,8.0,0.0,2.0,1.0,0.0,161668.15,No
661.0,Spain,Female,28.0,7.0,95357.49,1.0,0.0,0.0,102297.15,No
725.0,France,Male,26.0,6.0,98684.15,1.0,0.0,0.0,133720.57,No
624.0,France,Female,71.0,4.0,170252.05,3.0,1.0,1.0,73679.59,Yes
668.0,France,Male,46.0,0.0,0.0,2.0,0.0,0.0,29388.02,No
706.0,Spain,Male,28.0,3.0,0.0,2.0,0.0,1.0,181543.67,No
553.0,France,Male,33.0,4.0,118082.89,1.0,0.0,0.0,94440.45,No
571.0,Germany,Male,25.0,6.0,82506.72,2.0,1.0,0.0,167705.07,No
477.0,Germany,Female,58.0,8.0,145984.92,1.0,1.0,1.0,24564.7,No
696.0,France,Female,41.0,8.0,0.0,2.0,0.0,0.0,28276.83,No
481.0,France,Female,39.0,6.0,0.0,1.0,1.0,1.0,24677.54,No
639.0,France,Male,38.0,3.0,0.0,1.0,1.0,0.0,42862.82,No
810.0,Germany,Male,35.0,3.0,96814.46,2.0,1.0,1.0,120511.03,No
516.0,France,Female,42.0,8.0,56228.25,1.0,1.0,0.0,46857.52,No
662.0,Germany,Male,59.0,2.0,104568.41,1.0,1.0,0.0,8059.44,Yes
690.0,Germany,Male,43.0,2.0,166522.78,1.0,0.0,0.0,119644.59,Yes
500.0,Spain,Male,38.0,7.0,0.0,2.0,0.0,0.0,192013.23,No
656.0,Spain,Female,40.0,10.0,167878.5,1.0,0.0,1.0,151887.16,No
697.0,France,Male,35.0,5.0,133087.76,1.0,1.0,0.0,64771.61,No
718.0,France,Male,37.0,8.0,0.0,2.0,1.0,1.0,142.81,No
501.0,France,Female,41.0,3.0,144260.5,1.0,1.0,0.0,172114.67,No
844.0,France,Female,28.0,4.0,0.0,2.0,0.0,1.0,123318.37,No
710.0,Spain,Female,75.0,5.0,0.0,2.0,1.0,1.0,9376.89,No
748.0,France,Male,44.0,4.0,112610.77,1.0,0.0,1.0,2048.55,No
494.0,France,Male,69.0,9.0,93320.8,1.0,1.0,1.0,24489.44,No
757.0,France,Male,47.0,3.0,130747.1,1.0,1.0,0.0,143829.54,No
497.0,Germany,Female,32.0,8.0,111537.23,4.0,1.0,1.0,9497.99,Yes
744.0,Germany,Male,38.0,6.0,73023.17,2.0,1.0,0.0,78770.86,No
591.0,France,Male,28.0,5.0,0.0,2.0,1.0,1.0,48606.92,No
638.0,France,Female,48.0,10.0,138333.03,1.0,1.0,1.0,47679.14,No
581.0,Spain,Male,46.0,2.0,79385.21,2.0,0.0,0.0,188492.82,No
604.0,France,Male,40.0,1.0,84315.02,1.0,0.0,0.0,36209.1,No
571.0,France,Female,53.0,2.0,0.0,2.0,1.0,0.0,28045.77,No
850.0,Germany,Male,38.0,3.0,54901.01,1.0,1.0,1.0,140075.55,No
596.0,Spain,Female,54.0,0.0,78126.28,1.0,1.0,1.0,153482.91,Yes
528.0,France,Male,31.0,9.0,120962.59,1.0,1.0,0.0,5419.31,No
542.0,France,Male,39.0,3.0,135096.77,1.0,1.0,1.0,14353.43,Yes
683.0,Germany,Female,39.0,2.0,47685.47,2.0,1.0,1.0,86019.48,No
698.0,France,Male,48.0,4.0,101238.24,2.0,0.0,1.0,177815.87,Yes
655.0,France,Female,34.0,3.0,0.0,2.0,1.0,0.0,159638.77,No
729.0,Germany,Male,30.0,6.0,63669.42,1.0,1.0,0.0,145111.37,No
646.0,France,Male,36.0,6.0,124445.52,1.0,1.0,0.0,88481.32,No
850.0,France,Male,40.0,8.0,102800.65,1.0,1.0,0.0,60811.56,No
665.0,Germany,Female,43.0,2.0,116322.27,4.0,1.0,0.0,35640.12,Yes
601.0,Germany,Female,49.0,4.0,96252.98,2.0,1.0,0.0,104263.82,No
694.0,France,Male,38.0,1.0,0.0,2.0,0.0,1.0,156858.2,No
732.0,France,Female,36.0,9.0,0.0,1.0,0.0,0.0,3749.0,Yes
679.0,France,Male,30.0,9.0,0.0,2.0,1.0,0.0,157871.55,No
487.0,Spain,Female,40.0,6.0,136093.74,1.0,0.0,1.0,193408.43,No
792.0,Germany,Female,50.0,4.0,146710.76,1.0,1.0,0.0,16528.4,Yes
472.0,France,Male,31.0,4.0,58662.92,2.0,0.0,1.0,73322.0,No
706.0,Germany,Female,46.0,7.0,111288.18,1.0,1.0,1.0,149170.25,Yes
708.0,Spain,Female,35.0,8.0,122570.69,1.0,0.0,0.0,199005.88,No
477.0,Germany,Female,39.0,4.0,182491.57,1.0,1.0,0.0,185830.72,No
512.0,France,Male,24.0,6.0,0.0,2.0,1.0,0.0,37654.31,No
737.0,Germany,Male,50.0,4.0,127552.85,2.0,1.0,0.0,4225.11,No
572.0,Germany,Female,54.0,9.0,97382.53,1.0,1.0,1.0,195771.95,No
747.0,Germany,Male,36.0,8.0,102603.3,2.0,1.0,1.0,180693.61,No
691.0,France,Female,40.0,0.0,115465.98,1.0,1.0,1.0,60622.61,No
692.0,France,Male,66.0,4.0,159732.02,1.0,1.0,1.0,118188.15,No
850.0,Germany,Male,32.0,9.0,141827.33,2.0,1.0,1.0,149458.73,No
531.0,Spain,Male,27.0,8.0,132576.25,1.0,0.0,0.0,7222.92,No
487.0,Germany,Female,61.0,5.0,110368.03,1.0,0.0,0.0,11384.45,Yes
709.0,France,Male,42.0,9.0,118546.71,1.0,0.0,1.0,77142.85,No
745.0,France,Female,36.0,9.0,0.0,1.0,1.0,0.0,19605.18,Yes
492.0,France,Male,39.0,7.0,0.0,2.0,0.0,1.0,71323.23,No
719.0,France,Female,22.0,7.0,114415.84,1.0,1.0,1.0,177497.4,No
690.0,France,Female,42.0,3.0,92578.14,2.0,0.0,0.0,70810.6,No
558.0,Germany,Male,32.0,4.0,108235.91,1.0,1.0,1.0,143783.28,No
651.0,Germany,Female,34.0,10.0,148962.46,1.0,1.0,0.0,66389.43,Yes
592.0,Germany,Male,36.0,10.0,123187.51,1.0,0.0,1.0,146111.35,No
608.0,Germany,Male,34.0,3.0,106288.54,1.0,1.0,1.0,36639.25,No
430.0,Germany,Male,36.0,1.0,138992.48,2.0,0.0,0.0,122373.42,No
665.0,France,Female,34.0,1.0,96645.54,2.0,0.0,0.0,171413.66,No
745.0,France,Female,46.0,7.0,0.0,2.0,1.0,1.0,67769.94,No
528.0,Germany,Female,46.0,9.0,135555.66,1.0,1.0,0.0,133146.03,Yes
528.0,France,Male,37.0,6.0,103772.45,1.0,1.0,0.0,197111.99,No
491.0,France,Male,33.0,5.0,83134.3,1.0,1.0,0.0,187946.55,No
674.0,Spain,Male,32.0,2.0,0.0,2.0,1.0,0.0,140579.17,No
674.0,Germany,Male,43.0,8.0,85957.88,2.0,1.0,0.0,8757.39,No
745.0,France,Female,32.0,2.0,0.0,4.0,0.0,1.0,179705.13,Yes
777.0,France,Female,28.0,2.0,134571.5,1.0,0.0,1.0,118313.38,No
524.0,France,Female,36.0,10.0,0.0,2.0,1.0,0.0,109614.57,No
657.0,France,Female,28.0,7.0,0.0,2.0,0.0,1.0,5177.62,No
850.0,France,Male,49.0,6.0,128663.9,1.0,1.0,0.0,65769.3,Yes
676.0,France,Male,38.0,1.0,0.0,2.0,0.0,1.0,35644.79,No
828.0,France,Male,31.0,9.0,0.0,1.0,0.0,1.0,164257.37,No
734.0,Spain,Female,39.0,6.0,92126.26,2.0,0.0,0.0,112973.34,No
678.0,Spain,Male,38.0,3.0,124483.53,1.0,1.0,0.0,126253.31,No
651.0,France,Male,34.0,4.0,91562.99,1.0,1.0,1.0,123954.15,No
710.0,France,Male,30.0,6.0,0.0,2.0,1.0,1.0,8991.17,No
661.0,Germany,Female,64.0,8.0,128751.65,2.0,1.0,0.0,189398.18,Yes
539.0,France,Female,47.0,2.0,127286.04,2.0,1.0,1.0,166929.43,Yes
646.0,France,Female,46.0,8.0,0.0,2.0,1.0,0.0,133059.15,No
518.0,Germany,Female,41.0,5.0,110624.99,1.0,1.0,0.0,89327.67,No
593.0,Germany,Female,29.0,5.0,101713.84,3.0,1.0,0.0,134594.99,No
559.0,France,Male,33.0,9.0,111060.05,2.0,1.0,0.0,110371.84,No
817.0,Germany,Female,27.0,7.0,129810.6,1.0,1.0,1.0,59259.44,No
592.0,France,Male,36.0,1.0,126477.42,1.0,0.0,0.0,179718.17,No
632.0,France,Female,28.0,5.0,118890.81,1.0,0.0,1.0,145157.97,No
694.0,Germany,Male,31.0,6.0,109052.59,2.0,1.0,1.0,19448.93,Yes
700.0,France,Female,30.0,9.0,0.0,1.0,1.0,1.0,174971.64,No
629.0,France,Female,33.0,6.0,0.0,2.0,1.0,1.0,59129.72,No
427.0,Germany,Male,42.0,1.0,75681.52,1.0,1.0,1.0,57098.0,No
801.0,Spain,Female,46.0,6.0,0.0,2.0,1.0,1.0,170008.74,No
654.0,France,Male,29.0,1.0,0.0,1.0,1.0,0.0,180345.44,No
596.0,Germany,Male,40.0,5.0,62389.03,3.0,1.0,0.0,148623.43,Yes
578.0,France,Female,40.0,7.0,0.0,2.0,0.0,0.0,102233.73,No
591.0,Spain,Male,36.0,7.0,135216.8,1.0,1.0,1.0,122022.89,No
730.0,Germany,Female,37.0,5.0,124053.03,1.0,1.0,0.0,118591.67,No
811.0,France,Male,31.0,7.0,117799.28,1.0,1.0,1.0,182372.35,No
749.0,France,Male,41.0,5.0,57568.94,1.0,1.0,1.0,61128.29,No
646.0,France,Female,46.0,4.0,0.0,3.0,1.0,0.0,93251.42,Yes
671.0,Germany,Female,48.0,9.0,116711.06,2.0,0.0,0.0,76373.38,No
607.0,Germany,Male,29.0,7.0,102609.0,1.0,1.0,0.0,163257.44,No
689.0,Spain,Female,28.0,5.0,95328.6,1.0,1.0,0.0,6129.61,Yes
661.0,Spain,Male,38.0,7.0,143006.7,1.0,1.0,1.0,15650.89,No
646.0,Germany,Female,30.0,10.0,100548.67,2.0,0.0,0.0,136983.77,No
565.0,Spain,Male,38.0,0.0,122447.76,1.0,0.0,0.0,67339.34,No
774.0,France,Male,53.0,4.0,113709.28,1.0,1.0,1.0,153887.93,Yes
785.0,France,Female,40.0,3.0,0.0,2.0,1.0,1.0,96832.82,No
703.0,France,Female,40.0,7.0,0.0,2.0,0.0,1.0,122518.5,No
490.0,France,Male,34.0,5.0,122952.9,2.0,0.0,0.0,154360.97,No
786.0,Germany,Female,33.0,0.0,122325.58,1.0,0.0,0.0,34712.34,Yes
665.0,France,Male,33.0,2.0,101286.11,1.0,1.0,1.0,159840.51,No
592.0,Spain,Male,45.0,8.0,84692.5,1.0,0.0,1.0,67214.02,No
637.0,Germany,Female,39.0,3.0,109698.41,1.0,1.0,1.0,88391.29,Yes
811.0,France,Male,40.0,1.0,101514.89,1.0,1.0,1.0,121765.0,No
488.0,Germany,Female,28.0,7.0,139246.22,2.0,1.0,0.0,106799.49,No
449.0,France,Male,52.0,6.0,0.0,2.0,0.0,1.0,123622.0,No
723.0,Germany,Female,47.0,10.0,90450.0,2.0,0.0,0.0,103379.31,Yes
606.0,Germany,Female,41.0,4.0,132670.53,1.0,1.0,0.0,156476.36,Yes
707.0,France,Male,32.0,9.0,0.0,2.0,0.0,0.0,30807.02,No
573.0,Germany,Male,30.0,8.0,127406.5,1.0,1.0,0.0,192950.6,No
676.0,France,Male,31.0,3.0,78990.15,1.0,1.0,1.0,124777.14,No
605.0,Spain,Male,33.0,5.0,150092.8,1.0,0.0,0.0,71862.79,No
568.0,Spain,Female,27.0,1.0,116320.68,1.0,0.0,1.0,45563.94,No
729.0,Spain,Female,38.0,10.0,0.0,2.0,1.0,0.0,189727.12,No
554.0,France,Female,35.0,10.0,74988.59,2.0,0.0,1.0,190155.13,No
539.0,Germany,Female,34.0,4.0,91622.42,1.0,1.0,1.0,136603.42,No
850.0,Germany,Male,36.0,5.0,119984.07,1.0,1.0,0.0,191535.11,Yes
689.0,Germany,Female,40.0,4.0,78119.59,4.0,1.0,0.0,119259.34,Yes
615.0,France,Male,41.0,4.0,130385.82,1.0,0.0,1.0,130661.95,No
539.0,France,Male,39.0,1.0,0.0,1.0,1.0,1.0,28184.7,No
601.0,Spain,Male,24.0,7.0,0.0,2.0,0.0,0.0,144660.42,No
678.0,Germany,Male,36.0,3.0,145747.67,2.0,0.0,1.0,89566.74,No
850.0,Germany,Female,36.0,0.0,136980.23,2.0,1.0,1.0,99019.65,No
517.0,Spain,Male,39.0,3.0,0.0,2.0,0.0,1.0,12465.51,No
793.0,Germany,Female,34.0,5.0,127758.09,1.0,1.0,0.0,143357.03,No
579.0,France,Female,33.0,1.0,118392.75,1.0,1.0,1.0,157564.75,No
709.0,France,Male,39.0,8.0,0.0,2.0,1.0,0.0,56214.09,No
646.0,Germany,Female,57.0,6.0,90212.0,1.0,1.0,0.0,13911.27,Yes
587.0,Germany,Male,35.0,5.0,121863.61,1.0,1.0,1.0,23481.69,Yes
849.0,France,Female,41.0,6.0,0.0,2.0,1.0,1.0,169203.51,Yes
660.0,France,Male,37.0,2.0,97324.91,1.0,1.0,0.0,23291.83,No
627.0,Germany,Female,39.0,5.0,124586.93,1.0,1.0,0.0,93132.61,Yes
547.0,France,Female,51.0,1.0,0.0,2.0,1.0,1.0,56908.41,No
554.0,France,Male,39.0,2.0,129709.62,1.0,1.0,0.0,173197.12,No
678.0,France,Male,54.0,7.0,128914.97,1.0,0.0,0.0,191746.23,Yes
605.0,Germany,Male,28.0,10.0,113690.83,1.0,1.0,0.0,33114.24,No
757.0,France,Female,44.0,4.0,123322.15,1.0,1.0,0.0,137136.29,No
