lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,target
1467.0,44.0,179.0,139.0,139.0,100.0,57.8468,146.4283,52.8867,32.0156,15.2069,139.0,139.0,2366.0,1112.0,0.0141,0.1251,0.0093,4,3,1
6211.0,183.0,219.0,179.0,179.0,159.0,128.0088,515.9075,91.0055,45.2355,52.6522,179.0,179.0,0.0,0.0,0.0446,0.0136,0.0172,3,7,1
3857.0,124.0,159.0,119.0,119.0,219.0,93.409,213.5053,26.9258,64.7785,66.3871,119.0,119.0,0.0,119.0,0.2493,0.3553,0.0158,2,2,0
1346.0,42.0,179.0,139.0,139.0,99.0,110.2384,211.164,110.2769,40.9542,49.8197,139.0,139.0,1412.0,0.0,0.1267,0.1567,0.0148,7,1,0
1635.0,50.0,99.0,338.0,338.0,119.0,100.4241,124.0363,79.0253,46.057,55.9732,338.0,338.0,0.0,0.0,0.1031,0.2126,0.0773,8,1,0
3277.0,99.0,139.0,219.0,219.0,179.0,87.2955,258.5595,124.0846,36.7764,39.9406,219.0,219.0,0.0,0.0,0.273,0.534,0.0312,1,6,1
6537.0,194.0,139.0,99.0,99.0,99.0,335.8043,165.1552,378.1323,51.7421,47.4052,99.0,99.0,0.0,457.0,0.212,0.211,0.01,8,1,0
2386.0,75.0,20.0,239.0,239.0,179.0,84.0015,129.7787,13.9284,80.1452,112.5044,239.0,239.0,0.0,0.0,-1.2853,0.2482,0.0247,4,4,1
2447.0,77.0,179.0,259.0,259.0,179.0,296.0511,178.0344,240.8589,64.3506,59.1122,259.0,259.0,0.0,0.0,0.6815,0.6205,0.0228,2,4,1
7625.0,235.0,139.0,179.0,179.0,159.0,582.5019,49.023,579.0423,10.6888,34.1541,179.0,179.0,0.0,0.0,0.2431,0.2431,0.0359,7,5,0
1924.0,61.0,179.0,119.0,119.0,80.0,58.331,81.0062,47.8853,82.0686,72.4034,119.0,119.0,0.0,119.0,0.0664,0.1029,0.0096,4,3,0
4394.0,136.0,239.0,139.0,139.0,239.0,55.599,70.9102,71.7844,19.4743,22.6991,139.0,139.0,0.0,0.0,0.4992,0.5697,0.0052,8,2,1
1510.0,45.0,219.0,99.0,99.0,179.0,69.5881,92.3147,84.8764,95.8188,96.0052,119.0,119.0,0.0,238.0,0.0001,0.0686,0.0188,5,1,0
7090.0,215.0,159.0,80.0,80.0,139.0,869.9118,110.8896,915.9525,45.5686,56.2694,80.0,80.0,0.0,0.0,0.2463,0.4063,0.0144,9,1,1
747.0,22.0,179.0,99.0,218.0,139.0,281.575,217.6293,80.604,210.5148,197.9274,179.0,179.0,6938.0,1191.0,0.0626,0.1671,0.0107,7,4,0
2181.0,70.0,80.0,20.0,20.0,279.0,584.2418,122.5826,561.6022,42.2995,96.7729,239.0,119.5,836.0,0.0,-0.0316,-0.0316,0.0194,6,2,0
5959.0,177.0,179.0,298.0,298.0,239.0,125.8014,204.4798,161.722,55.0568,55.0114,298.0,298.0,0.0,0.0,0.1711,0.4721,0.0466,6,1,1
3824.0,122.0,0.0,99.0,318.0,99.0,79.3237,79.1344,115.9353,110.8388,97.5718,99.0,99.0,219.0,0.0,0.2633,0.1218,0.0176,2,1,0
8798.0,278.0,179.0,119.0,119.0,119.0,698.5517,146.3233,692.5208,25.6223,22.2767,139.0,139.0,119.0,0.0,0.2133,0.1903,0.0185,9,7,0
200.0,6.0,179.0,159.0,159.0,80.0,329.0745,239.2305,323.0387,17.9025,3.0414,159.0,159.0,0.0,0.0,-0.0335,0.101,0.0214,2,3,1
6278.0,185.0,139.0,119.0,119.0,179.0,112.8207,131.264,38.4187,76.415,63.5472,119.0,119.0,1849.0,239.0,0.1545,0.4,0.0176,3,2,0
2024.0,65.0,119.0,139.0,139.0,159.0,133.8432,68.4726,135.0037,11.2361,13.0863,139.0,139.0,0.0,0.0,0.0954,0.0969,0.0169,1,3,0
6256.0,184.0,99.0,99.0,99.0,100.0,139.4104,183.4802,150.2332,52.2015,52.1177,99.0,99.0,0.0,99.0,0.168,0.179,0.0306,4,3,1
4185.0,133.0,179.0,179.0,179.0,239.0,146.1232,529.6414,104.7378,47.5395,44.5926,179.0,179.0,0.0,0.0,0.1955,0.117,0.0128,9,6,0
6985.0,212.0,119.0,80.0,80.0,219.0,121.0372,286.0358,38.833,78.2768,66.5301,398.0,99.5,2905.0,596.0,0.4718,0.2788,0.0577,1,7,1
2747.0,83.0,80.0,299.0,299.0,339.0,193.5568,55.9732,252.4856,82.3787,88.4604,239.0,119.5,897.0,239.0,0.9525,1.254,0.0239,8,1,0
2463.0,77.0,120.0,20.0,20.0,139.0,1406.9333,1118.9992,561.4,1080.4764,1081.5611,20.0,20.0,0.0,0.0,-1.226,0.447,0.0018,7,2,1
10650.0,328.0,238.0,199.0,199.0,80.0,54.811,237.6941,135.8013,80.3757,77.1524,199.0,199.0,6261.0,438.0,0.1592,0.1687,0.0198,2,1,1
8250.0,257.0,0.0,179.0,179.0,139.0,0.0,82.1416,0.0,54.1225,58.0,179.0,179.0,1671.0,0.0,0.0664,0.4109,0.0429,2,2,1
2797.0,85.0,219.0,339.0,339.0,339.0,160.5125,295.5486,63.0714,92.0122,87.122,339.0,339.0,0.0,0.0,0.5542,1.2187,0.0308,8,3,0
4169.0,133.0,278.0,99.0,99.0,99.0,383.2039,177.8145,379.0844,6.8007,5.2202,99.0,99.0,0.0,0.0,0.019,0.2085,0.0071,6,6,1
9745.0,300.0,119.0,119.0,119.0,159.0,125.5886,158.1597,104.69,19.0591,34.7635,119.0,119.0,0.0,0.0,0.1425,0.351,0.0372,5,3,0
4175.0,133.0,99.0,119.0,119.0,99.0,72.5017,104.561,17.0294,54.5092,69.5845,119.0,119.0,0.0,0.0,0.108,0.2085,0.0085,7,4,1
826.0,24.0,99.0,179.0,179.0,99.0,301.5332,103.1467,373.7191,64.002,58.5342,298.0,298.0,557.0,0.0,0.1881,0.1226,0.033,5,1,1
7496.0,229.0,80.0,159.0,159.0,298.0,122.084,307.1042,147.187,63.502,49.7318,159.0,159.0,0.0,0.0,0.3057,0.0647,0.0229,10,1,0
3145.0,96.0,219.0,339.0,339.0,199.0,256.6384,89.0505,246.5461,38.3438,87.6028,339.0,339.0,0.0,0.0,0.1386,-0.3184,0.0436,3,2,0
10068.0,308.0,139.0,179.0,179.0,80.0,179.7255,169.0118,97.0206,85.1146,80.1561,179.0,179.0,0.0,0.0,-0.1138,0.1252,0.0192,1,3,1
10242.0,311.0,159.0,199.0,298.0,99.0,240.0083,243.4938,151.3308,100.08,28.5044,298.0,149.0,0.0,0.0,0.1822,0.2242,0.0374,9,3,1
375.0,11.0,139.0,159.0,159.0,378.0,280.7134,213.0094,167.1466,113.4868,114.7966,159.0,159.0,0.0,318.0,0.0089,0.0634,0.0146,1,4,1
9446.0,293.0,119.0,139.0,139.0,139.0,312.7747,722.4586,174.7713,142.051,149.7039,139.0,139.0,418.0,1253.0,0.1041,0.1456,0.0097,1,7,1
4797.0,148.0,219.0,219.0,219.0,179.0,103.8809,107.3371,117.5925,57.717,58.7729,219.0,219.0,0.0,438.0,0.2256,0.3006,0.0125,3,1,0
3738.0,118.0,139.0,99.0,99.0,119.0,144.8491,209.571,82.4621,63.4133,79.0728,99.0,99.0,0.0,0.0,0.2053,0.4338,0.0308,4,2,1
1375.0,43.0,179.0,179.0,179.0,159.0,124.3262,112.9004,42.9535,83.9598,79.0728,179.0,179.0,0.0,179.0,0.0372,0.0467,0.0148,3,2,1
6920.0,209.0,179.0,119.0,337.0,99.0,560.5644,69.8713,528.0502,100.9009,52.2231,337.0,112.3333,0.0,0.0,0.1078,0.6398,0.1074,7,1,0
4226.0,134.0,219.0,179.0,278.0,179.0,294.6375,293.0004,169.3576,131.344,61.8466,278.0,139.0,0.0,0.0,0.029,-0.021,0.0144,4,3,0
9712.0,299.0,199.0,139.0,139.0,219.0,151.5008,353.2212,145.1689,13.4629,24.1868,139.0,139.0,0.0,0.0,0.0305,0.233,0.0301,3,4,1
7904.0,244.0,80.0,238.0,238.0,99.0,290.8006,160.3512,307.1758,9.9247,0.5,238.0,238.0,0.0,0.0,0.3273,0.2868,0.1069,6,2,1
1468.0,44.0,139.0,100.0,100.0,139.0,146.4283,147.7921,208.6337,85.8429,93.5361,100.0,100.0,2266.0,300.0,0.0141,0.1251,0.0067,5,2,0
10535.0,321.0,80.0,139.0,139.0,80.0,293.1092,176.8679,210.1928,73.4932,69.1755,179.0,179.0,1630.0,318.0,-0.0533,0.1057,0.0178,4,3,0
4513.0,139.0,159.0,199.0,199.0,139.0,133.5758,784.7345,59.0339,80.878,73.6767,199.0,199.0,0.0,398.0,0.1882,0.4932,0.0519,3,7,0
4365.0,136.0,239.0,179.0,179.0,298.0,159.0503,125.1209,111.018,50.5594,134.0755,477.0,238.5,0.0,477.0,0.0377,-0.0378,0.0179,3,4,0
6028.0,178.0,99.0,80.0,80.0,80.0,235.1436,158.5788,177.0028,70.2318,66.9795,80.0,80.0,0.0,0.0,0.2296,0.3536,0.006,9,3,1
10705.0,329.0,219.0,179.0,179.0,179.0,125.4442,104.2029,64.622,65.5019,55.8055,179.0,179.0,179.0,0.0,0.089,0.152,0.0315,2,3,0
5602.0,167.0,437.0,159.0,159.0,497.0,62.5,76.5278,64.5368,1.118,9.0139,159.0,159.0,596.0,715.0,0.106,0.3155,0.0107,1,2,0
989.0,30.0,497.0,298.0,298.0,119.0,244.5736,83.3562,211.2368,35.3553,31.0161,139.0,139.0,934.0,0.0,0.1174,0.0989,0.0143,1,2,1
8536.0,270.0,139.0,179.0,179.0,179.0,122.0092,119.105,103.3683,25.1247,34.9464,179.0,179.0,0.0,0.0,0.0947,0.1882,0.0503,3,3,0
2183.0,70.0,199.0,199.0,199.0,319.0,111.7866,191.7661,36.2353,97.1648,105.6243,199.0,199.0,159.0,1036.0,-0.0316,-0.0316,0.0161,6,4,0
6082.0,180.0,0.0,139.0,358.0,139.0,0.0,260.5,0.0,45.9619,60.2847,358.0,179.0,0.0,0.0,0.1161,0.1966,0.0346,1,1,1
2806.0,85.0,219.0,219.0,219.0,179.0,105.1095,252.5005,119.7539,56.356,54.0786,219.0,219.0,0.0,0.0,1.2187,1.9262,0.0199,10,1,1
7020.0,213.0,0.0,239.0,239.0,139.0,460.0024,113.2089,507.001,48.3865,62.0846,160.0,80.0,0.0,160.0,0.1468,0.0703,0.0326,1,1,0
5853.0,174.0,457.0,139.0,377.0,139.0,768.789,93.7257,937.8454,151.5586,52.7376,377.0,188.5,0.0,0.0,0.2235,0.2235,0.0379,2,1,0
3776.0,120.0,139.0,139.0,139.0,179.0,169.0044,47.3207,185.8844,77.8155,72.5,139.0,139.0,0.0,0.0,0.1228,0.3023,0.0437,7,1,1
9843.0,303.0,139.0,179.0,179.0,119.0,1219.8796,397.7125,89.8109,18.3371,10.9202,179.0,179.0,0.0,0.0,0.119,0.328,0.0351,10,2,1
637.0,21.0,159.0,119.0,119.0,159.0,187.3533,189.9849,213.8247,44.5702,61.2148,119.0,119.0,497.0,100.0,0.1391,0.0696,0.011,8,2,0
5764.0,171.0,219.0,219.0,219.0,179.0,66.1154,137.5736,47.0425,21.5,21.0,219.0,219.0,0.0,0.0,0.102,0.0785,0.0221,2,3,1
6095.0,180.0,139.0,258.0,437.0,179.0,147.0459,100.927,219.5723,74.7061,150.1208,437.0,218.5,0.0,0.0,0.0921,0.0341,0.0423,4,1,1
8445.0,266.0,139.0,99.0,99.0,298.0,164.746,58.826,160.6113,23.2863,28.0446,99.0,99.0,457.0,0.0,0.0437,0.0427,0.0181,2,6,0
9222.0,289.0,0.0,100.0,100.0,99.0,0.0,219.2761,0.0,78.339,89.4343,100.0,100.0,0.0,417.0,0.0887,0.2037,0.0048,1,1,0
2268.0,73.0,20.0,379.0,379.0,180.0,59.1354,94.4312,104.2017,54.8179,76.1528,379.0,379.0,897.0,1056.0,1.1122,1.5602,0.0234,2,1,0
2972.0,91.0,179.0,120.0,120.0,20.0,94.5331,503.1073,34.0,102.7485,96.6294,120.0,120.0,0.0,0.0,1.1076,0.0316,0.0107,2,6,0
4184.0,133.0,199.0,179.0,179.0,179.0,147.0077,146.1232,65.521,84.4408,78.7464,179.0,179.0,0.0,0.0,0.1955,0.1955,0.0128,9,5,0
1563.0,47.0,199.0,99.0,198.0,179.0,130.8482,98.0319,23.4094,124.6796,223.014,378.0,189.0,1094.0,1312.0,0.0761,0.0841,0.0467,5,2,0
1140.0,34.0,80.0,139.0,139.0,139.0,224.831,221.338,179.0028,70.7001,59.7097,139.0,139.0,0.0,0.0,0.3803,0.2768,0.018,7,3,1
4767.0,147.0,338.0,278.0,278.0,238.0,106.0189,253.1585,23.2594,82.7179,90.3549,278.0,278.0,0.0,0.0,0.4981,0.4981,0.063,6,3,1
8693.0,276.0,139.0,258.0,258.0,199.0,423.8331,73.077,595.7852,181.7058,181.0815,258.0,258.0,0.0,0.0,0.1028,0.1533,0.0452,2,1,1
7752.0,239.0,258.0,199.0,199.0,179.0,698.2585,165.4003,742.1725,61.4431,41.3401,139.0,139.0,0.0,139.0,-0.0539,0.1806,0.0198,10,1,1
9709.0,299.0,179.0,119.0,119.0,179.0,248.1819,78.5016,240.2998,13.1244,12.7475,119.0,119.0,179.0,0.0,0.043,0.0305,0.0258,2,5,0
2379.0,75.0,20.0,379.0,379.0,219.0,56.921,143.0219,157.4929,100.7286,76.8001,379.0,379.0,0.0,0.0,0.6407,-0.0498,0.0391,4,1,1
572.0,18.0,119.0,119.0,119.0,159.0,122.4847,212.8057,84.0952,39.08,40.078,119.0,119.0,0.0,0.0,0.0983,0.1538,0.0196,8,4,0
4237.0,134.0,139.0,139.0,139.0,258.0,356.1685,138.0226,373.2801,16.5076,32.573,139.0,139.0,0.0,0.0,0.03,0.0435,0.0072,5,5,1
3803.0,122.0,80.0,219.0,219.0,139.0,110.8558,276.2829,139.3018,30.9919,44.5112,219.0,219.0,0.0,219.0,0.1433,0.3958,0.0389,10,1,1
4917.0,150.0,199.0,199.0,199.0,159.0,193.0058,134.3503,136.0588,65.5019,72.8869,139.0,139.0,278.0,0.0,0.0996,0.2116,0.0125,2,2,0
8630.0,274.0,278.0,159.0,159.0,119.0,303.3752,305.3543,310.5382,17.7553,21.4767,159.0,159.0,0.0,0.0,0.2288,0.1748,0.0345,3,4,1
3356.0,102.0,99.0,99.0,99.0,318.0,56.7825,194.5045,95.3415,45.6755,43.477,99.0,99.0,0.0,99.0,-0.2185,-0.05,0.0177,6,2,0
5871.0,174.0,259.0,179.0,179.0,179.0,232.5005,107.2287,174.0259,75.1066,72.0017,179.0,179.0,0.0,0.0,0.0305,0.0475,0.018,4,2,1
2431.0,76.0,319.0,299.0,299.0,219.0,57.2189,68.6822,79.2591,37.8319,50.5,299.0,299.0,0.0,0.0,0.6497,1.3177,0.0334,9,1,1
5633.0,167.0,179.0,238.0,238.0,139.0,78.729,65.192,214.021,127.5353,124.4869,179.0,179.0,0.0,179.0,0.01,0.0795,0.012,4,5,0
6355.0,187.0,159.0,119.0,119.0,139.0,399.7312,256.002,567.3738,181.8969,184.1738,119.0,119.0,536.0,298.0,0.2145,0.253,0.0175,10,2,1
9666.0,298.0,80.0,139.0,139.0,80.0,113.7036,355.9277,221.2193,108.2705,95.6883,139.0,139.0,0.0,139.0,0.1061,0.1316,0.0206,1,1,1
9922.0,305.0,139.0,199.0,199.0,139.0,152.5819,101.4027,222.2656,78.4618,72.6395,199.0,199.0,0.0,0.0,0.0825,0.0925,0.0322,2,1,0
3099.0,94.0,399.0,638.0,638.0,319.0,176.2874,160.2038,252.7449,101.1163,118.442,638.0,638.0,0.0,0.0,1.9801,1.5631,0.1074,3,1,1
9368.0,290.0,219.0,80.0,80.0,139.0,1611.1568,172.605,437.4769,62.0081,64.0703,80.0,80.0,2603.0,0.0,0.2407,0.1497,0.0116,9,7,0
7633.0,235.0,139.0,159.0,278.0,99.0,138.5081,156.0328,52.6118,71.6327,75.1033,159.0,159.0,2504.0,159.0,0.1586,0.1766,0.0319,10,3,1
3789.0,121.0,159.0,119.0,119.0,139.0,264.0928,145.1594,259.5381,33.1436,36.9121,119.0,119.0,0.0,0.0,0.2908,0.2943,0.0359,5,2,1
8514.0,269.0,139.0,219.0,219.0,219.0,151.7432,358.0,118.9496,36.3456,32.1442,219.0,219.0,418.0,0.0,0.1937,0.1622,0.049,2,4,0
8946.0,282.0,159.0,199.0,199.0,159.0,248.8664,208.515,229.8369,45.6207,34.9857,199.0,199.0,0.0,0.0,0.0597,0.1757,0.0287,2,3,1
4190.0,133.0,179.0,159.0,259.0,179.0,805.7745,105.5959,896.005,97.1815,49.5,278.0,139.0,3855.0,0.0,0.117,0.205,0.0199,5,1,1
6883.0,207.0,80.0,119.0,119.0,100.0,143.4164,226.241,192.5097,59.3507,40.942,119.0,119.0,0.0,0.0,-0.0646,0.4069,0.0402,4,1,0
6666.0,198.0,99.0,239.0,239.0,99.0,501.4192,214.9244,571.148,76.611,82.5015,219.0,219.0,0.0,219.0,0.066,0.291,0.0525,1,1,0
3306.0,100.0,80.0,99.0,99.0,199.0,174.2591,534.4645,105.9481,79.0142,84.0536,99.0,99.0,0.0,0.0,-0.07,0.4355,0.0134,7,6,0
8490.0,268.0,0.0,179.0,179.0,258.0,0.0,131.5038,0.0,54.0786,68.8077,179.0,179.0,0.0,0.0,0.0697,0.0772,0.0415,1,1,1
4736.0,146.0,219.0,139.0,139.0,159.0,163.8856,67.8325,141.4107,32.9621,32.6267,139.0,139.0,159.0,139.0,-0.0639,0.0596,0.0159,2,3,0
4233.0,134.0,219.0,179.0,278.0,179.0,179.3941,128.4299,70.1783,111.9308,104.7855,259.0,259.0,0.0,0.0,-0.039,0.0435,0.0134,4,3,0
4054.0,130.0,219.0,179.0,179.0,219.0,229.0546,163.3317,161.3753,69.5018,72.3896,179.0,179.0,0.0,0.0,-0.0529,0.1741,0.0165,9,6,0
7622.0,235.0,99.0,80.0,80.0,99.0,145.2446,142.2436,212.4924,91.5669,103.9243,80.0,80.0,0.0,0.0,0.3061,0.2431,0.016,5,1,1
349.0,11.0,0.0,80.0,179.0,99.0,0.0,70.8025,0.0,57.2451,56.4646,179.0,89.5,0.0,0.0,0.1139,0.1169,0.0165,10,1,0
5448.0,164.0,179.0,239.0,239.0,238.0,203.2978,333.0323,149.7531,48.0416,61.0942,239.0,239.0,0.0,0.0,0.0882,0.1787,0.0203,2,4,0
8199.0,256.0,80.0,159.0,159.0,99.0,243.2057,184.5677,193.0932,48.1274,58.9513,159.0,159.0,0.0,0.0,0.1239,0.3554,0.0136,8,6,0
1357.0,42.0,99.0,80.0,358.0,99.0,225.2521,183.5824,204.8414,45.5,154.159,358.0,119.3333,0.0,0.0,0.1427,0.2482,0.0382,7,2,0
60.0,2.0,239.0,179.0,179.0,179.0,176.7831,200.3578,34.7131,137.329,123.8275,179.0,179.0,0.0,0.0,0.1745,0.203,0.0167,6,2,0
8664.0,275.0,100.0,139.0,139.0,139.0,145.7232,531.1841,54.3323,94.4788,83.5419,139.0,139.0,0.0,0.0,0.1053,0.1568,0.0188,4,6,0
5916.0,176.0,358.0,179.0,179.0,139.0,115.088,56.2694,32.1403,86.7078,114.5044,179.0,179.0,0.0,0.0,0.1201,0.0976,0.0233,2,3,0
10213.0,311.0,80.0,139.0,139.0,159.0,289.1133,107.4826,198.0227,93.1585,93.3876,139.0,139.0,0.0,139.0,0.0742,0.2537,0.0175,3,5,0
9253.0,289.0,99.0,80.0,80.0,99.0,152.2662,303.4555,145.0414,20.3593,8.2462,80.0,80.0,2265.0,1352.0,0.0847,0.2227,0.0039,1,4,0
6459.0,191.0,99.0,99.0,99.0,80.0,793.512,200.0156,863.3516,72.624,59.8206,99.0,99.0,0.0,0.0,0.0929,0.0939,0.0212,3,1,0
5184.0,157.0,199.0,378.0,378.0,139.0,697.0088,215.0593,786.1768,95.2733,69.5647,378.0,378.0,0.0,0.0,0.1128,0.0813,0.039,3,1,1
1854.0,58.0,0.0,159.0,159.0,239.0,0.0,442.0025,0.0,45.7739,49.679,159.0,159.0,239.0,0.0,0.1283,0.2154,0.0242,4,6,0
8212.0,256.0,119.0,99.0,99.0,199.0,156.7713,239.7003,141.9049,15.7877,14.2302,99.0,99.0,0.0,0.0,0.2254,0.2364,0.0085,3,5,1
8736.0,277.0,139.0,258.0,258.0,179.0,471.9476,363.6661,565.7296,95.3231,120.5373,258.0,258.0,0.0,0.0,0.1628,0.1838,0.0273,5,1,0
9514.0,293.0,119.0,139.0,278.0,298.0,76.5914,283.317,131.7953,94.7008,101.5972,139.0,139.0,854.0,2860.0,0.2401,0.2401,0.0097,2,3,0
5202.0,157.0,139.0,239.0,239.0,179.0,99.8123,79.5016,57.9828,131.9555,152.2145,239.0,239.0,0.0,0.0,0.1168,0.1753,0.0246,6,4,0
10618.0,326.0,139.0,139.0,139.0,80.0,105.5616,96.7471,151.6443,83.4416,63.8318,139.0,139.0,0.0,0.0,0.1592,0.0267,0.0514,2,1,0
5087.0,154.0,258.0,99.0,99.0,139.0,157.7862,91.9633,101.7693,155.1789,163.717,99.0,99.0,0.0,0.0,0.3163,0.3583,0.0115,10,1,0
