CountryID,Gender,ageRDATE,p2sumstake,p2sumbet,p2sumday,p2intvday,p2bpd,p2net,p2bpd1m,p2stakeSD1m,p2totalactivedays1m,p2stakeSlope1m,target
276.0,1.0,19.0,91.83,27.0,10.0,430.0,2.7,72.92,3.666666667,4.554735631,6.0,-0.089260181,1.0
250.0,1.0,27.0,12580.1764,615.0,51.0,367.0,12.05882353,837.6664,12.76470588,474.9035553,17.0,0.095712971,0.0
276.0,1.0,35.0,14234.77,6912.0,200.0,711.0,34.56,1495.1,15.3125,22.82094813,16.0,-0.126638476,1.0
276.0,1.0,27.0,103.7,95.0,46.0,369.0,2.065217391,14.52,2.222222222,1.567194946,9.0,-0.09217345,1.0
792.0,1.0,21.0,77301.7961,3634.0,219.0,270.0,16.59360731,633.9437,12.52941176,205.0170416,17.0,0.250439494,0.0
724.0,1.0,23.0,54041.44,2938.0,202.0,660.0,14.54455446,5242.04,2.428571429,8.282792835,7.0,-0.1327426,1.0
276.0,1.0,41.0,44095.45,22053.0,673.0,750.0,32.76820208,8374.64,3.08,3.839270764,25.0,-0.045800452,0.0
792.0,1.0,26.0,46.0018,47.0,23.0,371.0,2.043478261,14.8013,1.666666667,0.756946655,12.0,0.03484222,1.0
276.0,1.0,28.0,22618.9556,845.0,63.0,309.0,13.41269841,261.7456,11.5,354.324137,2.0,2.466271334,0.0
276.0,0.0,37.0,1151.03,289.0,49.0,673.0,5.897959184,105.57,2.1,7.624704002,10.0,0.070127621,0.0
276.0,1.0,22.0,1396.58,128.0,50.0,675.0,2.56,88.1,3.363636364,20.98598155,11.0,-0.170114454,0.0
276.0,1.0,24.0,45654.3684,1676.0,258.0,681.0,6.496124031,829.8784,2.846153846,15.86310633,13.0,0.168774258,1.0
276.0,1.0,24.0,17394.64,1622.0,174.0,697.0,9.32183908,792.6,5.266666667,425.2379789,15.0,0.343900636,1.0
276.0,1.0,35.0,73021.7,1638.0,151.0,479.0,10.84768212,3452.77,15.25,97.24286991,24.0,-0.036407195,0.0
276.0,1.0,27.0,96.5,25.0,10.0,365.0,2.5,31.17,3.0,8.22597512,4.0,-0.247013991,0.0
276.0,1.0,22.0,5644.17,617.0,53.0,366.0,11.64150943,299.4,7.5,12.2603819,8.0,-0.366332765,0.0
724.0,1.0,40.0,1310.28,51.0,20.0,275.0,2.55,77.49,3.5,19.34554212,4.0,0.475032561,0.0
792.0,1.0,20.0,1144.8657,72.0,26.0,461.0,2.769230769,102.0214,2.5,55.81280468,6.0,0.250135109,0.0
276.0,1.0,25.0,44.82,14.0,6.0,165.0,2.333333333,6.22,3.0,4.272001873,3.0,-1.445185879,0.0
40.0,1.0,36.0,635.88,163.0,40.0,525.0,4.075,31.85,3.0,1.850434312,8.0,-0.301754831,0.0
792.0,1.0,26.0,41700.1995,2114.0,86.0,623.0,24.58139535,-289.2602,22.58333333,376.3146267,12.0,0.013626749,0.0
300.0,1.0,33.0,7138.67,555.0,63.0,378.0,8.80952381,2028.02,7.764705882,61.41356632,17.0,0.076549883,0.0
380.0,1.0,33.0,132.0,13.0,4.0,132.0,3.25,9.0,3.333333333,16.0,3.0,0.255412812,1.0
276.0,1.0,20.0,228.54,50.0,8.0,217.0,6.25,66.82,7.0,27.38120149,7.0,0.082173693,0.0
276.0,1.0,42.0,87918.91,7595.0,267.0,698.0,28.44569288,7868.67,12.08333333,60.95875242,12.0,-0.25136143,0.0
250.0,0.0,50.0,54.24,14.0,6.0,293.0,2.333333333,6.4,3.0,4.070408456,4.0,0.08719483,0.0
276.0,1.0,22.0,36.59,29.0,10.0,194.0,2.9,1.17,3.666666667,12.85639141,3.0,-0.693147181,0.0
276.0,1.0,28.0,1297.97,272.0,82.0,690.0,3.317073171,-62.04,9.6,20.65913841,5.0,-0.286862963,0.0
276.0,1.0,24.0,161.57,64.0,5.0,57.0,12.8,0.28,15.25,33.09826884,4.0,0.00112253,1.0
276.0,1.0,28.0,3391.77,64.0,29.0,470.0,2.206896552,733.26,6.0,81.31727984,2.0,-4.069026754,0.0
276.0,1.0,20.0,446.91,163.0,23.0,501.0,7.086956522,167.71,14.42857143,36.00179711,7.0,-0.346236952,0.0
300.0,1.0,29.0,7501.7803,256.0,59.0,727.0,4.338983051,1237.1303,5.333333333,31.63542318,6.0,0.043219955,0.0
276.0,1.0,47.0,1863.91,285.0,56.0,590.0,5.089285714,353.26,5.214285714,55.21085198,14.0,-0.073523483,0.0
276.0,1.0,39.0,21008.5943,2101.0,72.0,146.0,29.18055556,2134.8343,2.25,98.96471909,4.0,0.454006687,0.0
792.0,1.0,24.0,8779.7979,304.0,27.0,62.0,11.25925926,1245.6965,12.05882353,237.3562597,17.0,0.119074821,0.0
724.0,1.0,29.0,1639.67,128.0,12.0,320.0,10.66666667,116.79,4.0,23.35387752,7.0,-0.010905867,0.0
276.0,1.0,43.0,936.1176,35.0,10.0,220.0,3.5,264.3576,4.0,61.15826464,3.0,0.399253848,1.0
724.0,1.0,33.0,654.0,50.0,14.0,198.0,3.571428571,254.75,4.0,55.96476164,11.0,-0.229551002,0.0
792.0,1.0,28.0,68307.7494,1283.0,179.0,566.0,7.167597765,7042.7095,8.16,413.2194315,25.0,-0.01506994,1.0
792.0,1.0,19.0,98.299,59.0,18.0,522.0,3.277777778,10.6832,3.785714286,6.422424784,14.0,-0.103957101,0.0
250.0,1.0,20.0,3152.3302,102.0,33.0,290.0,3.090909091,588.1402,2.0,171.0321607,5.0,-0.237433137,0.0
276.0,1.0,24.0,598.93,187.0,24.0,325.0,7.791666667,126.3,20.75,45.93569076,8.0,-0.2708196,1.0
250.0,1.0,33.0,61.5,50.0,5.0,179.0,10.0,13.92,12.0,14.8681707,4.0,0.456959852,0.0
300.0,1.0,28.0,4249.1,138.0,51.0,219.0,2.705882353,506.77,2.222222222,62.761379,9.0,0.13037852,1.0
276.0,1.0,39.0,668.56,768.0,56.0,58.0,13.71428571,87.81,11.82758621,7.680785988,29.0,-0.032914014,0.0
724.0,1.0,36.0,667.0,47.0,6.0,43.0,7.833333333,191.3,16.5,47.37615434,2.0,0.349776202,1.0
276.0,1.0,19.0,10.1,7.0,5.0,632.0,1.4,-0.16,1.333333333,0.577350269,3.0,9.62e-18,0.0
276.0,1.0,27.0,5676.99,494.0,153.0,572.0,3.22875817,1143.63,2.428571429,4.304535261,7.0,-0.021365731,0.0
276.0,1.0,18.0,19.0,8.0,4.0,368.0,2.0,-10.3,2.333333333,1.732050808,3.0,0.279807894,0.0
276.0,1.0,38.0,171.06,87.0,20.0,397.0,4.35,24.98,4.333333333,4.312377534,6.0,0.117683033,0.0
276.0,1.0,19.0,559.31,57.0,28.0,275.0,2.035714286,130.47,1.5,14.14213562,2.0,-1.098612289,0.0
40.0,1.0,35.0,672.4,57.0,12.0,600.0,4.75,363.4,1.0,1.767766953,2.0,-0.693147181,0.0
276.0,1.0,19.0,1409.23,107.0,9.0,401.0,11.88888889,112.45,10.83333333,117.2359444,6.0,-0.240062452,1.0
276.0,1.0,27.0,1710.52,338.0,98.0,608.0,3.448979592,310.71,1.0,3.535533906,2.0,0.693147181,0.0
276.0,0.0,27.0,19195.88,1331.0,143.0,585.0,9.307692308,-1018.29,3.428571429,55.51374467,7.0,0.207755412,0.0
276.0,1.0,19.0,170.94,141.0,32.0,732.0,4.40625,45.07,1.666666667,0.577350269,3.0,-0.549306144,0.0
276.0,1.0,39.0,86459.25,3332.0,291.0,659.0,11.45017182,14909.73,4.0,32.86001056,17.0,0.07659382,0.0
276.0,1.0,39.0,12227.47,2465.0,164.0,486.0,15.0304878,2577.02,6.666666667,25.6015839,15.0,-0.060636273,1.0
250.0,1.0,28.0,4091.01,343.0,51.0,530.0,6.725490196,146.43,1.0,1.414213562,2.0,-0.336472237,1.0
724.0,1.0,23.0,183.0,4.0,4.0,141.0,1.0,98.0,1.0,20.20725942,3.0,-0.34657359,0.0
276.0,0.0,30.0,11.24,12.0,6.0,228.0,2.0,2.19,2.0,0.992179419,5.0,-0.017338023,1.0
250.0,1.0,20.0,185.0,34.0,9.0,414.0,3.777777778,132.5,5.0,23.21565564,6.0,-0.009519286,0.0
300.0,1.0,41.0,2868.56,76.0,16.0,330.0,4.75,730.7,7.0,301.2721761,8.0,0.271022513,0.0
276.0,1.0,24.0,1578.48,367.0,26.0,32.0,14.11538462,20.9,14.6,90.9625514,25.0,0.043078498,0.0
792.0,1.0,25.0,594.2864,180.0,29.0,514.0,6.206896552,135.3932,5.454545455,10.59290724,11.0,0.078059235,0.0
276.0,0.0,35.0,49965.4,498.0,42.0,243.0,11.85714286,2552.58,6.6,357.532953,5.0,0.027184506,0.0
642.0,1.0,32.0,1398.32,498.0,82.0,577.0,6.073170732,58.82,4.090909091,10.81444068,11.0,0.137161074,0.0
276.0,0.0,46.0,2377.11,429.0,141.0,426.0,3.042553191,373.67,3.277777778,5.423962357,18.0,-0.043210896,0.0
276.0,0.0,55.0,19055.03,4154.0,363.0,574.0,11.44352617,1687.0,7.791666667,12.6573517,24.0,-0.00642803,0.0
724.0,1.0,27.0,73.41,23.0,9.0,461.0,2.555555556,-10.23,2.0,19.5515025,2.0,2.546782054,1.0
40.0,1.0,42.0,735.1,218.0,58.0,371.0,3.75862069,116.07,5.153846154,11.80852435,13.0,0.032873085,0.0
276.0,0.0,18.0,1060.06,424.0,75.0,396.0,5.653333333,3.89,4.652173913,21.69300734,23.0,-0.078630712,0.0
276.0,1.0,20.0,396.3,61.0,16.0,594.0,3.8125,-9.1,2.166666667,9.579360626,6.0,0.354653846,0.0
276.0,1.0,21.0,58.54,17.0,10.0,201.0,1.7,14.73,2.5,0.296984848,2.0,0.246860078,0.0
276.0,1.0,18.0,42321.2241,1747.0,226.0,671.0,7.730088496,2356.7341,6.173913043,48.16382576,23.0,0.054584952,0.0
276.0,1.0,19.0,750.2,200.0,14.0,732.0,14.28571429,129.74,23.66666667,42.06344414,3.0,0.501651054,0.0
276.0,1.0,22.0,729.58,66.0,14.0,323.0,4.714285714,59.58,5.333333333,118.6970935,3.0,1.543243318,0.0
276.0,1.0,33.0,322.73,60.0,18.0,50.0,3.333333333,135.88,4.076923077,14.42877996,13.0,0.025499664,1.0
792.0,1.0,22.0,3986.8301,1083.0,234.0,712.0,4.628205128,600.4598,6.631578947,14.71407395,19.0,-0.029540864,0.0
724.0,0.0,27.0,6392.62,225.0,57.0,615.0,3.947368421,380.03,2.777777778,24.44025732,9.0,0.052442586,0.0
300.0,1.0,21.0,6436.7388,183.0,77.0,548.0,2.376623377,351.0188,2.0625,59.62451083,16.0,-0.088225574,0.0
250.0,1.0,27.0,190.26,65.0,17.0,218.0,3.823529412,61.46,5.666666667,21.65193146,9.0,-0.118802802,1.0
208.0,1.0,50.0,69.7951,27.0,13.0,214.0,2.076923077,-19.3306,2.333333333,3.878898919,3.0,0.895774317,0.0
276.0,1.0,29.0,115372.1412,2059.0,241.0,567.0,8.543568465,22160.4712,10.18518519,33.19620909,27.0,0.032540228,1.0
276.0,1.0,19.0,10793.3852,523.0,62.0,667.0,8.435483871,1340.7052,10.76,59.81349397,25.0,0.023872216,0.0
300.0,1.0,24.0,32035.46,673.0,66.0,526.0,10.1969697,2485.44,22.09090909,560.077971,11.0,0.24327822,1.0
276.0,0.0,33.0,321.56,201.0,14.0,62.0,14.35714286,41.24,7.0,13.78545066,5.0,-0.316451933,0.0
756.0,1.0,25.0,868.2457,224.0,18.0,305.0,12.44444444,29.9063,20.0,114.3209684,9.0,-0.331518014,1.0
276.0,1.0,26.0,11.26,7.0,4.0,201.0,1.75,5.5,1.0,1.060660172,2.0,-0.916290732,1.0
300.0,1.0,24.0,2623.45,73.0,27.0,330.0,2.703703704,-265.44,2.0,41.02908755,4.0,-0.091998759,0.0
616.0,1.0,26.0,6726.2178,815.0,209.0,698.0,3.899521531,227.7168,3.8,25.73716192,10.0,0.079743087,0.0
276.0,1.0,20.0,14951.13,780.0,224.0,640.0,3.482142857,1463.57,8.5,34.84054787,30.0,0.047095959,0.0
276.0,1.0,49.0,1383.49,132.0,50.0,312.0,2.64,39.37,2.5,2.940226749,4.0,0.282270302,1.0
250.0,1.0,34.0,502.29,69.0,28.0,310.0,2.464285714,-24.87,3.214285714,28.29645523,14.0,-0.168253351,0.0
792.0,1.0,20.0,3175.8703,294.0,43.0,163.0,6.837209302,244.4889,10.33333333,135.854268,12.0,-0.011429002,1.0
276.0,1.0,20.0,332.35,80.0,12.0,216.0,6.666666667,-20.93,8.25,14.64659915,4.0,-0.126685542,0.0
756.0,1.0,24.0,23575.7773,1756.0,54.0,143.0,32.51851852,2312.2112,22.63157895,131.6702674,19.0,0.013727179,0.0
792.0,1.0,25.0,202.9569,39.0,11.0,66.0,3.545454545,69.3342,2.75,13.72933167,4.0,1.198423976,1.0
616.0,1.0,21.0,589.8523,268.0,66.0,480.0,4.060606061,94.6762,1.2,3.134445981,5.0,-0.240494138,0.0
276.0,1.0,27.0,83.99,19.0,4.0,351.0,4.75,38.32,3.666666667,24.29974554,3.0,-1.088867445,1.0
250.0,1.0,25.0,23277.7664,1943.0,295.0,749.0,6.586440678,1290.8964,2.615384615,74.94323153,13.0,0.039941344,0.0
208.0,1.0,18.0,848.1892,14.0,5.0,255.0,2.8,-12.8044,4.5,6.542788336,2.0,0.03417045,0.0
276.0,1.0,29.0,463.62,78.0,16.0,600.0,4.875,101.07,5.0,2.651650429,2.0,-0.29334781,0.0
792.0,1.0,33.0,35.5259,25.0,9.0,177.0,2.777777778,10.4996,3.285714286,3.896683865,7.0,-0.389900797,1.0
276.0,1.0,23.0,150.97,93.0,49.0,319.0,1.897959184,13.31,3.5,18.69098772,14.0,-0.127184433,1.0
380.0,1.0,27.0,39651.862,1994.0,130.0,484.0,15.33846154,1469.772,4.8125,13.40233274,16.0,0.064513345,0.0
208.0,1.0,27.0,73.5963,7.0,6.0,229.0,1.166666667,-35.8766,1.5,15.63179748,2.0,-1.652691028,1.0
380.0,1.0,42.0,1010.29,1661.0,170.0,511.0,9.770588235,345.79,18.10714286,9.326652314,28.0,-0.073937618,1.0
756.0,1.0,34.0,1219.2,133.0,25.0,366.0,5.32,-50.33,3.0,16.60097152,8.0,0.104598598,1.0
250.0,1.0,23.0,61.0,66.0,15.0,56.0,4.4,11.88,1.5,0.678101341,8.0,-0.07692224,0.0
724.0,1.0,29.0,10256.4283,553.0,144.0,709.0,3.840277778,401.9283,2.5,6.433959382,4.0,-0.802244595,0.0
792.0,1.0,39.0,557.1057,311.0,44.0,435.0,7.068181818,46.9819,6.9375,14.62799685,16.0,0.159057221,0.0
616.0,1.0,20.0,18206.4227,1651.0,173.0,728.0,9.543352601,972.9615,5.875,29.21570046,8.0,0.517609158,0.0
250.0,1.0,32.0,204.81,72.0,30.0,451.0,2.4,105.94,1.75,1.87209998,4.0,-0.061485136,0.0
276.0,0.0,39.0,1201.46,303.0,29.0,524.0,10.44827586,518.52,2.916666667,41.6037176,12.0,0.189449326,0.0
276.0,0.0,37.0,28.8,41.0,17.0,426.0,2.411764706,9.1,1.0,0.077781746,2.0,0.198850859,0.0
276.0,1.0,30.0,19.64,12.0,6.0,381.0,2.0,2.68,1.666666667,1.732050808,3.0,1.92e-17,0.0
300.0,1.0,29.0,174.85,41.0,11.0,480.0,3.727272727,27.33,4.375,9.171751566,8.0,-0.279234494,0.0
276.0,1.0,23.0,9930.37,558.0,51.0,683.0,10.94117647,1131.17,1.5,0.353553391,2.0,-0.693147181,1.0
276.0,1.0,25.0,3990.58,432.0,61.0,682.0,7.081967213,4.09,12.0,117.3934929,8.0,0.448817207,0.0
276.0,1.0,28.0,1397.76,204.0,14.0,258.0,14.57142857,78.3,18.85714286,79.42608451,7.0,-0.21756423,0.0
276.0,1.0,40.0,47673.2,6510.0,192.0,313.0,33.90625,5977.23,19.31578947,71.25826568,19.0,0.110380279,1.0
276.0,0.0,24.0,127.24,178.0,36.0,650.0,4.944444444,20.13,2.222222222,0.726706803,9.0,-0.015133722,0.0
276.0,1.0,26.0,20248.8001,1008.0,81.0,311.0,12.44444444,1336.2001,9.555555556,18.98021214,9.0,0.082943764,1.0
276.0,1.0,23.0,2009.7,107.0,47.0,526.0,2.276595745,166.66,1.4,1.303840481,5.0,-0.102165125,0.0
196.0,1.0,26.0,331.7651,132.0,45.0,273.0,2.933333333,59.3351,1.0,0.046188022,3.0,-0.041690804,1.0
705.0,1.0,25.0,1409.0,128.0,13.0,76.0,9.846153846,117.46,13.16666667,141.508159,6.0,-0.123716561,0.0
276.0,1.0,33.0,501.76,198.0,31.0,408.0,6.387096774,77.88,10.58333333,19.04439789,12.0,-0.150931287,0.0
276.0,1.0,18.0,5340.31,1575.0,91.0,197.0,17.30769231,309.84,26.22222222,25.62284921,18.0,0.094563399,1.0
40.0,1.0,18.0,3618.93,425.0,30.0,80.0,14.16666667,424.49,19.85,276.8865801,20.0,-0.107025232,0.0
616.0,1.0,21.0,98.3679,93.0,7.0,317.0,13.28571429,20.8838,3.666666667,2.684255708,3.0,0.911283974,1.0
300.0,1.0,31.0,148.48,11.0,6.0,425.0,1.833333333,95.03,2.0,6.557438524,3.0,0.381070026,0.0
276.0,0.0,36.0,8107.12,249.0,52.0,547.0,4.788461538,1692.35,4.476190476,80.2598538,21.0,0.005325214,0.0
826.0,1.0,21.0,5900.56,375.0,42.0,55.0,8.928571429,-238.95,12.57142857,302.7174282,21.0,-0.114269792,0.0
276.0,1.0,21.0,150898.4008,2476.0,420.0,738.0,5.895238095,6778.6008,13.04545455,94.26460879,22.0,-0.034802748,0.0
616.0,1.0,31.0,69.9144,15.0,6.0,338.0,2.5,22.018,3.25,27.31360063,4.0,-0.469462659,0.0
40.0,1.0,60.0,59037.5899,878.0,54.0,563.0,16.25925926,13.3599,18.21052632,1266.891901,19.0,-0.041986566,0.0
276.0,1.0,41.0,11258.0,1160.0,71.0,629.0,16.33802817,1031.6,20.33333333,135.7731642,21.0,0.015028304,0.0
276.0,1.0,24.0,238.99,152.0,8.0,691.0,19.0,-7.1,3.5,24.74873734,2.0,-1.504077397,0.0
756.0,1.0,26.0,139.0378,56.0,7.0,509.0,8.0,68.6091,4.666666667,6.610077779,3.0,-1.156304584,0.0
276.0,1.0,24.0,3126.853,1223.0,152.0,639.0,8.046052632,393.663,13.94117647,32.17116117,17.0,-0.028249982,0.0
756.0,1.0,27.0,457.83,105.0,8.0,188.0,13.125,32.07,17.6,60.71246396,5.0,-0.097864339,0.0
276.0,1.0,30.0,50.98,16.0,7.0,370.0,2.285714286,30.23,2.666666667,9.598270678,3.0,0.393773928,0.0
792.0,1.0,23.0,126.5756,45.0,20.0,449.0,2.25,49.1049,3.5,3.835372246,4.0,-0.019445246,1.0
276.0,1.0,22.0,15.0,7.0,6.0,210.0,1.166666667,-0.14,1.25,0.577350269,4.0,0.277258872,0.0
792.0,1.0,22.0,4899.7518,110.0,23.0,459.0,4.782608696,220.8133,9.166666667,312.0803555,6.0,-0.02403067,1.0
276.0,1.0,52.0,28887.7681,1329.0,168.0,336.0,7.910714286,619.6881,6.473684211,51.62384593,19.0,-0.020635968,0.0
276.0,1.0,32.0,527.51,199.0,41.0,580.0,4.853658537,58.32,5.333333333,9.507684611,6.0,-0.405699484,0.0
616.0,1.0,25.0,1115.265,119.0,33.0,148.0,3.606060606,8.7153,3.578947368,40.06154484,19.0,0.074108969,0.0
276.0,1.0,24.0,6306.83,80.0,33.0,220.0,2.424242424,323.12,1.0,149.0683289,6.0,0.325407019,1.0
276.0,1.0,43.0,802.25,164.0,60.0,334.0,2.733333333,-89.75,3.75,6.75,4.0,-0.107451474,0.0
276.0,1.0,21.0,33478.9665,922.0,74.0,492.0,12.45945946,1921.3065,2.25,28.74021573,4.0,0.232753783,0.0
250.0,1.0,30.0,1226.6,103.0,41.0,449.0,2.512195122,455.32,2.166666667,51.10251135,6.0,-0.711244146,1.0
276.0,1.0,21.0,233.26,36.0,16.0,449.0,2.25,137.16,5.0,7.283199846,2.0,-0.708035793,0.0
276.0,1.0,33.0,78088.8,3842.0,127.0,515.0,30.2519685,-1494.79,28.32258065,60.861005,31.0,0.014252264,1.0
196.0,1.0,19.0,423.0,37.0,11.0,64.0,3.363636364,37.75,3.6,56.68832919,10.0,0.09839925,1.0
276.0,1.0,51.0,5423.35,734.0,241.0,380.0,3.045643154,267.01,1.571428571,1.714727416,14.0,-0.075064504,0.0
792.0,1.0,34.0,58487.3413,1479.0,124.0,623.0,11.92741935,5946.7501,4.7,432.1960375,10.0,0.254505011,0.0
40.0,1.0,20.0,7283.26,98.0,17.0,349.0,5.764705882,300.97,5.0,134.3856438,2.0,-2.618298679,1.0
792.0,1.0,26.0,408.5221,71.0,16.0,381.0,4.4375,41.1098,5.5,77.56947247,2.0,-1.86075476,0.0
208.0,1.0,18.0,105.0131,142.0,35.0,350.0,4.057142857,35.8385,3.5,4.235736179,14.0,-0.057534219,0.0
