MonthsSinceLastDonation,NumberOfDonations,TotalBloodDonated,MonthsSinceFirstDonation,target
16.0,15.0,3750.0,87.0,No
39.0,1.0,250.0,39.0,No
2.0,16.0,4000.0,81.0,No
11.0,17.0,4250.0,79.0,Yes
11.0,3.0,750.0,40.0,Yes
8.0,10.0,2500.0,63.0,No
5.0,46.0,11500.0,98.0,Yes
4.0,3.0,750.0,24.0,No
13.0,7.0,1750.0,76.0,No
11.0,11.0,2750.0,42.0,No
4.0,7.0,1750.0,52.0,No
23.0,14.0,3500.0,93.0,No
21.0,1.0,250.0,21.0,No
4.0,9.0,2250.0,28.0,Yes
14.0,6.0,1500.0,34.0,No
16.0,2.0,500.0,70.0,No
11.0,4.0,1000.0,74.0,No
4.0,4.0,1000.0,41.0,No
23.0,3.0,750.0,89.0,No
14.0,3.0,750.0,83.0,No
4.0,11.0,2750.0,95.0,No
16.0,1.0,250.0,16.0,No
11.0,3.0,750.0,26.0,No
23.0,1.0,250.0,23.0,No
14.0,3.0,750.0,31.0,No
4.0,1.0,250.0,4.0,No
4.0,2.0,500.0,46.0,No
2.0,1.0,250.0,2.0,No
2.0,6.0,1500.0,75.0,No
2.0,1.0,250.0,2.0,No
4.0,6.0,1500.0,47.0,No
11.0,5.0,1250.0,41.0,No
2.0,1.0,250.0,2.0,No
2.0,4.0,1000.0,16.0,No
16.0,1.0,250.0,16.0,No
4.0,1.0,250.0,4.0,No
23.0,4.0,1000.0,87.0,No
16.0,1.0,250.0,16.0,No
2.0,6.0,1500.0,47.0,No
2.0,2.0,500.0,10.0,No
14.0,2.0,500.0,35.0,Yes
14.0,16.0,4000.0,70.0,No
4.0,6.0,1500.0,35.0,No
9.0,2.0,500.0,26.0,No
2.0,3.0,750.0,19.0,No
11.0,2.0,500.0,21.0,No
4.0,2.0,500.0,31.0,No
1.0,13.0,3250.0,47.0,No
2.0,2.0,500.0,2.0,No
2.0,5.0,1250.0,37.0,No
21.0,1.0,250.0,21.0,No
16.0,1.0,250.0,16.0,No
4.0,8.0,2000.0,26.0,Yes
16.0,1.0,250.0,16.0,No
2.0,1.0,250.0,2.0,No
26.0,5.0,1250.0,49.0,Yes
16.0,14.0,3500.0,83.0,No
3.0,1.0,250.0,3.0,Yes
14.0,1.0,250.0,14.0,No
2.0,2.0,500.0,2.0,No
2.0,2.0,500.0,11.0,Yes
14.0,1.0,250.0,14.0,No
8.0,8.0,2000.0,52.0,Yes
16.0,7.0,1750.0,87.0,Yes
9.0,5.0,1250.0,19.0,No
2.0,11.0,2750.0,28.0,No
21.0,4.0,1000.0,52.0,No
23.0,1.0,250.0,23.0,No
2.0,5.0,1250.0,16.0,No
4.0,7.0,1750.0,58.0,No
9.0,1.0,250.0,9.0,No
2.0,10.0,2500.0,64.0,No
4.0,6.0,1500.0,28.0,Yes
21.0,2.0,500.0,25.0,No
16.0,1.0,250.0,16.0,No
1.0,14.0,3500.0,95.0,No
4.0,5.0,1250.0,16.0,Yes
14.0,3.0,750.0,41.0,No
12.0,13.0,3250.0,59.0,No
11.0,2.0,500.0,14.0,No
4.0,3.0,750.0,16.0,No
23.0,2.0,500.0,87.0,No
9.0,5.0,1250.0,51.0,Yes
4.0,4.0,1000.0,26.0,Yes
11.0,3.0,750.0,37.0,No
11.0,1.0,250.0,11.0,Yes
4.0,4.0,1000.0,16.0,No
14.0,1.0,250.0,14.0,No
11.0,6.0,1500.0,26.0,No
38.0,1.0,250.0,38.0,No
4.0,1.0,250.0,4.0,No
4.0,19.0,4750.0,69.0,Yes
23.0,2.0,500.0,23.0,No
16.0,5.0,1250.0,60.0,No
13.0,4.0,1000.0,21.0,No
11.0,1.0,250.0,11.0,No
4.0,7.0,1750.0,82.0,No
2.0,2.0,500.0,16.0,No
14.0,6.0,1500.0,51.0,No
2.0,2.0,500.0,14.0,No
4.0,1.0,250.0,4.0,No
9.0,9.0,2250.0,54.0,No
11.0,6.0,1500.0,28.0,No
21.0,1.0,250.0,21.0,No
4.0,1.0,250.0,4.0,Yes
3.0,10.0,2500.0,33.0,Yes
11.0,3.0,750.0,28.0,No
2.0,13.0,3250.0,32.0,Yes
16.0,3.0,750.0,46.0,No
2.0,11.0,2750.0,41.0,Yes
3.0,5.0,1250.0,38.0,No
11.0,2.0,500.0,11.0,No
14.0,3.0,750.0,19.0,Yes
4.0,5.0,1250.0,58.0,No
4.0,1.0,250.0,4.0,No
23.0,4.0,1000.0,52.0,No
5.0,14.0,3500.0,86.0,No
21.0,2.0,500.0,21.0,No
23.0,1.0,250.0,23.0,No
21.0,3.0,750.0,35.0,No
14.0,2.0,500.0,14.0,No
6.0,22.0,5500.0,28.0,Yes
21.0,1.0,250.0,21.0,No
10.0,8.0,2000.0,39.0,No
21.0,2.0,500.0,26.0,No
2.0,6.0,1500.0,41.0,Yes
14.0,5.0,1250.0,50.0,No
2.0,4.0,1000.0,14.0,Yes
5.0,6.0,1500.0,28.0,No
14.0,2.0,500.0,14.0,No
23.0,4.0,1000.0,53.0,No
2.0,7.0,1750.0,46.0,Yes
16.0,4.0,1000.0,23.0,No
4.0,2.0,500.0,30.0,No
7.0,9.0,2250.0,89.0,Yes
21.0,5.0,1250.0,60.0,No
16.0,2.0,500.0,26.0,No
2.0,2.0,500.0,14.0,No
2.0,9.0,2250.0,22.0,Yes
11.0,1.0,250.0,11.0,No
14.0,2.0,500.0,14.0,No
14.0,7.0,1750.0,73.0,No
21.0,1.0,250.0,21.0,No
2.0,4.0,1000.0,70.0,No
16.0,7.0,1750.0,93.0,No
11.0,2.0,500.0,24.0,No
4.0,5.0,1250.0,34.0,No
14.0,1.0,250.0,14.0,No
11.0,3.0,750.0,23.0,No
4.0,9.0,2250.0,46.0,No
4.0,6.0,1500.0,43.0,No
11.0,9.0,2250.0,38.0,No
11.0,5.0,1250.0,35.0,No
23.0,12.0,3000.0,86.0,No
4.0,1.0,250.0,4.0,No
2.0,2.0,500.0,23.0,No
23.0,3.0,750.0,28.0,No
11.0,14.0,3500.0,73.0,Yes
2.0,6.0,1500.0,16.0,Yes
2.0,10.0,2500.0,28.0,Yes
2.0,4.0,1000.0,35.0,No
2.0,6.0,1500.0,45.0,No
0.0,3.0,750.0,4.0,No
1.0,10.0,2500.0,43.0,Yes
14.0,2.0,500.0,35.0,No
16.0,1.0,250.0,16.0,No
4.0,1.0,250.0,4.0,Yes
4.0,4.0,1000.0,46.0,No
11.0,1.0,250.0,11.0,No
3.0,21.0,5250.0,42.0,Yes
14.0,3.0,750.0,35.0,No
4.0,2.0,500.0,4.0,Yes
14.0,1.0,250.0,14.0,No
4.0,1.0,250.0,4.0,No
23.0,2.0,500.0,26.0,No
4.0,6.0,1500.0,14.0,No
4.0,5.0,1250.0,58.0,No
21.0,16.0,4000.0,64.0,No
16.0,7.0,1750.0,39.0,No
4.0,3.0,750.0,25.0,Yes
16.0,3.0,750.0,35.0,No
4.0,1.0,250.0,4.0,No
4.0,1.0,250.0,4.0,Yes
3.0,14.0,3500.0,35.0,No
2.0,1.0,250.0,2.0,No
21.0,13.0,3250.0,57.0,No
2.0,1.0,250.0,2.0,No
4.0,8.0,2000.0,40.0,Yes
14.0,8.0,2000.0,50.0,No
16.0,2.0,500.0,16.0,No
2.0,5.0,1250.0,47.0,Yes
14.0,7.0,1750.0,35.0,No
2.0,1.0,250.0,2.0,No
14.0,5.0,1250.0,64.0,No
2.0,1.0,250.0,2.0,No
21.0,7.0,1750.0,38.0,No
4.0,3.0,750.0,28.0,No
4.0,1.0,250.0,4.0,No
1.0,12.0,3000.0,35.0,No
23.0,1.0,250.0,23.0,No
23.0,2.0,500.0,26.0,No
11.0,22.0,5500.0,98.0,No
21.0,3.0,750.0,35.0,No
12.0,11.0,2750.0,23.0,No
4.0,5.0,1250.0,74.0,No
2.0,3.0,750.0,16.0,Yes
4.0,9.0,2250.0,26.0,Yes
2.0,2.0,500.0,11.0,Yes
2.0,3.0,750.0,9.0,Yes
2.0,2.0,500.0,22.0,No
4.0,8.0,2000.0,34.0,Yes
2.0,5.0,1250.0,16.0,No
11.0,16.0,4000.0,89.0,No
2.0,1.0,250.0,2.0,No
23.0,2.0,500.0,23.0,No
4.0,6.0,1500.0,39.0,No
2.0,7.0,1750.0,77.0,No
4.0,2.0,500.0,4.0,No
16.0,4.0,1000.0,40.0,No
16.0,1.0,250.0,16.0,No
3.0,2.0,500.0,23.0,No
2.0,20.0,5000.0,45.0,Yes
2.0,1.0,250.0,2.0,No
16.0,4.0,1000.0,45.0,No
16.0,3.0,750.0,50.0,No
11.0,2.0,500.0,11.0,No
4.0,1.0,250.0,4.0,Yes
2.0,3.0,750.0,22.0,No
23.0,1.0,250.0,23.0,Yes
4.0,5.0,1250.0,46.0,No
23.0,1.0,250.0,23.0,No
14.0,16.0,4000.0,98.0,No
2.0,11.0,2750.0,26.0,No
4.0,9.0,2250.0,55.0,No
2.0,21.0,5250.0,52.0,Yes
21.0,2.0,500.0,41.0,No
5.0,7.0,1750.0,26.0,Yes
2.0,14.0,3500.0,57.0,Yes
4.0,1.0,250.0,4.0,No
11.0,1.0,250.0,11.0,No
2.0,41.0,10250.0,98.0,Yes
23.0,2.0,500.0,38.0,No
13.0,3.0,750.0,14.0,Yes
21.0,1.0,250.0,21.0,No
21.0,2.0,500.0,35.0,No
14.0,4.0,1000.0,30.0,No
4.0,2.0,500.0,41.0,No
2.0,6.0,1500.0,28.0,No
4.0,1.0,250.0,4.0,No
2.0,4.0,1000.0,16.0,No
21.0,2.0,500.0,23.0,No
14.0,5.0,1250.0,14.0,No
11.0,7.0,1750.0,37.0,No
11.0,2.0,500.0,38.0,Yes
23.0,2.0,500.0,28.0,No
9.0,3.0,750.0,14.0,No
4.0,6.0,1500.0,41.0,Yes
2.0,3.0,750.0,11.0,No
11.0,1.0,250.0,11.0,No
2.0,2.0,500.0,2.0,No
14.0,2.0,500.0,14.0,No
9.0,8.0,2000.0,38.0,Yes
4.0,1.0,250.0,4.0,No
16.0,8.0,2000.0,76.0,No
2.0,12.0,3000.0,98.0,No
2.0,1.0,250.0,2.0,No
4.0,5.0,1250.0,26.0,Yes
74.0,1.0,250.0,74.0,No
4.0,8.0,2000.0,48.0,Yes
4.0,8.0,2000.0,46.0,Yes
11.0,2.0,500.0,16.0,No
14.0,4.0,1000.0,26.0,No
12.0,11.0,2750.0,39.0,No
2.0,1.0,250.0,2.0,No
14.0,2.0,500.0,21.0,Yes
15.0,5.0,1250.0,33.0,No
4.0,5.0,1250.0,33.0,Yes
4.0,2.0,500.0,4.0,No
2.0,11.0,2750.0,79.0,Yes
2.0,2.0,500.0,11.0,Yes
2.0,8.0,2000.0,38.0,Yes
11.0,3.0,750.0,76.0,No
6.0,17.0,4250.0,70.0,No
7.0,14.0,3500.0,48.0,No
16.0,16.0,4000.0,77.0,No
2.0,12.0,3000.0,70.0,Yes
4.0,2.0,500.0,13.0,No
2.0,2.0,500.0,4.0,Yes
23.0,5.0,1250.0,58.0,No
14.0,1.0,250.0,14.0,No
2.0,11.0,2750.0,46.0,Yes
4.0,9.0,2250.0,40.0,No
1.0,24.0,6000.0,77.0,No
14.0,1.0,250.0,14.0,No
4.0,5.0,1250.0,14.0,Yes
4.0,11.0,2750.0,64.0,Yes
21.0,3.0,750.0,70.0,No
4.0,2.0,500.0,4.0,No
3.0,8.0,2000.0,50.0,No
23.0,3.0,750.0,62.0,No
14.0,2.0,500.0,16.0,No
2.0,1.0,250.0,2.0,No
2.0,3.0,750.0,14.0,No
16.0,5.0,1250.0,71.0,No
9.0,1.0,250.0,9.0,No
16.0,1.0,250.0,16.0,No
9.0,1.0,250.0,9.0,No
1.0,9.0,2250.0,51.0,No
11.0,3.0,750.0,23.0,No
14.0,2.0,500.0,14.0,No
2.0,10.0,2500.0,49.0,No
2.0,4.0,1000.0,23.0,No
4.0,11.0,2750.0,78.0,No
2.0,11.0,2750.0,46.0,No
23.0,38.0,9500.0,98.0,No
4.0,1.0,250.0,4.0,No
9.0,2.0,500.0,16.0,Yes
2.0,5.0,1250.0,34.0,No
3.0,5.0,1250.0,26.0,No
4.0,2.0,500.0,4.0,No
14.0,1.0,250.0,14.0,No
4.0,2.0,500.0,51.0,Yes
2.0,1.0,250.0,2.0,Yes
2.0,3.0,750.0,38.0,Yes
4.0,11.0,2750.0,61.0,No
2.0,6.0,1500.0,26.0,Yes
14.0,8.0,2000.0,50.0,Yes
2.0,8.0,2000.0,28.0,Yes
4.0,3.0,750.0,34.0,No
4.0,2.0,500.0,29.0,No
14.0,4.0,1000.0,22.0,Yes
11.0,5.0,1250.0,33.0,No
3.0,6.0,1500.0,21.0,No
14.0,1.0,250.0,14.0,No
11.0,12.0,3000.0,58.0,No
11.0,7.0,1750.0,29.0,No
2.0,4.0,1000.0,16.0,No
23.0,6.0,1500.0,70.0,No
2.0,2.0,500.0,4.0,Yes
7.0,5.0,1250.0,35.0,No
4.0,2.0,500.0,59.0,No
4.0,7.0,1750.0,32.0,Yes
23.0,1.0,250.0,23.0,No
21.0,1.0,250.0,21.0,No
2.0,3.0,750.0,77.0,No
4.0,10.0,2500.0,28.0,Yes
2.0,7.0,1750.0,58.0,Yes
4.0,6.0,1500.0,38.0,Yes
4.0,3.0,750.0,71.0,No
4.0,1.0,250.0,4.0,No
2.0,6.0,1500.0,35.0,Yes
16.0,7.0,1750.0,64.0,No
2.0,3.0,750.0,75.0,Yes
11.0,4.0,1000.0,34.0,No
2.0,4.0,1000.0,16.0,Yes
2.0,12.0,3000.0,52.0,No
4.0,5.0,1250.0,58.0,No
2.0,5.0,1250.0,11.0,Yes
7.0,12.0,3000.0,86.0,No
2.0,4.0,1000.0,26.0,No
23.0,1.0,250.0,23.0,No
11.0,5.0,1250.0,35.0,No
23.0,3.0,750.0,35.0,No
16.0,1.0,250.0,16.0,No
11.0,8.0,2000.0,41.0,Yes
23.0,3.0,750.0,33.0,No
23.0,6.0,1500.0,45.0,No
16.0,2.0,500.0,16.0,No
21.0,1.0,250.0,21.0,No
2.0,13.0,3250.0,76.0,Yes
2.0,4.0,1000.0,14.0,Yes
4.0,2.0,500.0,4.0,No
12.0,15.0,3750.0,71.0,No
11.0,8.0,2000.0,48.0,No
2.0,12.0,3000.0,47.0,Yes
2.0,11.0,2750.0,40.0,Yes
14.0,1.0,250.0,14.0,No
0.0,26.0,6500.0,76.0,Yes
9.0,3.0,750.0,52.0,No
4.0,2.0,500.0,52.0,No
4.0,6.0,1500.0,35.0,Yes
2.0,1.0,250.0,2.0,No
2.0,9.0,2250.0,75.0,No
4.0,3.0,750.0,16.0,Yes
4.0,7.0,1750.0,22.0,Yes
11.0,4.0,1000.0,61.0,No
4.0,7.0,1750.0,52.0,No
2.0,16.0,4000.0,64.0,No
11.0,2.0,500.0,11.0,No
6.0,3.0,750.0,14.0,No
2.0,5.0,1250.0,16.0,Yes
16.0,7.0,1750.0,28.0,No
4.0,9.0,2250.0,28.0,No
16.0,4.0,1000.0,33.0,No
23.0,15.0,3750.0,57.0,No
21.0,1.0,250.0,21.0,No
14.0,7.0,1750.0,45.0,No
16.0,12.0,3000.0,50.0,No
21.0,3.0,750.0,40.0,No
16.0,5.0,1250.0,40.0,Yes
11.0,2.0,500.0,11.0,No
14.0,5.0,1250.0,26.0,No
16.0,3.0,750.0,40.0,No
16.0,1.0,250.0,16.0,No
4.0,23.0,5750.0,58.0,No
2.0,3.0,750.0,21.0,No
11.0,3.0,750.0,14.0,No
9.0,2.0,500.0,52.0,No
4.0,1.0,250.0,4.0,No
16.0,1.0,250.0,16.0,No
4.0,11.0,2750.0,28.0,No
16.0,1.0,250.0,16.0,No
4.0,2.0,500.0,14.0,No
14.0,8.0,2000.0,46.0,No
23.0,19.0,4750.0,62.0,No
21.0,1.0,250.0,21.0,No
2.0,2.0,500.0,41.0,No
4.0,10.0,2500.0,28.0,Yes
18.0,8.0,2000.0,95.0,No
2.0,3.0,750.0,14.0,No
2.0,4.0,1000.0,16.0,No
2.0,11.0,2750.0,88.0,No
11.0,4.0,1000.0,59.0,No
14.0,1.0,250.0,14.0,No
16.0,3.0,750.0,34.0,No
2.0,3.0,750.0,52.0,No
14.0,13.0,3250.0,57.0,No
21.0,3.0,750.0,26.0,No
14.0,5.0,1250.0,28.0,Yes
3.0,16.0,4000.0,74.0,No
2.0,1.0,250.0,2.0,No
2.0,43.0,10750.0,86.0,Yes
2.0,2.0,500.0,4.0,No
2.0,14.0,3500.0,48.0,Yes
2.0,7.0,1750.0,76.0,No
23.0,3.0,750.0,48.0,No
2.0,1.0,250.0,2.0,Yes
4.0,5.0,1250.0,23.0,Yes
11.0,1.0,250.0,11.0,No
4.0,8.0,2000.0,28.0,No
21.0,1.0,250.0,21.0,Yes
23.0,5.0,1250.0,33.0,No
11.0,1.0,250.0,11.0,No
4.0,20.0,5000.0,69.0,Yes
8.0,9.0,2250.0,64.0,No
5.0,11.0,2750.0,75.0,No
14.0,2.0,500.0,14.0,Yes
2.0,5.0,1250.0,63.0,No
11.0,3.0,750.0,16.0,Yes
14.0,1.0,250.0,14.0,No
2.0,1.0,250.0,2.0,Yes
2.0,3.0,750.0,35.0,No
23.0,1.0,250.0,23.0,No
2.0,6.0,1500.0,28.0,Yes
16.0,7.0,1750.0,38.0,No
2.0,12.0,3000.0,95.0,No
4.0,2.0,500.0,9.0,No
21.0,2.0,500.0,33.0,No
2.0,9.0,2250.0,74.0,No
4.0,4.0,1000.0,14.0,Yes
4.0,1.0,250.0,4.0,No
2.0,15.0,3750.0,64.0,No
2.0,1.0,250.0,2.0,No
4.0,1.0,250.0,4.0,No
2.0,7.0,1750.0,77.0,No
2.0,12.0,3000.0,82.0,No
16.0,6.0,1500.0,50.0,No
4.0,6.0,1500.0,35.0,No
2.0,6.0,1500.0,28.0,Yes
4.0,3.0,750.0,16.0,No
14.0,4.0,1000.0,57.0,No
21.0,2.0,500.0,21.0,Yes
2.0,7.0,1750.0,28.0,Yes
9.0,11.0,2750.0,49.0,Yes
23.0,3.0,750.0,41.0,No
11.0,7.0,1750.0,64.0,No
10.0,5.0,1250.0,38.0,No
11.0,6.0,1500.0,41.0,No
4.0,2.0,500.0,4.0,Yes
16.0,6.0,1500.0,81.0,No
11.0,1.0,250.0,11.0,No
4.0,16.0,4000.0,98.0,Yes
2.0,9.0,2250.0,36.0,No
14.0,3.0,750.0,52.0,No
2.0,50.0,12500.0,98.0,Yes
2.0,1.0,250.0,2.0,No
14.0,2.0,500.0,14.0,No
4.0,6.0,1500.0,52.0,No
9.0,2.0,500.0,52.0,No
4.0,4.0,1000.0,4.0,Yes
14.0,3.0,750.0,35.0,No
2.0,1.0,250.0,2.0,No
4.0,1.0,250.0,4.0,Yes
4.0,4.0,1000.0,34.0,Yes
4.0,1.0,250.0,4.0,No
2.0,1.0,250.0,2.0,Yes
2.0,2.0,500.0,11.0,No
4.0,4.0,1000.0,4.0,No
16.0,6.0,1500.0,35.0,No
4.0,16.0,4000.0,38.0,Yes
11.0,8.0,2000.0,72.0,No
16.0,4.0,1000.0,28.0,No
7.0,2.0,500.0,16.0,No
14.0,1.0,250.0,14.0,No
11.0,11.0,2750.0,38.0,No
11.0,4.0,1000.0,58.0,No
0.0,13.0,3250.0,28.0,Yes
14.0,8.0,2000.0,26.0,No
4.0,6.0,1500.0,23.0,Yes
9.0,9.0,2250.0,38.0,No
2.0,1.0,250.0,2.0,No
14.0,7.0,1750.0,72.0,No
2.0,3.0,750.0,24.0,No
2.0,1.0,250.0,2.0,No
7.0,10.0,2500.0,47.0,No
22.0,1.0,250.0,22.0,Yes
16.0,3.0,750.0,19.0,No
10.0,4.0,1000.0,16.0,No
11.0,4.0,1000.0,16.0,Yes
23.0,3.0,750.0,40.0,No
21.0,1.0,250.0,21.0,No
2.0,11.0,2750.0,23.0,No
4.0,1.0,250.0,4.0,Yes
11.0,3.0,750.0,15.0,No
14.0,4.0,1000.0,64.0,No
21.0,1.0,250.0,21.0,No
21.0,2.0,500.0,23.0,No
2.0,7.0,1750.0,35.0,Yes
16.0,8.0,2000.0,28.0,No
16.0,1.0,250.0,16.0,No
15.0,16.0,4000.0,82.0,No
4.0,1.0,250.0,4.0,No
4.0,5.0,1250.0,35.0,Yes
11.0,8.0,2000.0,52.0,Yes
11.0,2.0,500.0,70.0,No
11.0,5.0,1250.0,38.0,No
2.0,6.0,1500.0,26.0,No
14.0,7.0,1750.0,47.0,No
9.0,3.0,750.0,34.0,No
4.0,4.0,1000.0,18.0,No
4.0,12.0,3000.0,34.0,Yes
2.0,2.0,500.0,11.0,No
6.0,2.0,500.0,11.0,Yes
4.0,5.0,1250.0,23.0,No
23.0,1.0,250.0,23.0,No
2.0,1.0,250.0,2.0,Yes
23.0,1.0,250.0,23.0,No
23.0,2.0,500.0,28.0,No
2.0,2.0,500.0,4.0,No
14.0,1.0,250.0,14.0,No
9.0,9.0,2250.0,45.0,No
4.0,1.0,250.0,4.0,No
16.0,1.0,250.0,16.0,No
23.0,1.0,250.0,23.0,No
11.0,7.0,1750.0,62.0,Yes
2.0,1.0,250.0,2.0,No
16.0,3.0,750.0,86.0,No
4.0,1.0,250.0,4.0,No
4.0,6.0,1500.0,14.0,No
18.0,2.0,500.0,23.0,No
2.0,6.0,1500.0,15.0,Yes
4.0,2.0,500.0,4.0,Yes
16.0,4.0,1000.0,28.0,No
16.0,3.0,750.0,23.0,No
2.0,34.0,8500.0,77.0,Yes
11.0,1.0,250.0,11.0,No
14.0,2.0,500.0,14.0,No
21.0,1.0,250.0,21.0,No
6.0,3.0,750.0,26.0,No
2.0,5.0,1250.0,33.0,Yes
1.0,7.0,1750.0,57.0,No
11.0,8.0,2000.0,46.0,No
2.0,4.0,1000.0,14.0,No
4.0,16.0,4000.0,70.0,Yes
3.0,4.0,1000.0,29.0,Yes
21.0,3.0,750.0,38.0,No
23.0,1.0,250.0,23.0,No
4.0,33.0,8250.0,98.0,Yes
14.0,4.0,1000.0,28.0,Yes
2.0,13.0,3250.0,53.0,Yes
20.0,14.0,3500.0,69.0,Yes
0.0,2.0,500.0,4.0,No
11.0,2.0,500.0,21.0,No
14.0,5.0,1250.0,28.0,No
2.0,15.0,3750.0,49.0,Yes
11.0,5.0,1250.0,37.0,Yes
21.0,6.0,1500.0,48.0,No
4.0,5.0,1250.0,16.0,Yes
2.0,7.0,1750.0,29.0,No
16.0,4.0,1000.0,58.0,No
14.0,4.0,1000.0,40.0,No
40.0,1.0,250.0,40.0,No
4.0,4.0,1000.0,43.0,Yes
11.0,1.0,250.0,11.0,No
11.0,5.0,1250.0,18.0,No
12.0,12.0,3000.0,58.0,No
4.0,1.0,250.0,4.0,No
11.0,1.0,250.0,11.0,No
2.0,2.0,500.0,4.0,No
2.0,1.0,250.0,2.0,No
14.0,1.0,250.0,14.0,No
9.0,9.0,2250.0,16.0,No
4.0,1.0,250.0,4.0,Yes
14.0,4.0,1000.0,38.0,No
11.0,9.0,2250.0,72.0,Yes
2.0,7.0,1750.0,32.0,Yes
23.0,1.0,250.0,23.0,No
2.0,1.0,250.0,2.0,No
8.0,2.0,500.0,16.0,No
16.0,11.0,2750.0,40.0,No
4.0,6.0,1500.0,46.0,No
11.0,7.0,1750.0,75.0,No
11.0,5.0,1250.0,50.0,No
4.0,12.0,3000.0,88.0,No
2.0,2.0,500.0,4.0,Yes
11.0,10.0,2500.0,35.0,No
1.0,14.0,3500.0,58.0,No
4.0,1.0,250.0,4.0,No
17.0,7.0,1750.0,58.0,Yes
16.0,6.0,1500.0,40.0,No
14.0,1.0,250.0,14.0,No
2.0,2.0,500.0,10.0,Yes
8.0,9.0,2250.0,58.0,No
2.0,6.0,1500.0,15.0,Yes
11.0,2.0,500.0,26.0,No
2.0,4.0,1000.0,11.0,No
23.0,3.0,750.0,39.0,No
14.0,3.0,750.0,33.0,No
23.0,8.0,2000.0,69.0,No
2.0,6.0,1500.0,16.0,Yes
4.0,2.0,500.0,9.0,Yes
2.0,1.0,250.0,2.0,No
2.0,6.0,1500.0,22.0,Yes
16.0,3.0,750.0,21.0,No
21.0,2.0,500.0,52.0,No
8.0,15.0,3750.0,77.0,No
11.0,4.0,1000.0,27.0,No
4.0,1.0,250.0,4.0,No
35.0,3.0,750.0,64.0,No
2.0,7.0,1750.0,14.0,Yes
2.0,3.0,750.0,4.0,Yes
2.0,3.0,750.0,22.0,No
3.0,5.0,1250.0,12.0,Yes
4.0,5.0,1250.0,28.0,No
4.0,10.0,2500.0,28.0,Yes
11.0,1.0,250.0,11.0,Yes
14.0,3.0,750.0,28.0,No
23.0,8.0,2000.0,46.0,No
14.0,5.0,1250.0,74.0,No
21.0,3.0,750.0,26.0,Yes
2.0,1.0,250.0,2.0,No
21.0,3.0,750.0,38.0,No
4.0,9.0,2250.0,52.0,No
2.0,5.0,1250.0,26.0,No
7.0,5.0,1250.0,52.0,No
11.0,2.0,500.0,52.0,No
14.0,3.0,750.0,79.0,No
2.0,5.0,1250.0,26.0,No
16.0,5.0,1250.0,27.0,No
4.0,7.0,1750.0,25.0,No
4.0,1.0,250.0,4.0,Yes
4.0,5.0,1250.0,11.0,Yes
4.0,13.0,3250.0,39.0,Yes
16.0,6.0,1500.0,35.0,Yes
2.0,3.0,750.0,4.0,Yes
21.0,2.0,500.0,23.0,No
23.0,1.0,250.0,23.0,No
7.0,11.0,2750.0,89.0,No
5.0,24.0,6000.0,79.0,No
4.0,4.0,1000.0,26.0,No
14.0,7.0,1750.0,26.0,No
