state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,target
1.0,120.0,415.0,0.0,0.0,0.0,216.5,113.0,36.81,251.8,91.0,21.4,164.5,125.0,7.4,7.3,1.0,1.97,3.0,No
50.0,159.0,415.0,0.0,0.0,0.0,167.4,68.0,28.46,143.8,74.0,12.22,140.1,111.0,6.3,10.3,3.0,2.78,0.0,Yes
26.0,34.0,415.0,0.0,1.0,14.0,151.5,100.0,25.76,248.7,126.0,21.14,199.8,120.0,8.99,10.7,5.0,2.89,2.0,No
29.0,127.0,408.0,0.0,0.0,0.0,135.5,110.0,23.04,146.0,116.0,12.41,208.0,88.0,9.36,10.7,4.0,2.89,2.0,No
10.0,73.0,408.0,0.0,0.0,0.0,157.6,92.0,26.79,198.3,87.0,16.86,364.9,106.0,16.42,9.1,4.0,2.46,1.0,No
5.0,85.0,510.0,0.0,1.0,21.0,283.2,110.0,48.14,239.7,108.0,20.37,149.5,80.0,6.73,6.3,1.0,1.7,5.0,No
46.0,84.0,415.0,0.0,1.0,42.0,214.3,112.0,36.43,188.2,107.0,16.0,333.5,117.0,15.01,11.3,10.0,3.05,0.0,No
17.0,169.0,510.0,0.0,0.0,0.0,276.1,120.0,46.94,123.5,88.0,10.5,261.9,116.0,11.79,11.9,5.0,3.21,1.0,No
31.0,77.0,408.0,1.0,1.0,34.0,209.9,79.0,35.68,226.1,88.0,19.22,101.8,103.0,4.58,11.4,2.0,3.08,2.0,Yes
6.0,59.0,415.0,0.0,1.0,46.0,200.1,44.0,34.02,126.0,78.0,10.71,146.3,123.0,6.58,10.6,5.0,2.86,1.0,No
31.0,117.0,415.0,0.0,0.0,0.0,128.6,92.0,21.86,191.7,61.0,16.29,121.7,117.0,5.48,12.4,9.0,3.35,2.0,No
34.0,9.0,408.0,0.0,1.0,31.0,193.8,130.0,32.95,202.6,98.0,17.22,191.2,102.0,8.6,13.3,2.0,3.59,1.0,No
16.0,70.0,408.0,0.0,0.0,0.0,232.1,122.0,39.46,292.3,112.0,24.85,201.2,112.0,9.05,0.0,0.0,0.0,3.0,No
22.0,137.0,415.0,0.0,0.0,0.0,137.5,102.0,23.38,176.0,98.0,14.96,210.6,88.0,9.48,10.4,6.0,2.81,0.0,No
13.0,7.0,408.0,0.0,0.0,0.0,98.5,85.0,16.75,200.3,80.0,17.03,252.3,68.0,11.35,12.0,7.0,3.24,2.0,No
37.0,122.0,408.0,0.0,0.0,0.0,152.0,86.0,25.84,162.8,61.0,13.84,161.9,98.0,7.29,9.3,3.0,2.51,1.0,No
30.0,163.0,415.0,0.0,1.0,39.0,268.1,104.0,45.58,216.6,65.0,18.41,359.9,118.0,16.2,11.4,4.0,3.08,0.0,No
44.0,107.0,510.0,0.0,0.0,0.0,257.7,98.0,43.81,156.5,84.0,13.3,104.4,123.0,4.7,9.8,3.0,2.65,1.0,No
47.0,121.0,510.0,0.0,0.0,0.0,255.1,93.0,43.37,266.9,97.0,22.69,197.7,118.0,8.9,8.8,3.0,2.38,3.0,Yes
44.0,201.0,510.0,0.0,0.0,0.0,212.7,72.0,36.16,225.2,90.0,19.14,195.1,99.0,8.78,7.0,6.0,1.89,1.0,No
14.0,68.0,415.0,0.0,0.0,0.0,134.6,73.0,22.88,206.8,117.0,17.58,138.4,104.0,6.23,9.4,2.0,2.54,2.0,No
37.0,134.0,415.0,0.0,1.0,50.0,208.8,130.0,35.5,132.9,104.0,11.3,136.7,107.0,6.15,11.1,4.0,3.0,2.0,No
25.0,131.0,415.0,0.0,0.0,0.0,131.6,95.0,22.37,179.3,109.0,15.24,251.2,129.0,11.3,15.5,3.0,4.19,1.0,Yes
32.0,65.0,415.0,0.0,0.0,0.0,105.7,95.0,17.97,141.8,100.0,12.05,180.5,105.0,8.12,6.6,12.0,1.78,2.0,No
2.0,99.0,408.0,0.0,1.0,21.0,180.2,97.0,30.63,167.7,47.0,14.25,203.1,84.0,9.14,14.6,5.0,3.94,2.0,No
41.0,185.0,408.0,0.0,1.0,18.0,103.9,112.0,17.66,230.0,111.0,19.55,155.7,119.0,7.01,8.5,5.0,2.3,0.0,No
44.0,51.0,408.0,0.0,1.0,0.0,212.9,80.0,36.19,236.1,57.0,20.07,187.6,99.0,8.44,8.8,4.0,2.38,2.0,No
47.0,63.0,408.0,0.0,0.0,0.0,211.7,107.0,35.99,271.7,77.0,23.09,203.3,108.0,9.15,7.4,7.0,2.0,0.0,No
18.0,117.0,408.0,0.0,0.0,0.0,184.5,97.0,31.37,351.6,80.0,29.89,215.8,90.0,9.71,8.7,4.0,2.35,1.0,No
6.0,37.0,408.0,0.0,0.0,0.0,134.9,98.0,22.93,248.4,130.0,21.11,236.2,113.0,10.63,14.7,2.0,3.97,3.0,No
13.0,119.0,415.0,1.0,1.0,32.0,173.0,101.0,29.41,209.4,93.0,17.8,231.1,91.0,10.4,12.2,4.0,3.29,0.0,No
9.0,98.0,408.0,0.0,0.0,0.0,92.3,128.0,15.69,250.1,89.0,21.26,211.9,110.0,9.54,10.8,16.0,2.92,3.0,No
46.0,117.0,408.0,1.0,0.0,0.0,167.1,86.0,28.41,177.5,87.0,15.09,249.4,132.0,11.22,14.1,7.0,3.81,2.0,Yes
42.0,105.0,510.0,0.0,0.0,0.0,119.3,82.0,20.28,185.1,111.0,15.73,157.0,74.0,7.07,10.9,4.0,2.94,2.0,No
40.0,104.0,415.0,0.0,0.0,0.0,109.1,141.0,18.55,187.1,140.0,15.9,216.6,100.0,9.75,10.0,4.0,2.7,3.0,No
33.0,77.0,415.0,0.0,0.0,0.0,239.2,114.0,40.66,150.0,115.0,12.75,160.8,81.0,7.24,10.3,2.0,2.78,5.0,No
45.0,114.0,415.0,1.0,1.0,31.0,174.5,104.0,29.67,224.2,92.0,19.06,116.3,91.0,5.23,12.3,10.0,3.32,2.0,No
29.0,117.0,415.0,0.0,0.0,0.0,102.8,119.0,17.48,206.7,91.0,17.57,299.0,105.0,13.46,10.1,7.0,2.73,1.0,No
8.0,82.0,415.0,1.0,1.0,41.0,116.9,74.0,19.87,228.2,115.0,19.4,251.4,89.0,11.31,9.9,8.0,2.67,1.0,No
37.0,98.0,415.0,1.0,0.0,0.0,12.5,67.0,2.13,256.6,90.0,21.81,169.4,88.0,7.62,7.7,9.0,2.08,1.0,No
20.0,75.0,415.0,0.0,1.0,39.0,198.2,107.0,33.69,280.4,132.0,23.83,129.6,73.0,5.83,11.3,7.0,3.05,1.0,No
35.0,32.0,415.0,0.0,1.0,31.0,232.8,97.0,39.58,183.5,111.0,15.6,206.8,111.0,9.31,13.0,2.0,3.51,0.0,No
36.0,154.0,415.0,1.0,0.0,0.0,145.9,69.0,24.8,208.2,141.0,17.7,180.9,106.0,8.14,14.4,10.0,3.89,0.0,Yes
41.0,166.0,510.0,0.0,1.0,32.0,148.4,86.0,25.23,170.6,119.0,14.5,201.5,124.0,9.07,11.3,12.0,3.05,1.0,No
28.0,110.0,408.0,0.0,0.0,0.0,196.1,103.0,33.34,199.7,123.0,16.97,135.9,71.0,6.12,12.9,1.0,3.48,3.0,No
22.0,74.0,415.0,0.0,0.0,0.0,314.1,86.0,53.4,222.4,99.0,18.9,259.0,121.0,11.66,12.3,5.0,3.32,3.0,Yes
7.0,70.0,415.0,0.0,0.0,0.0,152.8,145.0,25.98,183.6,102.0,15.61,151.8,75.0,6.83,10.5,2.0,2.84,1.0,No
14.0,149.0,408.0,0.0,0.0,0.0,69.1,117.0,11.75,136.3,100.0,11.59,181.7,53.0,8.18,6.3,3.0,1.7,1.0,No
