spid,commeqta,llploans,costtoincome,roe,liqassta,size,target
149015,0.043372,0.001319,0.737904,0.073536,0.187514,16.400162,poor
216130,0.155545,0.010757,0.35059,0.184071,0.156212,11.657151,very_good
259514,0.077688,0.030319,0.805001,-0.012825,0.432575,18.037759,excellent
401321,0.089315,0.016196,0.294958,0.126351,0.237028,17.778073,average
198587,0.10663,0.00723,1.167213,0.004066,0.313493,19.521713,average
386084,0.020804,0.006444,0.380747,0.122749,0.078939,19.182706,good
383003,0.02764,0.00299,0.579972,0.075334,0.639298,18.919281,very_bad
289214,0.15841,0.010581,0.491094,0.044841,0.069231,16.844051,poor
255476,0.034521,0.012292,0.759308,0.12174,0.31613,17.243947,poor
146900,0.063891,0.00666,0.282568,0.209151,0.133993,19.280477,poor
183510,0.016555,0.000871,0.459376,0.18024,0.036749,18.226372,average
248031,0.138487,0.008899,0.841691,0.000786,0.1562,14.10214,very_good
242901,0.038592,0.050491,1.371727,-0.235746,0.513268,18.155481,above_average
345753,0.201805,0.009753,0.754284,0.071229,0.212998,17.763133,very_good
282625,0.118269,0.053752,0.46465,0.204691,0.046116,19.071992,below_average
256788,0.108816,0.003628,0.736355,0.170622,0.155872,19.968945,poor
334904,0.082671,0.012975,1.382624,-0.010967,0.025419,16.009027,outstanding
330953,0.021156,-0.001289,0.479023,0.217161,0.289395,20.30479,bad
186736,0.090105,0.005247,0.361512,0.022339,0.6503,16.053219,average
263958,0.264262,8.9e-05,0.389844,0.15431,0.225442,19.578058,below_average
310951,0.026622,0.028844,0.600366,0.024651,0.191989,18.600507,excellent
206580,0.048136,0.001414,0.651681,0.055383,0.235215,18.124446,very_bad
284808,0.143323,0.062645,1.441378,-0.340094,0.430704,16.51152,above_average
389321,0.013895,0.036766,0.483467,-0.03102,0.10797,19.069122,excellent
388977,0.076226,0.028708,0.833761,-0.003936,0.263046,16.276795,good
177186,0.056343,0.001406,0.911318,0.171851,0.557348,20.682058,average
100472,0.075556,0.002009,0.460557,0.062512,0.231902,18.744192,very_bad
181639,0.154939,0.006673,0.526428,-0.002598,0.401221,17.135281,poor
235326,0.077248,0.006131,1.031744,-0.006069,0.026755,17.285161,average
253094,0.15988,0.036273,1.303839,0.119723,0.104394,15.834275,outstanding
304159,0.026819,0.002522,0.291414,0.076281,0.420746,18.13868,very_bad
158674,0.071796,0.068656,1.272183,-0.242334,0.148803,15.670899,above_average
121890,0.155678,0.001483,0.330683,-0.087158,0.457235,18.102451,average
128051,0.072336,0.035099,2.081851,0.092454,0.181077,15.716573,outstanding
390280,0.04409,-0.000316,0.664851,0.175639,0.437526,17.803715,bad
153446,0.057611,0.006602,0.41677,0.119541,0.160327,15.53133,below_average
328377,0.051086,0.006233,0.708877,0.181629,0.537873,20.986009,below_average
381493,0.12645,0.044601,0.7822,-0.057441,0.505787,16.670502,above_average
172807,0.128862,0.033514,0.402386,0.085237,0.283183,17.678447,below_average
115583,0.061261,0.013095,0.607118,0.165106,0.080459,18.992582,excellent
118085,0.112753,0.04985,0.667308,0.24466,0.16396,16.586412,good
162596,0.07114,0.007367,0.713347,0.129879,0.045336,18.190108,bad
272125,0.1723,0.009216,0.687268,0.18795,0.07535,16.362033,good
153495,0.096279,-0.001119,0.715711,0.224488,0.145959,19.92551,bad
307425,0.249542,0.029319,0.380334,-0.07325,0.066891,14.817655,very_good
200649,0.036785,0.013085,0.915223,-0.088105,0.351292,20.796608,average
129896,0.093521,0.010482,0.474395,0.026627,0.477462,19.834439,poor
357988,0.093979,0.007414,0.481162,0.111298,0.340123,20.66035,bad
190805,0.169154,0.052062,0.495397,0.130818,0.20446,16.131704,below_average
290087,0.049287,0.002388,0.36569,0.107611,0.302219,18.539943,very_bad
340758,0.151331,0.021048,0.616544,-0.432366,0.602812,16.901187,above_average
281793,0.083904,-0.000869,0.556757,0.061533,0.298114,20.474208,bad
188989,0.187945,0.031131,0.349255,0.006487,0.414842,18.229242,below_average
345554,0.197992,0.005719,0.606829,-0.002216,0.387253,16.365114,below_average
139548,0.041891,0.001347,1.071968,0.036424,0.585912,20.458802,average
155387,0.059949,0.022392,1.131617,-0.13865,0.044382,16.722322,outstanding
138728,0.174219,0.057095,0.443126,0.366729,0.395312,16.485164,good
360217,0.077011,0.008678,0.354746,0.214497,0.404934,20.079151,poor
311643,0.038161,0.010546,0.865463,0.082136,0.464861,16.536763,poor
142002,0.101567,0.009163,0.729529,0.194756,0.374088,19.867048,poor
283933,0.036639,0.002415,0.588654,0.052992,0.327415,20.231097,bad
179716,0.084876,0.002108,0.456189,0.098943,0.148965,18.835756,below_average
215824,0.071377,-0.000524,0.51747,0.097076,0.278033,20.158885,bad
105176,0.122335,0.01634,0.775111,0.008717,0.21576,15.552816,very_good
275342,0.071077,0.001207,0.488093,0.060644,0.607293,18.603089,very_bad
199127,0.027091,0.001849,0.45882,0.137001,0.06359,18.292537,bad
296384,0.123762,0.004884,0.480933,-0.10195,0.438183,20.993915,average
248033,0.074845,0.004245,0.670098,0.098082,0.31681,18.160448,bad
168439,0.055738,0.024739,1.024747,0.143482,0.175629,20.538867,above_average
189556,0.044341,0.007996,0.802757,0.221302,0.054744,17.197488,excellent
227430,0.078612,0.008481,0.440114,0.014568,0.474739,18.325421,below_average
149587,0.062628,0.003017,0.551645,-0.037169,0.155168,19.471795,poor
295164,0.119795,0.010794,0.606747,-0.382094,0.579536,20.965997,above_average
274972,0.050209,0.001211,0.629465,0.085177,0.209481,18.920247,very_bad
307169,0.104951,0.012133,0.507415,0.176694,0.191459,17.307065,average
312819,0.096901,0.006582,0.051317,0.029413,0.329805,19.206106,poor
228684,0.162999,0.010731,0.607654,0.191259,0.171155,17.163941,average
127930,0.028066,0.03183,0.652728,0.178389,0.339636,17.697898,excellent
190715,0.074903,0.006004,0.57529,0.184969,0.380733,19.630549,bad
158086,0.060324,0.001875,0.560468,0.090291,0.663628,18.504089,very_bad
291485,0.089239,0.000481,0.726799,0.18969,0.207616,17.846974,bad
101823,0.15371,0.03544,0.470297,0.091011,0.376691,19.293479,good
326188,0.130689,0.002507,0.807522,0.092734,0.39532,18.359522,poor
316608,0.077223,0.000703,0.233909,0.099332,0.200486,18.154352,very_bad
396828,0.284823,0.022593,0.834999,0.186928,0.110348,18.236152,very_good
176586,0.152573,0.007606,0.418522,0.02594,0.354935,17.481892,poor
350799,0.105125,0.014423,0.315612,0.03823,0.42856,20.924675,average
250520,0.179903,0.013897,0.842882,0.128488,0.149392,14.193539,very_good
292877,0.114052,0.001597,0.696949,0.08106,0.235582,17.077036,excellent
270763,0.050626,0.00185,0.628788,0.07072,0.319731,18.933524,very_bad
344649,0.059524,0.007671,0.601335,0.168723,0.037223,18.754352,bad
180201,0.03311,0.002975,0.991177,-0.148496,0.663556,21.161127,average
188847,0.109793,0.010546,0.420784,0.117393,0.402614,16.664847,poor
320675,0.017355,0.015245,0.658851,0.04701,0.358915,17.989625,excellent
357311,0.144987,0.047477,0.429566,0.347108,0.355294,18.648885,good
368463,0.022514,0.005313,0.661208,0.164348,0.153687,16.508242,bad
293335,0.165552,0.01329,0.907904,0.088916,0.181461,16.35187,outstanding
377008,0.187391,0.02374,0.533739,-0.080603,0.159007,13.050051,very_good
362430,0.008302,0.008466,0.504154,-0.127507,0.171689,20.158032,average
131751,0.063345,0.014349,0.644496,0.12609,0.265511,18.656955,below_average
256342,0.121927,0.003693,0.188051,0.190231,0.256219,17.701048,poor
231588,0.054837,0.000533,0.65297,0.223864,0.374082,17.68984,bad
277598,0.22926,0.017836,0.617997,0.021435,0.419792,17.356232,below_average
148696,0.155552,0.001972,0.718893,-0.066612,0.659569,18.415056,average
135324,0.088467,0.00669,0.477672,0.053441,0.072582,16.018529,bad
139575,0.052786,0.003396,0.660918,0.195392,0.449639,20.853969,bad
295638,0.075159,0.007072,0.836859,-0.002527,0.147891,19.272124,poor
191455,0.025151,0.017643,0.752208,-0.020107,0.286679,16.999172,average
184934,0.07371,0.000364,0.791323,0.105522,0.146269,20.420169,poor
268779,0.089581,0.003468,0.475952,0.185527,0.336264,17.356084,bad
106969,0.217587,0.035104,0.603143,0.052065,0.312844,17.264442,below_average
143538,0.075955,0.008778,0.37157,0.463714,0.605147,15.970406,above_average
388781,0.075786,0.020447,0.726736,0.200439,0.1289,15.083577,very_good
320883,0.062632,0.002836,0.726027,0.088525,0.474013,19.107437,very_bad
120711,0.051436,0.005206,0.690467,0.226118,0.362874,17.032105,bad
179894,0.121424,0.015482,0.543789,0.151331,0.159554,14.42845,very_good
168032,0.034576,0.069654,0.631972,0.082324,0.029498,20.823099,below_average
192673,0.073905,0.000693,0.547965,0.080086,0.657853,18.220697,very_bad
205475,0.016233,0.007159,0.406931,0.248609,0.384358,16.125696,excellent
337084,0.130637,0.044574,0.745583,0.299501,0.34348,18.077717,good
303241,0.056234,0.033027,1.341251,0.389844,0.146923,19.887695,above_average
365225,0.082315,0.014069,0.996335,-0.199635,0.144165,16.432145,outstanding
142155,0.048935,0.003016,0.654693,0.054914,0.466373,18.070338,very_bad
141708,0.050954,0.021643,0.48126,0.109457,0.103758,12.241928,very_good
395771,0.045437,0.00241,0.336019,0.07211,0.388646,18.507815,very_bad
387417,0.071339,0.013292,1.099385,-0.120544,0.508753,16.299697,average
358940,0.145746,0.007161,0.300717,0.188293,0.303757,16.496505,poor
334543,0.232327,0.056395,0.723322,0.059671,0.528556,20.028721,below_average
263341,0.072751,0.051607,0.680818,0.122667,0.287625,16.914391,below_average
140628,0.056647,0.024041,1.870412,-0.071093,0.05811,16.541336,outstanding
247756,0.11696,0.01387,0.702313,0.31896,0.163199,17.005056,good
101843,0.13929,0.055811,0.463961,0.058406,0.503984,18.816961,below_average
188509,0.087124,0.038375,1.727681,-0.069987,0.043391,16.793025,outstanding
128745,0.11131,0.057955,0.509985,0.079185,0.193599,18.195466,good
233240,0.115152,0.051382,1.093401,0.463005,0.259706,18.561796,above_average
231058,0.143844,0.019576,1.540016,-0.193778,0.153036,16.444021,outstanding
272710,0.131851,0.081093,1.449487,0.239389,0.621882,20.269876,above_average
267520,0.225564,0.013587,0.806157,0.106211,0.150367,17.209548,very_good
145904,0.143715,0.008076,0.667037,0.13024,0.348099,18.864961,average
278214,0.060291,0.02042,0.739514,-0.05078,0.360354,16.948202,good
340159,0.051212,0.002936,0.597514,0.109124,0.254894,18.516459,very_bad
142140,0.098721,0.013848,0.469099,0.08113,0.670845,17.413091,average
283446,0.166858,0.001312,0.491285,0.121643,0.086751,15.164843,very_good
308850,0.044926,0.006326,0.58763,0.132461,0.058179,18.700997,bad
259444,0.0922,0.007675,0.760533,0.232918,0.614314,16.586525,average
381263,0.024972,-0.000361,0.498995,0.127557,0.267859,20.354045,bad
323568,0.100882,0.002442,0.616453,0.228437,0.306464,20.175024,poor
182681,0.068544,0.004603,0.459224,0.148473,0.14528,20.726854,bad
146232,0.24781,0.065957,0.748358,-0.009538,0.376501,17.601883,below_average
388739,0.22483,0.018451,0.358849,0.035326,0.197184,12.10167,very_good
218373,0.117061,0.012587,0.396599,0.197558,0.201779,16.216586,excellent
132922,0.160978,0.023755,0.793288,-0.047283,0.459654,18.044976,good
280041,0.096968,0.008074,0.56943,0.146405,0.260257,15.590684,bad
236105,0.098641,0.022248,0.494984,0.180432,0.400216,15.90955,below_average
145867,0.153281,0.045265,2.04095,0.140076,0.170159,15.722236,outstanding
287930,0.072451,0.018394,2.17259,-0.188841,0.057106,16.54606,outstanding
313902,0.026065,0.007823,0.463398,0.082938,0.157156,17.361567,bad
160740,0.060216,0.00847,1.134964,0.181873,0.687924,20.658548,average
306439,0.255221,0.011291,0.668378,0.093986,0.071281,16.563284,below_average
164105,0.145555,0.035234,0.764126,-0.022474,0.447007,16.380606,below_average
187505,0.093876,0.003842,0.499518,0.145567,0.290526,16.839544,bad
195524,0.131805,0.014652,1.774692,-0.215622,0.177613,16.124296,outstanding
102626,0.013918,0.032575,0.821326,0.231509,0.144541,16.956216,excellent
248423,0.077968,0.003038,0.539528,0.079023,0.53928,18.997333,very_bad
363906,0.097125,0.007423,1.03479,0.487987,0.444682,17.584773,above_average
303932,0.025739,0.002184,0.687019,0.088488,0.137977,18.164566,very_bad
217772,0.155653,0.015248,0.841251,0.172319,0.419631,17.786237,good
164388,0.116442,0.011796,2.382541,-0.13818,0.06193,16.161682,outstanding
218302,0.122199,0.042643,0.961116,-0.066302,0.09214,16.275989,outstanding
201032,0.140585,0.053432,0.707985,0.105058,0.289246,16.269311,good
167948,0.017362,0.031218,0.758242,0.290792,0.389534,18.594106,good
114893,0.141161,0.014581,1.236618,-0.049327,0.03492,16.311917,outstanding
309629,0.079123,0.000501,0.841818,0.066301,0.095962,16.565112,average
174798,0.039411,0.00466,0.427903,-0.117033,0.05747,17.646832,average
375231,0.098732,0.008825,0.189216,0.235049,0.324006,17.864904,poor
171237,0.099417,0.016106,1.874126,-0.143399,0.132504,15.746578,outstanding
191805,0.034695,0.004927,0.83242,0.219648,0.128869,16.721036,poor
188814,0.035141,0.056093,0.635876,0.145996,0.552703,20.512867,below_average
387785,0.056736,0.019844,0.472923,0.198596,0.1058,16.388784,very_good
398846,0.142568,0.029554,1.717861,0.051083,0.080498,16.950296,outstanding
247515,0.038277,0.003653,0.498422,0.134861,0.415518,17.899065,bad
355717,0.156448,0.000992,0.288196,-0.128492,0.043492,16.771503,average
398238,0.118732,0.024757,0.481539,0.144708,0.234671,15.876541,good
106260,0.04637,0.000902,0.497778,0.192034,0.30097,20.875626,bad
137265,0.162727,0.043398,0.358461,0.036014,0.495636,16.28843,below_average
323710,0.139688,0.020495,0.821711,0.28292,0.523125,18.777921,above_average
259360,0.044916,0.032571,0.605362,-0.036337,0.418237,18.419592,excellent
101815,0.163496,0.002084,0.848517,0.239706,0.327784,21.237812,average
173054,0.053201,0.005901,0.459178,0.054796,0.373287,16.300304,bad
234475,0.07388,0.010298,0.633013,0.24713,0.263006,17.933062,excellent
347665,0.142037,0.069726,0.626314,-0.374138,0.815533,16.395288,above_average
306205,0.160991,0.022083,1.347408,-0.26341,0.113827,21.430289,above_average
241574,0.30346,0.006589,0.559462,0.18272,0.047136,10.925382,very_good
343539,0.136048,0.027977,2.025921,-0.026336,0.121946,16.622765,outstanding
224939,0.080097,0.000609,0.382586,0.109958,0.099228,18.497387,very_bad
185780,0.097867,0.022993,1.575199,-0.127477,0.688987,16.541907,above_average
286298,0.139866,0.00231,0.758879,0.030513,0.388602,16.57193,poor
273697,0.159002,0.023586,1.178486,0.177282,0.417464,17.799383,above_average
338849,0.107832,0.011446,0.245347,0.188804,0.077732,18.863218,poor
170148,0.152833,0.040574,1.31868,0.073616,0.0509,16.473964,outstanding
257687,0.04854,0.028238,0.696324,-0.416424,0.763421,16.184868,above_average
158772,0.021044,0.049841,0.633896,-0.017549,0.183928,17.869269,good
103650,0.107154,0.028345,0.824902,-0.06268,0.186714,15.366077,very_good
340475,0.069689,0.001471,0.514137,0.071793,0.451228,19.344477,poor
121271,0.295899,0.002989,0.767771,-0.003349,0.167238,15.462822,very_good
249912,0.074184,0.037875,0.512905,0.11316,0.305136,18.022034,excellent
283893,0.045695,0.002164,0.576793,0.094061,0.69615,19.078383,very_bad
140639,0.059277,0.023848,0.901192,0.144815,0.437965,17.931546,excellent
153131,0.013533,0.024561,0.670838,0.046267,0.422292,18.698327,excellent
124495,0.02973,0.049906,0.804144,-0.013575,0.159043,18.178701,good
103231,0.063868,0.000671,0.824114,0.100197,0.32015,17.475647,excellent
360148,0.066861,0.002142,0.443028,0.102427,0.357615,18.279673,very_bad
331365,0.111741,0.034476,0.540556,0.075973,0.147406,17.969599,excellent
138658,0.138384,0.0344,0.479316,0.027283,0.244636,16.641951,good
337974,0.038753,0.0015,0.664587,0.091058,0.722686,18.857355,very_bad
150498,0.074011,0.001536,0.663053,0.171819,0.068874,17.075967,bad
293235,0.124708,0.035183,1.267833,-0.412135,0.755259,18.309355,above_average
318043,0.041809,0.006732,0.862086,0.214193,0.167387,17.468607,poor
396201,0.123261,0.00405,0.850952,0.003074,0.082841,16.446262,poor
277874,0.035071,0.007868,0.449217,0.104866,0.105918,18.205594,poor
310392,0.07144,0.003054,0.476067,0.087295,0.193914,18.873919,very_bad
304893,0.185916,0.061653,0.350355,0.109267,0.594381,17.453443,below_average
271646,0.135802,0.016346,0.804394,-0.047221,0.116554,11.587408,very_good
307367,0.035655,0.002558,0.614279,0.1077,0.544529,18.310824,very_bad
301322,0.050905,0.002142,0.648537,0.060026,0.356281,18.820331,very_bad
105486,0.028686,-6.4e-05,0.461706,0.21783,0.197356,19.703779,bad
171010,0.100202,0.027746,0.884697,0.235703,0.386857,16.099575,excellent
265908,0.046687,0.002134,0.340223,0.086597,0.145922,18.716745,very_bad
269419,0.058287,0.025865,1.263242,-0.475494,0.364716,17.567474,above_average
275161,0.095605,0.021881,0.677224,-0.024818,0.246603,21.175137,below_average
139681,0.096434,0.003759,0.676077,0.104794,0.387301,17.826493,bad
276256,0.251635,0.018279,0.664913,0.048308,0.114162,12.449428,very_good
175849,0.01663,0.071357,0.661394,0.23738,0.447509,17.853323,above_average
199952,0.120974,0.039486,0.765244,0.023062,0.445587,17.531469,excellent
275119,0.134752,0.027011,1.875155,-0.192839,0.141304,16.828537,outstanding
318446,0.106291,0.011541,1.43061,0.065427,0.056564,16.276057,outstanding
233103,0.114009,0.006436,1.075879,0.121272,0.211411,17.002131,average
243934,0.135435,0.017881,0.479453,-0.052204,0.168868,18.485717,below_average
157581,0.043175,0.001965,0.467032,0.06316,0.245446,18.921211,very_bad
258479,0.029922,0.033633,0.932337,0.134907,0.255672,16.758587,excellent
268631,0.108513,0.059474,0.62609,-0.042813,0.336999,20.254579,above_average
340344,0.087077,0.000876,0.617686,0.07685,0.649868,18.619533,very_bad
229970,0.084576,0.002807,0.497633,0.123018,0.234618,17.391818,bad
154492,0.025169,0.00297,0.505429,0.064647,0.266646,18.043015,very_bad
171712,0.02378,0.041475,1.264754,0.328346,0.400097,18.247818,above_average
110721,0.070627,0.04092,2.317248,-0.180793,0.179642,16.393712,outstanding
113009,0.053859,0.020661,0.428694,0.078484,0.0333,13.851828,very_good
139947,0.266421,0.048123,0.761348,0.053644,0.486352,16.325533,below_average
281095,0.130772,0.001266,0.351978,0.183255,0.158436,18.643578,good
114122,0.260271,0.05138,0.4801,0.117326,0.265939,18.808275,below_average
201392,0.062451,0.002249,0.644387,0.09046,0.61063,18.436128,very_bad
245045,0.054321,0.011355,0.396652,0.110404,0.195332,16.446895,excellent
330830,0.020909,0.032018,0.778374,0.070654,0.090415,18.098564,excellent
399702,0.209558,0.023927,0.385839,0.048835,0.072397,13.26654,very_good
382197,0.112026,0.033746,2.264425,-0.12106,0.151155,15.837068,outstanding
175903,0.101403,0.011142,1.26001,0.386509,0.030876,20.564782,above_average
108918,0.152355,0.019877,0.786066,-0.031343,0.137299,18.505848,good
197956,0.231806,0.004228,0.621992,0.035718,0.437084,18.573062,below_average
139058,0.052942,0.002669,0.614486,0.077822,0.681995,18.32517,very_bad
330910,0.065532,-0.000407,0.692748,0.103429,0.401676,17.168974,bad
305657,0.074653,0.003132,0.573907,0.079432,0.78259,18.573059,very_bad
139206,0.03125,0.003866,0.518446,0.098637,0.144964,16.315785,bad
218194,0.038066,0.002377,0.710946,0.091117,0.24533,18.023105,very_bad
102977,0.026762,0.084582,0.925443,-0.353447,0.256741,21.357922,above_average
273812,0.086876,0.001143,0.260373,0.067108,0.250033,16.743497,poor
357856,0.123491,0.029763,0.410653,-0.020469,0.209903,17.340018,very_good
226051,0.009698,0.078724,0.764353,-0.378514,0.263189,16.818948,above_average
107622,0.008912,0.089919,0.558106,0.041581,0.41332,16.621987,above_average
340085,0.095752,0.038614,0.969186,-0.113703,0.083537,17.037901,outstanding
263607,0.151771,0.042763,0.346922,0.009927,0.23433,18.348272,above_average
117197,0.132736,0.035787,0.596312,0.266114,0.026116,16.243278,good
371491,0.153451,0.004401,0.382705,0.061298,0.27465,18.465665,average
242656,0.087588,0.000999,0.565068,0.092989,0.351174,18.547477,very_bad
111278,0.081082,0.003539,0.55001,0.065074,0.33478,19.092077,poor
366373,0.069848,0.004406,0.593017,0.065029,0.136016,20.137517,bad
364804,0.110261,0.011421,0.465959,-0.015147,0.363117,20.424534,average
242210,0.064056,0.046524,0.579257,0.157805,0.242369,17.888803,good
201745,0.088056,0.007998,0.773744,-0.012119,0.548336,17.526903,average
119200,0.196577,0.053228,0.425568,0.0067,0.145592,16.687372,below_average
243624,0.087484,0.029219,0.628558,0.182546,0.297236,16.049717,excellent
156584,0.216181,0.022273,0.711219,0.057437,0.195777,19.619281,below_average
235837,0.059569,0.05422,0.398977,0.327622,0.318668,16.470781,good
209148,0.077193,0.044927,0.349323,0.019391,0.184322,17.28523,good
117688,0.099083,0.021943,0.523911,-0.070599,0.448378,16.781,good
221420,0.158867,0.043116,1.13664,-0.200065,0.136628,16.342745,outstanding
268351,0.16341,0.044596,0.611653,-0.024176,0.429324,17.492005,below_average
238497,0.306009,0.009672,0.783866,-0.082615,0.096982,16.593774,very_good
121291,0.147681,0.071913,1.286285,-0.007749,0.698815,16.982235,above_average
166724,0.073599,0.001533,0.379734,0.106507,0.21633,18.899568,very_bad
270079,0.094757,0.023198,0.600637,-0.04679,0.431069,16.960906,good
347049,0.087677,0.02841,0.543955,-0.070019,0.090124,16.334832,outstanding
139914,0.260324,0.017036,0.557296,0.180311,0.126346,16.704136,very_good
276544,0.036648,0.000596,0.836216,0.188375,0.199029,20.151256,poor
278234,0.077366,0.000857,0.222069,0.181101,0.19998,18.893957,poor
273646,0.048861,0.004713,1.001979,-0.015408,0.38256,18.463383,average
277513,0.094194,0.021577,0.90645,-0.037634,0.045831,15.078255,very_good
106517,0.046136,0.001243,0.732232,0.071365,0.420866,19.096988,very_bad
322718,0.077258,0.013247,0.362628,0.093389,0.348862,18.612234,below_average
380236,0.150598,0.065989,0.574229,0.011795,0.278052,19.162936,below_average
145748,0.047459,0.001101,0.281652,0.058802,0.288992,18.285528,very_bad
370946,0.065907,0.016412,0.568248,2.8e-05,0.136781,17.665208,below_average
225059,0.05054,0.00268,0.753546,0.054035,0.568649,18.438735,very_bad
151528,0.01947,0.020841,0.619049,0.363577,0.387585,18.822275,good
