group,conc,age,at.risk,target
5.0,32.0,77.5,92.0,P
5.0,32.0,82.5,36.0,N
6.0,32.0,22.5,469.0,P
6.0,32.0,27.5,260.0,P
6.0,32.0,32.5,198.0,P
6.0,32.0,37.5,199.0,P
6.0,32.0,42.5,183.0,P
6.0,32.0,47.5,227.0,P
6.0,32.0,52.5,162.0,P
6.0,32.0,57.5,219.0,P
6.0,32.0,62.5,194.0,P
6.0,32.0,67.5,126.0,P
6.0,32.0,72.5,77.0,N
6.0,32.0,77.5,35.0,N
6.0,32.0,82.5,43.0,N
7.0,42.0,22.5,2063.0,P
7.0,42.0,27.5,1267.0,P
7.0,42.0,32.5,1101.0,P
7.0,42.0,37.5,1038.0,P
7.0,42.0,42.5,984.0,P
7.0,42.0,47.5,932.0,P
7.0,42.0,52.5,738.0,P
7.0,42.0,57.5,567.0,P
7.0,42.0,62.5,497.0,P
7.0,42.0,67.5,427.0,P
7.0,42.0,72.5,321.0,P
7.0,42.0,77.5,178.0,P
7.0,42.0,82.5,114.0,P
8.0,45.0,22.5,1432.0,P
8.0,45.0,27.5,830.0,P
8.0,45.0,32.5,553.0,P
8.0,45.0,37.5,520.0,P
8.0,45.0,42.5,650.0,P
8.0,45.0,47.5,710.0,P
8.0,45.0,52.5,662.0,P
8.0,45.0,57.5,456.0,P
8.0,45.0,62.5,320.0,P
8.0,45.0,67.5,232.0,P
8.0,45.0,72.5,213.0,P
8.0,45.0,77.5,129.0,P
8.0,45.0,82.5,113.0,P
9.0,50.0,22.5,1100.0,P
9.0,50.0,27.5,603.0,P
9.0,50.0,32.5,436.0,P
9.0,50.0,37.5,525.0,P
9.0,50.0,42.5,624.0,P
9.0,50.0,47.5,636.0,P
9.0,50.0,52.5,466.0,P
9.0,50.0,57.5,366.0,P
9.0,50.0,62.5,370.0,P
9.0,50.0,67.5,309.0,P
9.0,50.0,72.5,214.0,P
9.0,50.0,77.5,111.0,P
9.0,50.0,82.5,128.0,P
10.0,56.0,22.5,1105.0,P
10.0,56.0,27.5,480.0,P
10.0,56.0,32.5,414.0,P
10.0,56.0,37.5,466.0,P
10.0,56.0,42.5,582.0,P
10.0,56.0,47.5,563.0,P
10.0,56.0,52.5,447.0,P
10.0,56.0,57.5,365.0,N
10.0,56.0,62.5,283.0,N
10.0,56.0,67.5,168.0,P
10.0,56.0,72.5,125.0,N
10.0,56.0,77.5,57.0,P
10.0,56.0,82.5,39.0,P
11.0,60.0,22.5,1893.0,P
11.0,60.0,27.5,1032.0,P
11.0,60.0,32.5,668.0,P
11.0,60.0,37.5,787.0,P
11.0,60.0,42.5,950.0,P
11.0,60.0,47.5,878.0,N
11.0,60.0,52.5,807.0,P
11.0,60.0,57.5,629.0,P
11.0,60.0,62.5,559.0,P
11.0,60.0,67.5,455.0,P
11.0,60.0,72.5,298.0,P
11.0,60.0,77.5,150.0,N
11.0,60.0,82.5,121.0,P
12.0,65.0,22.5,1199.0,P
12.0,65.0,27.5,587.0,P
12.0,65.0,32.5,451.0,P
12.0,65.0,37.5,491.0,P
12.0,65.0,42.5,521.0,P
12.0,65.0,47.5,553.0,P
12.0,65.0,52.5,537.0,P
12.0,65.0,57.5,487.0,P
12.0,65.0,62.5,404.0,P
12.0,65.0,67.5,299.0,P
12.0,65.0,72.5,197.0,P
12.0,65.0,77.5,103.0,P
12.0,65.0,82.5,98.0,P
13.0,73.0,22.5,2394.0,P
13.0,73.0,27.5,1360.0,P
13.0,73.0,32.5,1183.0,P
13.0,73.0,37.5,1209.0,N
13.0,73.0,42.5,1261.0,P
13.0,73.0,47.5,1046.0,P
13.0,73.0,52.5,853.0,P
13.0,73.0,57.5,725.0,P
13.0,73.0,62.5,671.0,P
13.0,73.0,67.5,546.0,P
13.0,73.0,72.5,355.0,P
13.0,73.0,77.5,192.0,P
13.0,73.0,82.5,142.0,P
14.0,80.0,22.5,2149.0,P
14.0,80.0,27.5,1318.0,P
14.0,80.0,32.5,1018.0,P
14.0,80.0,37.5,857.0,P
14.0,80.0,42.5,988.0,P
14.0,80.0,47.5,1018.0,P
14.0,80.0,52.5,879.0,P
14.0,80.0,57.5,709.0,P
14.0,80.0,62.5,483.0,P
14.0,80.0,67.5,417.0,P
14.0,80.0,72.5,220.0,P
14.0,80.0,77.5,137.0,P
14.0,80.0,82.5,139.0,P
15.0,100.0,22.5,1439.0,P
15.0,100.0,27.5,744.0,P
15.0,100.0,32.5,415.0,P
15.0,100.0,37.5,510.0,P
15.0,100.0,42.5,564.0,P
15.0,100.0,47.5,573.0,P
15.0,100.0,52.5,467.0,P
15.0,100.0,57.5,402.0,P
15.0,100.0,62.5,385.0,P
15.0,100.0,67.5,335.0,P
15.0,100.0,72.5,254.0,P
15.0,100.0,77.5,168.0,P
15.0,100.0,82.5,136.0,P
16.0,110.0,22.5,1110.0,P
16.0,110.0,27.5,586.0,P
16.0,110.0,32.5,477.0,P
16.0,110.0,37.5,502.0,P
16.0,110.0,42.5,575.0,P
16.0,110.0,47.5,521.0,P
16.0,110.0,52.5,447.0,N
16.0,110.0,57.5,392.0,N
16.0,110.0,62.5,302.0,N
16.0,110.0,67.5,195.0,P
16.0,110.0,72.5,101.0,P
16.0,110.0,77.5,65.0,P
16.0,110.0,82.5,37.0,P
17.0,110.0,22.5,718.0,P
17.0,110.0,27.5,449.0,P
17.0,110.0,32.5,290.0,P
17.0,110.0,37.5,329.0,P
17.0,110.0,42.5,397.0,P
17.0,110.0,47.5,401.0,P
17.0,110.0,52.5,333.0,P
17.0,110.0,57.5,251.0,N
17.0,110.0,62.5,203.0,N
17.0,110.0,67.5,175.0,P
17.0,110.0,72.5,156.0,P
17.0,110.0,77.5,62.0,P
17.0,110.0,82.5,69.0,P
18.0,123.0,22.5,674.0,P
18.0,123.0,27.5,436.0,P
18.0,123.0,32.5,360.0,P
18.0,123.0,37.5,440.0,P
18.0,123.0,42.5,385.0,P
18.0,123.0,47.5,396.0,P
18.0,123.0,52.5,363.0,P
18.0,123.0,57.5,313.0,P
18.0,123.0,62.5,280.0,P
18.0,123.0,67.5,272.0,P
18.0,123.0,72.5,210.0,P
18.0,123.0,77.5,113.0,P
18.0,123.0,82.5,49.0,P
19.0,126.0,22.5,1196.0,P
19.0,126.0,27.5,501.0,P
19.0,126.0,32.5,443.0,P
19.0,126.0,37.5,510.0,P
19.0,126.0,42.5,609.0,P
19.0,126.0,47.5,610.0,P
19.0,126.0,52.5,544.0,P
19.0,126.0,57.5,453.0,P
19.0,126.0,62.5,408.0,N
19.0,126.0,67.5,295.0,P
19.0,126.0,72.5,226.0,P
19.0,126.0,77.5,142.0,P
19.0,126.0,82.5,89.0,P
20.0,256.0,22.5,1949.0,P
20.0,256.0,27.5,981.0,P
20.0,256.0,32.5,755.0,P
20.0,256.0,37.5,787.0,P
20.0,256.0,42.5,912.0,P
20.0,256.0,47.5,872.0,P
20.0,256.0,52.5,759.0,P
20.0,256.0,57.5,540.0,P
20.0,256.0,62.5,464.0,N
20.0,256.0,67.5,352.0,N
20.0,256.0,72.5,262.0,P
20.0,256.0,77.5,111.0,P
20.0,256.0,82.5,125.0,P
21.0,256.0,22.5,686.0,P
21.0,256.0,27.5,240.0,P
21.0,256.0,32.5,277.0,P
21.0,256.0,37.5,254.0,P
21.0,256.0,42.5,234.0,P
21.0,256.0,47.5,376.0,P
21.0,256.0,52.5,362.0,P
21.0,256.0,57.5,241.0,P
21.0,256.0,62.5,285.0,N
21.0,256.0,67.5,188.0,P
21.0,256.0,72.5,165.0,N
21.0,256.0,77.5,61.0,P
21.0,256.0,82.5,43.0,P
22.0,259.0,22.5,1100.0,P
22.0,259.0,27.5,572.0,P
22.0,259.0,32.5,401.0,P
22.0,259.0,37.5,365.0,P
22.0,259.0,42.5,521.0,P
22.0,259.0,47.5,453.0,P
22.0,259.0,52.5,480.0,P
22.0,259.0,57.5,389.0,P
22.0,259.0,62.5,289.0,P
22.0,259.0,67.5,193.0,P
22.0,259.0,72.5,131.0,P
22.0,259.0,77.5,101.0,P
22.0,259.0,82.5,84.0,P
23.0,307.0,22.5,547.0,P
23.0,307.0,27.5,320.0,P
23.0,307.0,32.5,164.0,P
23.0,307.0,37.5,196.0,P
23.0,307.0,42.5,266.0,P
23.0,307.0,47.5,299.0,P
23.0,307.0,52.5,271.0,P
23.0,307.0,57.5,196.0,P
23.0,307.0,62.5,153.0,P
23.0,307.0,67.5,122.0,P
23.0,307.0,72.5,94.0,P
23.0,307.0,77.5,56.0,P
23.0,307.0,82.5,74.0,P
24.0,307.0,22.5,793.0,P
24.0,307.0,27.5,466.0,P
24.0,307.0,32.5,356.0,P
24.0,307.0,37.5,490.0,P
24.0,307.0,42.5,556.0,P
24.0,307.0,47.5,520.0,P
24.0,307.0,52.5,388.0,P
24.0,307.0,57.5,268.0,P
24.0,307.0,62.5,237.0,P
24.0,307.0,67.5,188.0,P
24.0,307.0,72.5,127.0,P
24.0,307.0,77.5,60.0,P
24.0,307.0,82.5,56.0,P
25.0,350.0,22.5,659.0,P
25.0,350.0,27.5,346.0,P
25.0,350.0,32.5,273.0,P
25.0,350.0,37.5,283.0,P
25.0,350.0,42.5,385.0,P
25.0,350.0,47.5,390.0,P
25.0,350.0,52.5,292.0,P
25.0,350.0,57.5,262.0,P
25.0,350.0,62.5,243.0,P
25.0,350.0,67.5,236.0,P
25.0,350.0,72.5,102.0,P
25.0,350.0,77.5,68.0,P
25.0,350.0,82.5,47.0,P
26.0,398.0,22.5,538.0,P
26.0,398.0,27.5,272.0,P
26.0,398.0,32.5,211.0,P
26.0,398.0,37.5,232.0,P
26.0,398.0,42.5,274.0,P
26.0,398.0,47.5,321.0,P
26.0,398.0,52.5,292.0,P
26.0,398.0,57.5,175.0,P
26.0,398.0,62.5,153.0,P
26.0,398.0,67.5,122.0,N
26.0,398.0,72.5,96.0,P
26.0,398.0,77.5,23.0,P
26.0,398.0,82.5,14.0,P
27.0,406.0,22.5,770.0,P
27.0,406.0,27.5,315.0,P
27.0,406.0,32.5,239.0,P
27.0,406.0,37.5,355.0,P
27.0,406.0,42.5,412.0,P
27.0,406.0,47.5,420.0,P
27.0,406.0,52.5,367.0,N
27.0,406.0,57.5,331.0,P
27.0,406.0,62.5,284.0,P
27.0,406.0,67.5,209.0,N
27.0,406.0,72.5,114.0,P
27.0,406.0,77.5,47.0,P
27.0,406.0,82.5,23.0,N
28.0,448.0,22.5,1043.0,P
28.0,448.0,27.5,457.0,P
28.0,448.0,32.5,241.0,P
28.0,448.0,37.5,331.0,P
28.0,448.0,42.5,404.0,P
28.0,448.0,47.5,423.0,P
28.0,448.0,52.5,387.0,P
28.0,448.0,57.5,312.0,N
28.0,448.0,62.5,252.0,P
28.0,448.0,67.5,202.0,P
28.0,448.0,72.5,130.0,N
28.0,448.0,77.5,49.0,P
28.0,448.0,82.5,28.0,P
29.0,467.0,22.5,1114.0,P
29.0,467.0,27.5,720.0,P
29.0,467.0,32.5,632.0,P
29.0,467.0,37.5,566.0,P
29.0,467.0,42.5,523.0,P
29.0,467.0,47.5,487.0,P
29.0,467.0,52.5,447.0,P
29.0,467.0,57.5,315.0,P
29.0,467.0,62.5,212.0,N
29.0,467.0,67.5,133.0,N
29.0,467.0,72.5,72.0,P
29.0,467.0,77.5,45.0,N
29.0,467.0,82.5,32.0,P
30.0,504.0,22.5,1029.0,P
30.0,504.0,27.5,406.0,P
30.0,504.0,32.5,384.0,P
30.0,504.0,37.5,499.0,P
30.0,504.0,42.5,654.0,P
30.0,504.0,47.5,585.0,P
30.0,504.0,52.5,460.0,P
30.0,504.0,57.5,397.0,P
30.0,504.0,62.5,330.0,P
30.0,504.0,67.5,235.0,P
30.0,504.0,72.5,171.0,P
30.0,504.0,77.5,152.0,P
30.0,504.0,82.5,95.0,P
31.0,520.0,22.5,905.0,P
31.0,520.0,27.5,364.0,P
31.0,520.0,32.5,263.0,P
31.0,520.0,37.5,342.0,P
31.0,520.0,42.5,442.0,P
31.0,520.0,47.5,497.0,P
31.0,520.0,52.5,444.0,P
31.0,520.0,57.5,344.0,N
31.0,520.0,62.5,276.0,P
31.0,520.0,67.5,193.0,P
31.0,520.0,72.5,130.0,N
31.0,520.0,77.5,68.0,P
31.0,520.0,82.5,45.0,P
32.0,520.0,22.5,841.0,P
32.0,520.0,27.5,541.0,P
32.0,520.0,32.5,401.0,P
32.0,520.0,37.5,321.0,P
32.0,520.0,42.5,440.0,P
32.0,520.0,47.5,420.0,P
32.0,520.0,52.5,391.0,P
32.0,520.0,57.5,315.0,P
32.0,520.0,62.5,293.0,P
32.0,520.0,67.5,174.0,P
32.0,520.0,72.5,134.0,N
32.0,520.0,77.5,78.0,P
32.0,520.0,82.5,83.0,N
33.0,529.0,22.5,1971.0,P
33.0,529.0,27.5,842.0,P
33.0,529.0,32.5,693.0,P
33.0,529.0,37.5,840.0,P
33.0,529.0,42.5,899.0,P
33.0,529.0,47.5,934.0,P
33.0,529.0,52.5,705.0,P
33.0,529.0,57.5,535.0,P
33.0,529.0,62.5,448.0,N
33.0,529.0,67.5,361.0,N
33.0,529.0,72.5,261.0,N
33.0,529.0,77.5,138.0,P
33.0,529.0,82.5,62.0,N
34.0,538.0,22.5,851.0,P
34.0,538.0,27.5,383.0,P
34.0,538.0,32.5,318.0,P
34.0,538.0,37.5,330.0,P
34.0,538.0,42.5,306.0,P
34.0,538.0,47.5,328.0,P
34.0,538.0,52.5,328.0,P
34.0,538.0,57.5,297.0,P
34.0,538.0,62.5,230.0,N
34.0,538.0,67.5,121.0,N
34.0,538.0,72.5,87.0,P
34.0,538.0,77.5,52.0,N
34.0,538.0,82.5,36.0,P
35.0,544.0,22.5,719.0,P
35.0,544.0,27.5,338.0,P
35.0,544.0,32.5,194.0,P
35.0,544.0,37.5,228.0,P
35.0,544.0,42.5,328.0,P
35.0,544.0,47.5,340.0,P
35.0,544.0,52.5,304.0,N
35.0,544.0,57.5,260.0,P
35.0,544.0,62.5,209.0,P
35.0,544.0,67.5,146.0,P
35.0,544.0,72.5,136.0,P
35.0,544.0,77.5,104.0,P
35.0,544.0,82.5,107.0,P
36.0,599.0,22.5,1351.0,P
36.0,599.0,27.5,930.0,P
36.0,599.0,32.5,776.0,P
36.0,599.0,37.5,746.0,P
36.0,599.0,42.5,885.0,P
36.0,599.0,47.5,701.0,P
36.0,599.0,52.5,632.0,N
36.0,599.0,57.5,609.0,P
36.0,599.0,62.5,412.0,P
36.0,599.0,67.5,383.0,P
36.0,599.0,72.5,253.0,N
36.0,599.0,77.5,214.0,P
36.0,599.0,82.5,85.0,P
37.0,650.0,22.5,408.0,P
37.0,650.0,27.5,215.0,P
37.0,650.0,32.5,133.0,P
37.0,650.0,37.5,157.0,P
37.0,650.0,42.5,220.0,P
37.0,650.0,47.5,261.0,P
37.0,650.0,52.5,222.0,P
37.0,650.0,57.5,156.0,P
37.0,650.0,62.5,104.0,P
37.0,650.0,67.5,82.0,P
37.0,650.0,72.5,74.0,P
37.0,650.0,77.5,51.0,P
37.0,650.0,82.5,25.0,P
38.0,683.0,22.5,674.0,P
38.0,683.0,27.5,276.0,P
38.0,683.0,32.5,199.0,P
38.0,683.0,37.5,278.0,P
38.0,683.0,42.5,335.0,P
38.0,683.0,47.5,351.0,P
38.0,683.0,52.5,301.0,P
38.0,683.0,57.5,214.0,P
38.0,683.0,62.5,162.0,P
38.0,683.0,67.5,102.0,N
38.0,683.0,72.5,45.0,P
38.0,683.0,77.5,19.0,P
38.0,683.0,82.5,27.0,P
39.0,693.0,22.5,2378.0,P
39.0,693.0,27.5,1562.0,P
39.0,693.0,32.5,1415.0,P
39.0,693.0,37.5,1063.0,P
39.0,693.0,42.5,1059.0,P
39.0,693.0,47.5,1118.0,P
39.0,693.0,52.5,893.0,N
39.0,693.0,57.5,687.0,N
39.0,693.0,62.5,455.0,N
39.0,693.0,67.5,352.0,P
39.0,693.0,72.5,177.0,P
39.0,693.0,77.5,45.0,N
39.0,693.0,82.5,59.0,N
40.0,694.0,22.5,1197.0,P
40.0,694.0,27.5,531.0,P
40.0,694.0,32.5,467.0,P
40.0,694.0,37.5,620.0,P
40.0,694.0,42.5,720.0,P
40.0,694.0,47.5,654.0,P
40.0,694.0,52.5,509.0,P
40.0,694.0,57.5,386.0,P
40.0,694.0,62.5,293.0,P
40.0,694.0,67.5,177.0,P
40.0,694.0,72.5,89.0,N
40.0,694.0,77.5,60.0,P
40.0,694.0,82.5,17.0,P
41.0,698.0,22.5,798.0,P
41.0,698.0,27.5,385.0,P
41.0,698.0,32.5,279.0,P
41.0,698.0,37.5,351.0,P
41.0,698.0,42.5,434.0,P
41.0,698.0,47.5,398.0,P
41.0,698.0,52.5,355.0,P
41.0,698.0,57.5,272.0,P
41.0,698.0,62.5,175.0,N
41.0,698.0,67.5,84.0,N
41.0,698.0,72.5,26.0,N
41.0,698.0,77.5,9.0,N
41.0,698.0,82.5,10.0,P
42.0,717.0,22.5,1126.0,P
42.0,717.0,27.5,590.0,P
42.0,717.0,32.5,379.0,P
42.0,717.0,37.5,384.0,P
42.0,717.0,42.5,488.0,P
42.0,717.0,47.5,517.0,P
42.0,717.0,52.5,434.0,P
42.0,717.0,57.5,312.0,P
42.0,717.0,62.5,210.0,P
42.0,717.0,67.5,168.0,P
42.0,717.0,72.5,131.0,P
42.0,717.0,77.5,98.0,N
42.0,717.0,82.5,40.0,P
43.0,934.0,22.5,1861.0,P
43.0,934.0,27.5,987.0,P
43.0,934.0,32.5,928.0,P
43.0,934.0,37.5,759.0,P
43.0,934.0,42.5,758.0,P
43.0,934.0,47.5,815.0,P
43.0,934.0,52.5,798.0,N
43.0,934.0,57.5,544.0,N
43.0,934.0,62.5,401.0,N
43.0,934.0,67.5,236.0,N
43.0,934.0,72.5,126.0,N
43.0,934.0,77.5,70.0,P
43.0,934.0,82.5,59.0,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,N
,,,,P
,,,,N
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,N
,,,,P
,,,,P
,,,,N
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,N
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,N
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,P
,,,,N
32.18314531954423,535.5553791867081,42.558134504744146,309.3604339294137,P
41.51377427173236,707.7617111629148,30.206614075985378,585.2974515028036,P
4.165943009610471,25.88358207047679,68.06037993593019,240.15468089697737,P
6.382969156046564,98.16835855632286,55.375143754192145,665225.0072458357,P
35.416238096982184,672.3602143458852,48.81980158584818,559.5582302043671,P
15.431737584300397,104.86164668912156,48.487089975469374,383.2250665236344,P
38.53040257967202,823.2533083629846,64.39611290255002,328.86830195570343,P
36.218157062350315,638.1299551155489,72.78085670372901,147.35539115215576,P
4.169426617094489,31.192099588498177,66.3305733829055,170.16967840382864,P
21.948523783741884,226.5446610255983,65.70590486503245,267.01740843065596,P
16.091228594490858,201.646185589343,52.06421147008354,371.7686921489275,N
26.50641976050315,392.81598787496864,54.38302470062894,332.03946496989516,P
24.08062243469419,353.9349384326606,41.935514861780646,646.0819033882942,P
30.134131604752355,460.06377018197816,66.82934197623823,142.48876743118353,P
10.848378100597403,59.961654190113634,71.06047262574675,214.27432849103897,P
7.172509585303034,53.45692541104553,58.086254792651516,213.3133285112803,N
38.12617278535567,655.9964418029947,61.91442899542365,314.60757006886746,P
29.0,467.0,68.00061792253467,134.9913490845145,P
39.77926834318146,689.1990864641966,58.18978642755795,377.6397884979977,N
30.688953644944725,498.27192721387945,62.7592052958794,165.46656953258292,P
41.39461374617393,883.3831157617192,22.5,1736.0631756581242,P
32.460901806387696,481.1199800287776,44.22114227720905,201.26478960843514,P
12.797399129071577,122.15058345235997,78.230269063283,110.41578474937361,P
38.42269040976339,674.9109661725862,45.38654795118304,972.4035614645088,P
19.362097666761205,200.32824633550769,50.536286851484206,345.1782278891095,P
16.570537521653396,107.85268760826696,50.352687608266976,382.6029162490329,P
17.71154402216525,117.62503614407413,42.836580166239365,832.2920250405257,P
30.0,504.0,44.15663448596483,644.3781715292646,P
15.792668211772884,215.72180830533094,51.8422203493662,683.5111438860915,P
1.4837143438973701,3.4551024564097865,77.32724487717951,192741.35492650844,N
32.611899911966454,503.4207229972369,55.85289288858341,450.4291751540587,P
39.00343552059922,659.3737600115232,42.5,496.06767359838676,P
40.77338338488928,693.5129910208077,75.68706707911424,42.403289067320074,N
12.59249825034155,75.92498250341549,33.64748775239085,1414.9320252474665,P
10.102863749285664,139.41229988840135,78.43458733543233,57.971869441898576,P
13.567718018505728,83.29004354923349,40.11286336417621,529.1478051169727,P
33.0,529.0,54.6662181496021,459.4996484536024,P
39.00276891226513,693.022151298121,67.49538514622478,351.8689381527837,P
5.019388649158219,32.131842814275885,52.50969432457911,562.6878427485527,N
9.45913528173036,53.51162247676044,63.03986517027158,301.3571595356644,N
15.693660899416718,104.50879584620866,50.968304497083594,524.7905674905381,P
22.511018870507716,288.69018270484924,47.60661132230463,885.527332799087,N
24.317557092716775,336.2497674583125,72.2297716291329,159.2964760689953,P
13.114362272555233,98.25073565804468,30.57785247949524,751.0367728858056,P
23.063353849341034,335.89020665016886,80.6254065949243,33.12280438740877,N
10.0,56.0,43.56929876993654,330.98025922547595,P
35.435598266000966,567.9579046300532,35.322008669995164,466.7078497685301,P
9.630594244499097,51.968268344745034,55.79292014425316,430.97560359170353,P
21.830368226401443,277.1743897732368,52.87960283001803,187.49937932151923,P
17.318160510627163,182.47806941648867,42.58018883603196,1002.7443332571025,N
38.809663469924374,691.0966346992437,43.21009590226885,880.0865945973214,P
14.480613814322075,107.64636325513652,38.98061381432207,1074.2641428966913,N
7.207302469876651,38.795640436729066,66.29564043672906,413793.43387688155,P
35.682780759679915,602.1871374891929,49.62185383978661,495.3288057389864,P
18.75125169846813,125.2537550954044,46.25625849234067,554.03163215533,P
13.987267065697736,79.91086945988415,32.69099401453395,1018.3565221604633,P
18.663024706746203,124.98907412023861,57.44537060119305,403.95629648095445,N
23.752788132749707,307.0,55.027881327497056,275.6635678847591,P
35.692608179518224,582.0934498735022,72.88912269277333,212.4630408975911,P
31.34037609639075,522.0422565783444,34.62735060244219,262.7447179277069,P
34.987155310746296,543.9229318644777,37.821117231342626,228.02568937850742,N
18.338714684993022,124.01614405497907,79.19357342496511,104.87084756016748,P
40.34414823671526,694.7207411835764,51.40691372785877,354.12553098228705,P
43.0,934.0,43.07327488602739,764.5353337007123,P
18.63680638319618,124.0629673770463,66.89467730532697,295.84745177254223,N
6.8503379124252906,42.35146428717626,54.875281593687745,379.1734793940862,N
28.15749761914431,450.9924547637419,30.649952382886173,461.7249285743293,P
2.733276702892324,17.332767028923236,40.66680824276919,385.36578889483104,P
3.0,11.0,32.75565207956153,309.69321750452616,P
29.190727169986705,469.95627113479395,23.69204481241691,1105.4172773505982,P
26.167984887754358,399.34387910203486,42.539546632630696,228.1363475816498,P
13.55944157055661,77.06294380371074,63.234264049072316,478.888121325195,P
18.84468785559626,125.53406356678879,82.5,82.78751422385042,P
17.03106615965402,115.57150722401416,79.11488973390996,120.42849277598584,P
39.0,693.0,41.79797344619191,1059.5616212430464,P
34.67816235009992,568.1571215023313,34.10918824950043,916.3410109510324,P
39.93330175410551,692.6665087705276,46.83301754105507,273.42226432785935,P
39.71950735959615,692.4572904777789,66.79876839899038,174.89630519697113,P
32.70904996217145,524.4902744136574,50.68156226357154,706.0910626418571,P
39.456832841598256,693.4568328415983,48.79501475205224,460.48199409917913,N
39.71167079244274,694.7791769811068,56.824938113358925,351.6441646037786,P
2.3855687905920973,12.120628348256535,77.01803901175988,77.90360780235197,N
37.04321871209069,651.4262174989929,27.71609356045346,214.30850060654893,P
4.0,30.0,38.819924109446475,403.9440607124428,P
7.138857810309792,42.62486014639406,72.5,320.2015675907187,P
34.70631196626317,542.237871797579,78.09467949394754,111.11163247231563,P
26.623082557847646,402.98466046278116,27.5,298.7925499874487,P
27.444925054517903,424.68685228975187,52.5,375.898501090358,P
9.862679567666918,55.16832601126782,24.637320432333084,1228.06755787973,P
10.781641687682242,59.01738759457009,22.5,1902.2802282735047,P
1.0,0.0,37.297260791354624,1228677.4495817097,N
26.07575415473985,398.6060332379188,45.98491690520301,320.54547507156093,P
4.825381522108865,31.65076304421773,48.134538052721624,567.8893173809518,P
39.10834119355231,693.1083411935523,44.79147016119214,1126.5589542906328,P
15.548633861050996,105.48633861050997,42.5,570.034972471561,P
11.036196215565644,60.662882970045395,32.680981077828214,485.699079185611,P
21.951855252646737,258.8555657579402,37.98144747353261,365.5295922208859,P
11.09791780515753,60.63646573352395,47.744794512893826,876.7760274355309,P
2.5452497001808916,15.452497001808915,53.86312425045223,344.9988733509949,P
34.542282473459565,541.2536948407574,36.65435053080873,333.4228247345956,P
29.106796580580987,474.5631179339437,22.5,992.0873572932746,P
35.0,544.0,68.89314427662683,143.21371144674634,P
38.86105572376385,687.7358064807012,31.110557237638474,693.8042816465685,P
42.37288379869653,797.9157843171467,75.63558100651736,108.44074636350281,N
5.513275590439933,34.566377952199666,23.783188976099833,1473.6546929288493,P
23.0,307.0,36.940676121949814,162.3717520886184,P
9.125089200880463,50.62544600440232,44.99940532746357,664.2501784017609,P
