sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,target
1,30,0,0,0,0,0,8,-1.0,1.0,3,7,0,0,2,1,769,0
1,24,2,0,0,0,0,3,-3.0,3.0,3,5,2,0,5,2,681,0
1,24,2,0,0,0,0,2,-1.0,4.0,7,8,0,0,8,0,214,0
1,25,0,0,1,2,0,9,43.0,20.0,3,8,0,0,8,0,259,0
1,53,1,2,0,0,0,19,-1.0,1.0,3,4,2,0,1,1,460,-1
1,34,0,0,1,0,0,11,-1.0,1.0,2,7,0,0,3,1,39,0
1,46,1,0,0,0,0,5,-1.0,1.0,3,0,1,0,0,1,697,0
1,52,1,2,0,0,0,6,-1.0,1.0,3,4,2,0,2,1,310,0
1,61,1,1,0,0,0,1,0.0,0.0,7,0,1,0,0,1,549,-1
1,25,0,0,0,1,0,21,-14.0,1.0,3,9,0,0,9,0,508,0
1,22,2,0,0,0,0,0,-1.0,1.0,3,3,1,0,5,2,1155,-1
1,44,0,0,0,0,0,9,-28.0,28.0,3,7,0,0,5,2,970,-1
1,19,2,2,0,0,1,0,0.0,1.0,7,3,1,0,6,2,502,-1
0,24,2,2,0,1,3,8,0.0,1.0,2,5,2,0,6,2,657,-1
1,67,1,2,0,0,0,5,-28.0,28.0,3,0,1,0,0,1,506,-1
1,27,0,3,0,0,1,6,-1.0,1.0,3,3,1,0,4,2,608,0
1,23,2,0,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,748,-1
1,28,0,0,0,0,0,11,-1.0,1.0,3,5,2,0,4,2,428,0
0,24,2,0,0,0,0,2,0.0,1.0,2,4,2,0,3,1,950,0
1,33,0,0,0,0,1,9,-1.0,1.0,7,7,0,0,3,1,25,0
1,61,1,2,0,0,0,0,0.0,0.0,7,0,1,0,0,1,1127,-1
0,23,2,2,0,0,0,7,-1.0,1.0,3,8,0,0,4,2,259,-1
1,35,0,3,0,0,0,1,-1.0,1.0,7,0,1,0,0,1,565,0
1,38,0,2,0,0,0,2,-4.0,4.0,3,1,1,0,0,1,518,-1
1,21,2,0,2,0,1,2,-1.0,1.0,3,9,0,0,8,0,812,0
1,33,0,3,0,0,0,2,-5.0,14.0,8,2,1,0,3,1,1046,-1
1,25,0,0,0,0,0,2,-1.0,1.0,7,2,1,0,3,1,724,-1
0,49,1,5,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,1057,-1
1,31,0,3,0,0,0,0,-1.0,1.0,3,1,1,0,1,1,1161,-1
1,26,0,3,1,0,0,1,79.0,1637.0,6,4,2,0,3,1,79,0
1,20,2,0,0,0,2,0,0.0,1.0,3,4,2,0,7,0,398,0
1,36,0,0,0,0,0,14,-1.0,1.0,2,6,2,0,2,1,1025,0
1,31,0,0,0,0,0,4,-1.0,1.0,3,2,1,0,3,1,204,0
0,30,0,0,0,0,0,4,-1.0,1.0,3,4,2,0,1,1,894,-1
1,47,1,0,0,0,0,5,-1.0,0.0,3,3,1,0,0,1,759,-1
1,44,0,0,0,0,1,16,-1.0,1.0,2,6,2,0,7,0,147,-1
1,46,1,2,0,0,0,5,-93.0,93.0,8,0,1,0,0,1,939,-1
0,36,0,2,0,0,0,0,-1.0,1.0,7,1,1,0,0,1,811,-1
1,42,0,2,0,0,0,7,-15.0,15.0,3,6,2,0,4,2,457,-1
1,21,2,5,0,0,0,0,-1.0,1.0,3,4,2,0,6,2,673,0
1,22,2,0,1,1,0,6,-1.0,1.0,3,6,2,0,4,2,103,0
1,44,0,0,0,0,0,9,73.0,132.0,3,2,1,0,0,1,920,-1
1,27,0,0,0,0,0,7,-1.0,1.0,3,4,2,0,4,2,155,0
1,28,0,2,0,0,0,1,-1.0,1.0,3,6,2,0,3,1,70,0
1,29,0,2,0,0,1,11,-1.0,1.0,3,7,0,0,5,2,202,0
1,33,0,2,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,650,-1
1,27,0,0,0,0,0,2,-1.0,1.0,3,8,0,0,7,0,35,0
0,39,0,0,0,0,0,0,0.0,1.0,7,1,1,0,0,1,605,-1
0,29,0,0,0,0,0,0,-1.0,1.0,2,1,1,0,1,1,818,-1
1,30,0,0,0,1,0,9,-1.0,1.0,3,6,2,0,1,1,453,0
1,33,0,3,0,0,0,3,-1.0,1.0,3,0,1,0,0,1,641,-1
0,23,2,2,0,0,0,0,-1.0,1.0,3,5,2,0,4,2,964,-1
0,35,0,0,0,0,0,0,0.0,0.0,3,9,0,0,2,1,472,-1
1,24,2,0,0,0,1,1,-1.0,1.0,3,1,1,0,2,1,604,0
0,29,0,2,0,0,0,1,-45.0,45.0,3,3,1,0,1,1,660,0
1,38,0,2,0,0,0,5,-1.0,1.0,3,1,1,0,2,1,964,-1
0,24,2,0,0,0,0,2,-1.0,1.0,3,5,2,0,3,1,487,0
1,27,0,0,0,0,0,10,-1.0,1.0,3,5,2,0,7,0,528,0
1,21,2,2,0,1,0,1,115.0,0.0,3,4,2,0,6,2,156,0
1,28,0,2,0,0,0,1,-25.0,26.0,7,2,1,0,3,1,910,-1
0,23,2,0,0,0,0,0,-1.0,1.0,7,3,1,0,4,2,776,-1
1,30,0,0,0,0,0,1,0.0,1.0,6,6,2,0,7,0,367,-1
1,29,0,0,1,0,0,3,-1.0,1.0,7,7,0,0,7,0,62,0
1,22,2,0,0,0,0,0,-1.0,1.0,3,6,2,0,6,2,933,-1
1,39,0,0,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,685,-1
1,29,0,2,0,0,0,3,-61.0,61.0,3,3,1,0,1,1,333,0
1,20,2,5,0,0,0,0,-1.0,1.0,3,2,1,0,4,2,310,0
1,45,1,2,0,0,0,0,-2.0,2.0,3,1,1,0,0,1,570,-1
1,28,0,0,0,2,0,7,-1.0,1.0,3,6,2,0,8,0,508,0
0,25,0,2,0,0,0,2,-2.0,2.0,8,3,1,0,3,1,521,0
0,38,0,0,0,0,0,7,0.0,1.0,3,9,0,0,8,0,529,0
1,21,2,5,0,0,0,0,-1.0,1.0,3,4,2,0,7,0,299,0
1,35,0,2,0,0,0,1,-1.0,1.0,3,1,1,0,0,1,932,-1
1,59,1,0,0,0,0,8,-1.0,1.0,3,3,1,0,1,1,797,0
1,44,0,2,0,0,0,11,0.0,0.0,7,2,1,0,5,2,937,-1
1,38,0,3,0,0,0,1,-1.0,1.0,8,4,2,0,1,1,1039,-1
0,42,0,0,0,0,0,16,-1.0,1.0,3,5,2,0,1,1,693,-1
1,52,1,0,0,0,0,7,-1.0,1.0,7,2,1,0,0,1,671,0
0,23,2,0,0,0,0,2,126.0,0.0,8,7,0,0,5,2,842,0
1,25,0,3,0,0,0,2,-1.0,1.0,7,2,1,0,4,2,359,0
1,24,2,2,0,0,0,0,-1.0,1.0,3,2,1,0,3,1,815,-1
1,31,0,0,2,1,1,16,-1.0,1.0,3,8,0,0,5,2,858,0
1,59,1,0,0,0,0,4,-2.0,2.0,3,2,1,0,0,1,348,0
1,37,0,0,0,0,0,10,-1.0,1.0,3,6,2,0,1,1,902,0
1,22,2,0,0,0,0,0,-1.0,2.0,6,2,1,0,4,2,166,0
1,41,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,880,-1
1,25,0,2,0,0,0,3,7.0,5.0,8,8,0,0,6,2,970,0
1,23,2,2,0,0,1,4,-1.0,1.0,3,3,1,0,3,1,538,0
1,53,1,2,0,0,0,9,-1.0,1.0,3,3,1,0,6,2,969,0
1,26,0,3,0,0,0,0,-1.0,1.0,8,1,1,0,2,1,522,-1
1,51,1,0,0,0,0,1,-1.0,1.0,7,3,1,0,0,1,731,0
1,44,0,0,0,0,0,0,-1.0,1.0,3,1,1,0,0,1,485,0
1,30,0,2,0,0,0,19,57.0,69.0,3,9,0,0,2,1,57,0
0,22,2,2,0,0,0,0,-2.0,2.0,3,6,2,0,5,2,926,0
1,23,2,0,0,0,0,1,-1.0,1.0,3,9,0,0,8,0,61,0
1,33,0,2,0,0,1,1,-1.0,1.0,3,3,1,0,0,1,654,-1
0,27,0,0,0,0,0,2,-40.0,40.0,2,5,2,0,3,1,995,-1
1,28,0,0,1,2,0,8,-1.0,1.0,7,9,0,0,9,0,537,-1
1,22,2,0,0,0,0,3,-1.0,1.0,3,5,2,0,5,2,826,-1
1,22,2,0,0,0,0,11,-1.0,1.0,3,7,0,0,5,2,367,-1
1,22,2,2,0,0,0,3,-1.0,1.0,3,6,2,0,5,2,1177,0
1,51,1,2,0,0,0,3,-87.0,87.0,3,1,1,0,1,1,924,-1
1,30,0,0,0,0,0,2,-1.0,1.0,2,2,1,0,1,1,397,0
1,26,0,0,0,0,0,2,-106.0,107.0,7,2,1,0,3,1,904,-1
1,22,2,0,0,0,0,0,-1.0,1.0,3,4,2,0,4,2,251,0
1,48,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,471,-1
1,47,1,2,0,0,0,4,-58.0,59.0,3,4,2,0,5,2,1004,0
1,23,2,0,0,0,0,0,-2.0,2.0,7,3,1,0,3,1,389,0
1,21,2,0,0,1,0,1,0.0,0.0,8,7,0,0,7,0,748,0
1,29,0,0,0,0,0,10,0.0,1.0,3,5,2,0,5,2,293,0
1,58,1,2,0,0,0,5,-1.0,1.0,7,1,1,0,0,1,221,-1
0,51,1,0,0,0,0,3,-1.0,1.0,7,1,1,0,1,1,848,-1
1,29,0,0,0,0,0,0,0.0,0.0,7,0,1,0,1,1,855,-1
1,44,0,2,3,0,0,16,-1.0,1.0,7,6,2,0,2,1,1161,-1
1,24,2,2,0,2,0,3,-1.0,1.0,3,3,1,0,3,1,1091,0
1,33,0,5,0,0,0,4,-1.0,1.0,3,2,1,0,1,1,58,0
1,27,0,0,0,0,0,1,-1.0,1.0,3,7,0,0,8,0,1061,-1
1,34,0,0,0,0,0,4,-1.0,1.0,7,1,1,0,1,1,1080,-1
1,47,1,2,0,0,0,3,-1.0,1.0,3,0,1,0,0,1,1176,-1
1,33,0,2,0,0,0,3,-1.0,1.0,3,0,1,0,0,1,368,-1
1,24,2,2,0,0,0,2,-27.0,27.0,3,5,2,0,4,2,30,-1
0,23,2,0,0,0,0,3,0.0,0.0,3,8,0,0,6,2,88,0
0,42,0,2,0,0,0,0,-1.0,1.0,7,1,1,0,0,1,1100,-1
1,27,0,0,0,0,0,11,-1.0,1.0,3,6,2,0,4,2,544,0
1,40,0,0,0,0,0,0,-1.0,1.0,8,1,1,0,0,1,481,-1
1,23,2,3,0,0,0,0,-1.0,1.0,7,1,1,0,2,1,696,-1
1,33,0,0,0,0,0,4,-1.0,1.0,3,7,0,0,2,1,541,-1
1,36,0,0,0,0,0,6,-32.0,32.0,2,7,0,0,6,2,52,-1
1,36,0,2,0,0,0,0,-1.0,1.0,3,2,1,0,3,1,1134,-1
1,25,0,2,0,0,0,0,-1.0,1.0,7,1,1,0,3,1,825,0
1,30,0,0,0,0,0,0,-1.0,1.0,3,0,1,0,1,1,860,-1
1,29,0,0,0,1,0,2,-1.0,1.0,7,2,1,0,3,1,150,0
1,30,0,5,0,0,0,5,-1.0,30.0,8,7,0,0,2,1,702,0
0,28,0,0,0,0,0,0,0.0,1.0,7,1,1,0,1,1,1108,-1
1,30,0,0,0,0,0,4,-1.0,1.0,7,7,0,0,7,0,567,0
1,21,2,3,0,1,0,3,-22.0,22.0,3,4,2,0,5,2,501,0
0,40,0,0,0,0,0,15,-1.0,0.0,3,6,2,0,5,2,385,0
1,21,2,0,0,0,0,1,-1.0,1.0,3,5,2,0,5,2,300,0
1,26,0,0,0,0,0,6,-1.0,1.0,2,5,2,0,5,2,953,-1
1,35,0,0,0,0,0,1,-1.0,1.0,7,5,2,0,4,2,804,0
0,24,2,0,0,1,0,3,-1.0,1.0,3,6,2,0,3,1,621,-1
0,22,2,0,0,0,1,0,-1.0,1.0,3,3,1,0,3,1,354,0
1,24,2,0,0,0,0,5,-1.0,1.0,3,6,2,0,3,1,372,0
1,33,0,0,0,0,0,3,-1.0,1.0,3,4,2,0,1,1,18,0
1,50,1,0,0,0,0,17,-134.0,134.0,3,9,0,0,6,2,245,-1
1,25,0,2,0,0,0,2,-1.0,1.0,3,4,2,0,3,1,317,0
1,44,0,0,0,0,0,24,53.0,31.0,7,6,2,0,2,1,1086,-1
1,26,0,0,0,0,0,4,0.0,0.0,3,7,0,0,4,2,186,0
1,31,0,0,0,0,0,2,-1.0,1.0,3,6,2,0,2,1,206,0
1,31,0,0,0,0,1,11,0.0,0.0,3,6,2,0,4,2,555,0
0,21,2,2,0,0,0,0,-1.0,1.0,2,5,2,0,6,2,948,-1
1,23,2,0,0,0,0,0,-1.0,1.0,3,5,2,0,4,2,224,0
0,33,0,0,0,0,0,2,0.0,0.0,3,1,1,0,0,1,892,-1
1,33,0,3,0,0,0,8,-165.0,165.0,3,8,0,0,3,1,537,0
1,36,0,0,0,0,0,12,-13.0,13.0,3,8,0,0,9,0,907,-1
1,49,1,0,0,0,0,1,-1.0,1.0,8,6,2,0,3,1,339,0
1,20,2,0,1,0,0,1,-2.0,2.0,6,5,2,0,8,0,362,-1
0,29,0,2,0,0,0,8,12.0,65.0,8,7,0,0,2,1,127,-1
1,20,2,2,0,0,0,0,-2.0,2.0,7,9,0,0,8,0,750,0
1,41,0,2,0,0,0,0,0.0,0.0,8,0,1,0,0,1,1162,-1
1,35,0,2,0,0,0,5,-1.0,0.0,3,6,2,0,7,0,271,-1
1,37,0,2,0,0,0,0,0.0,1.0,3,5,2,0,2,1,936,-1
1,23,2,3,0,0,0,0,-1.0,1.0,7,1,1,0,3,1,84,0
1,38,0,3,1,0,1,7,-1.0,1.0,3,6,2,0,1,1,507,0
1,30,0,0,0,0,0,11,-1.0,1.0,3,7,0,0,3,1,94,0
1,32,0,2,0,0,0,1,-1.0,1.0,7,1,1,0,1,1,689,-1
1,62,1,0,0,0,0,15,-36.0,35.0,3,8,0,0,8,0,911,-1
1,20,2,0,0,0,0,0,0.0,0.0,3,7,0,0,5,2,296,-1
1,33,0,3,0,0,1,11,0.0,0.0,3,5,2,0,1,1,676,0
1,21,2,0,1,0,0,3,-1.0,1.0,3,8,0,0,6,2,272,-1
1,29,0,0,0,0,0,8,0.0,1.0,7,8,0,0,5,2,454,0
1,30,0,0,0,1,0,6,0.0,0.0,3,4,2,0,2,1,540,-1
1,25,0,0,0,0,1,1,620.0,1.0,7,7,0,0,7,0,620,0
1,48,1,2,0,0,0,2,-1.0,1.0,8,7,0,0,4,2,183,0
1,57,1,5,0,0,0,0,0.0,1.0,3,0,1,0,0,1,924,-1
1,31,0,0,0,2,0,15,-1.0,1.0,3,8,0,0,4,2,289,0
1,35,0,0,0,0,0,5,-1.0,1.0,3,3,1,0,2,1,746,0
1,32,0,0,0,0,0,5,-1.0,1.0,3,3,1,0,1,1,863,0
1,49,1,3,0,0,0,3,21.0,98.0,2,3,1,0,3,1,527,-1
1,25,0,2,0,0,0,2,-25.0,25.0,3,4,2,0,4,2,478,0
1,33,0,0,0,2,2,16,-1.0,1.0,3,8,0,0,5,2,155,0
0,26,0,2,0,0,0,2,22.0,41.0,3,8,0,0,3,1,254,0
1,32,0,2,0,0,0,0,0.0,1.0,7,0,1,0,0,1,555,-1
0,52,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,509,-1
0,42,0,0,0,0,0,2,-1.0,1.0,7,1,1,0,0,1,651,-1
1,58,1,2,0,0,0,1,-42.0,43.0,7,0,1,0,0,1,947,-1
1,59,1,2,0,0,0,1,-2.0,3.0,6,0,1,0,0,1,296,0
1,29,0,2,0,0,0,2,-1.0,1.0,3,0,1,0,1,1,677,-1
1,32,0,0,0,0,0,11,-1.0,1.0,8,8,0,0,4,2,111,0
1,59,1,0,0,0,0,10,-1.0,1.0,3,6,2,0,3,1,490,0
0,62,1,2,0,0,0,0,-1.0,1.0,8,0,1,0,0,1,924,-1
1,50,1,5,0,0,0,3,-288.0,288.0,1,0,1,0,0,1,724,-1
1,21,2,2,0,1,0,4,-1.0,1.0,7,6,2,0,5,2,204,0
0,35,0,2,0,0,0,4,-30.0,30.0,3,2,1,0,3,1,932,-1
1,30,0,0,0,0,0,15,-1.0,1.0,3,9,0,0,8,0,459,0
1,56,1,0,0,0,0,4,58.0,153.0,2,0,1,0,0,1,58,-1
0,28,0,2,0,0,0,1,-229.0,230.0,3,1,1,0,1,1,716,-1
1,46,1,0,0,0,0,13,-40.0,40.0,3,4,2,0,2,1,823,0
1,52,1,0,0,0,0,4,-161.0,2.0,3,5,2,0,0,1,502,-1
1,58,1,2,0,0,0,2,343.0,316.0,3,7,0,0,5,2,611,-1
1,58,1,2,0,0,0,2,-1.0,1.0,7,0,1,0,0,1,11,0
1,35,0,0,3,0,0,13,-1.0,1.0,3,9,0,0,4,2,1135,-1
1,29,0,0,0,0,0,2,-1.0,1.0,8,0,1,0,0,1,746,-1
0,30,0,0,0,0,0,7,-1.0,1.0,7,2,1,0,1,1,539,0
1,31,0,0,0,0,0,19,-1.0,1.0,3,8,0,0,8,0,471,0
0,36,0,0,0,0,0,4,-1.0,1.0,3,9,0,0,5,2,636,0
1,28,0,0,0,0,0,2,-1.0,1.0,2,4,2,0,2,1,475,0
1,33,0,0,0,0,0,19,-1.0,1.0,3,9,0,0,6,2,825,0
1,45,1,0,0,0,0,5,-1.0,1.0,2,2,1,0,0,1,630,-1
1,27,0,2,0,0,0,1,-1.0,1.0,3,2,1,0,2,1,501,-1
1,51,1,0,0,0,0,17,0.0,1.0,7,3,1,0,0,1,891,-1
0,20,2,0,0,0,0,0,0.0,0.0,2,4,2,0,6,2,515,-1
1,33,0,2,0,0,0,9,-1.0,1.0,3,8,0,0,4,2,103,0
1,39,0,2,0,0,0,9,-1.0,1.0,3,4,2,0,2,1,1107,0
1,41,0,0,0,0,0,16,-1.0,1.0,3,9,0,0,3,1,614,-1
1,56,1,2,0,0,0,0,0.0,1.0,7,0,1,0,0,1,402,0
1,20,2,0,0,0,0,0,0.0,0.0,3,6,2,0,7,0,596,0
1,27,0,0,0,0,0,1,0.0,0.0,3,1,1,0,4,2,1168,-1
1,47,1,0,0,0,0,1,-23.0,23.0,3,0,1,0,0,1,1134,-1
1,37,0,0,2,0,0,18,-1.0,27.0,7,8,0,0,8,0,1102,-1
1,29,0,2,0,0,0,1,-1.0,1.0,3,0,1,0,1,1,1039,-1
1,22,2,0,0,0,0,2,250.0,105.0,7,5,2,0,5,2,250,0
1,24,2,0,0,0,0,1,-1.0,2.0,3,3,1,0,3,1,282,0
1,26,0,0,0,0,0,2,-1.0,1.0,2,1,1,0,2,1,839,0
1,46,1,0,0,0,0,3,-22.0,22.0,8,0,1,0,0,1,89,0
0,41,0,2,0,0,0,9,2.0,5.0,8,3,1,0,0,1,336,0
1,32,0,0,2,0,0,26,-32.0,32.0,3,9,0,0,7,0,64,0
1,34,0,0,2,0,1,8,-1.0,1.0,3,6,2,0,2,1,661,0
1,23,2,0,0,0,0,1,0.0,1.0,3,4,2,0,6,2,302,-1
1,28,0,0,0,0,0,3,0.0,0.0,7,1,1,0,1,1,1083,-1
0,31,0,2,0,0,0,0,-1.0,1.0,3,3,1,0,1,1,683,0
0,26,0,2,0,0,0,1,-1.0,2.0,3,7,0,0,2,1,77,0
1,45,1,5,0,0,0,2,0.0,0.0,3,0,1,0,0,1,192,-1
0,38,0,2,0,0,0,5,11.0,15.0,3,2,1,0,0,1,11,-1
0,45,1,0,0,0,0,9,0.0,0.0,7,6,2,0,8,0,867,0
1,24,2,0,0,0,0,7,-1.0,1.0,3,8,0,0,5,2,823,0
1,38,0,0,0,0,0,14,0.0,1.0,3,9,0,0,7,0,811,-1
0,27,0,5,0,0,0,0,-1.0,1.0,7,1,1,0,1,1,1165,-1
1,38,0,3,1,0,1,7,-1.0,1.0,3,6,2,0,1,1,391,0
1,45,1,2,0,0,0,0,-1.0,2.0,7,4,2,0,0,1,670,-1
1,28,0,0,0,0,0,5,-1.0,1.0,3,5,2,0,4,2,521,0
1,25,0,0,0,0,0,9,-1.0,1.0,3,8,0,0,7,0,797,0
1,44,0,2,0,0,0,13,0.0,1.0,3,8,0,0,7,0,94,0
1,21,2,3,0,0,1,2,-1.0,1.0,3,4,2,0,4,2,70,0
1,58,1,2,0,0,0,5,-1.0,1.0,7,1,1,0,0,1,1076,-1
1,26,0,0,0,0,1,1,123.0,555.0,1,9,0,0,5,2,226,0
0,42,0,2,0,0,0,0,-3.0,3.0,3,0,1,0,0,1,1004,-1
1,47,1,2,0,0,0,1,0.0,0.0,3,5,2,0,2,1,132,0
0,31,0,2,0,0,0,1,-1.0,1.0,2,4,2,0,1,1,796,-1
1,32,0,0,0,0,0,9,-39.0,40.0,8,5,2,0,1,1,1064,0
1,25,0,2,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,341,0
0,30,0,0,0,0,0,8,-1.0,1.0,3,6,2,0,4,2,904,0
1,27,0,0,0,0,0,1,-1.0,1.0,7,1,1,0,3,1,965,-1
1,31,0,0,0,0,0,4,-1.0,1.0,3,2,1,0,3,1,925,0
1,35,0,2,0,0,0,1,-15.0,16.0,8,3,1,0,0,1,645,0
0,33,0,0,0,0,0,3,-1.0,1.0,3,5,2,0,3,1,523,0
0,40,0,2,0,0,0,0,0.0,0.0,3,1,1,0,0,1,952,-1
1,29,0,0,0,0,0,5,35.0,55.0,3,2,1,0,2,1,1156,0
0,44,0,2,0,0,0,4,0.0,0.0,3,5,2,0,1,1,359,0
1,21,2,0,0,0,0,0,-1.0,1.0,3,7,0,0,6,2,440,0
1,23,2,5,0,2,0,7,0.0,1.0,3,5,2,0,7,0,109,0
1,29,0,3,0,0,0,0,0.0,0.0,3,1,1,0,1,1,900,-1
1,26,0,0,0,0,0,13,0.0,1.0,7,9,0,0,9,0,376,0
1,47,1,0,0,0,0,13,0.0,0.0,3,1,1,0,0,1,247,0
1,32,0,2,0,0,0,4,-1.0,2.0,3,9,0,0,7,0,46,0
0,42,0,0,0,0,0,2,-1.0,1.0,8,2,1,0,0,1,1162,-1
1,32,0,5,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,494,-1
1,22,2,3,0,0,0,0,-1.0,1.0,3,3,1,0,4,2,1058,0
1,21,2,2,0,0,0,0,-2.0,2.0,2,8,0,0,5,2,47,0
0,25,0,2,0,0,0,1,-1.0,1.0,3,4,2,0,4,2,648,-1
1,28,0,2,0,0,0,0,-1.0,1.0,3,1,1,0,1,1,685,-1
1,47,1,2,0,0,0,0,-1.0,1.0,2,0,1,0,0,1,288,-1
1,59,1,0,0,0,0,8,-23.0,24.0,2,7,0,0,5,2,160,0
1,26,0,2,0,0,2,6,81.0,382.0,8,7,0,0,7,0,1088,-1
1,55,1,3,0,0,0,0,-7.0,7.0,7,0,1,0,0,1,737,-1
1,36,0,3,0,0,0,0,0.0,0.0,3,0,1,0,0,1,1158,-1
1,30,0,0,0,0,0,7,0.0,0.0,3,7,0,0,3,1,916,0
1,31,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,194,-1
0,42,0,2,0,0,0,4,-10.0,11.0,3,7,0,0,0,1,527,0
1,27,0,0,0,0,0,7,-1.0,1.0,3,8,0,0,7,0,440,0
1,45,1,0,0,0,0,2,-1.0,1.0,6,0,1,0,0,1,56,-1
1,51,1,2,0,0,0,3,-87.0,87.0,3,1,1,0,1,1,97,-1
1,23,2,5,0,0,0,2,-1.0,1.0,7,6,2,0,8,0,596,-1
1,51,1,0,0,0,0,8,-1.0,1.0,7,5,2,0,6,2,1151,0
1,32,0,0,0,0,0,10,-1.0,1.0,3,5,2,0,1,1,523,0
1,34,0,0,0,0,0,3,-1.0,1.0,3,0,1,0,1,1,973,-1
1,27,0,2,0,0,0,1,0.0,0.0,3,4,2,0,2,1,701,-1
1,38,0,2,0,0,0,2,-64.0,64.0,3,0,1,0,0,1,842,-1
1,25,0,0,0,0,0,0,-1.0,1.0,7,2,1,0,3,1,1070,0
1,44,0,2,0,0,0,2,-1.0,1.0,3,2,1,0,2,1,125,0
0,35,0,2,0,0,0,5,-1.0,1.0,3,5,2,0,1,1,452,-1
1,56,1,0,0,0,0,22,-1.0,1.0,3,8,0,0,4,2,1095,0
1,27,0,2,0,0,0,0,0.0,0.0,8,1,1,0,2,1,1105,-1
1,29,0,0,0,0,0,0,-1.0,1.0,3,0,1,0,1,1,761,-1
1,23,2,2,0,0,0,0,0.0,0.0,3,2,1,0,3,1,743,-1
0,21,2,2,0,0,0,2,34.0,62.0,7,4,2,0,5,2,324,-1
1,49,1,0,0,0,0,15,-107.0,79.0,3,6,2,0,6,2,719,-1
1,25,0,0,0,0,0,28,-55.0,53.0,8,8,0,0,7,0,119,0
0,21,2,2,0,0,0,1,132.0,138.0,3,7,0,0,8,0,858,0
1,65,1,2,0,0,0,0,0.0,0.0,7,0,1,0,0,1,21,-1
1,24,2,0,1,0,0,10,75.0,0.0,2,9,0,0,4,2,107,0
1,60,1,0,0,0,0,13,-1.0,1.0,3,5,2,0,2,1,324,0
0,28,0,2,0,0,0,0,-1.0,1.0,7,3,1,0,4,2,494,-1
1,47,1,2,0,0,0,3,-1.0,1.0,3,0,1,0,0,1,765,-1
1,42,0,2,0,0,0,2,-43.0,43.0,7,3,1,0,4,2,906,-1
1,33,0,0,0,12,2,28,-1.0,1.0,3,7,0,0,4,2,811,0
1,27,0,5,0,0,0,1,-1.0,1.0,3,1,1,0,3,1,632,0
0,26,0,0,0,0,0,4,-1.0,1.0,3,8,0,0,6,2,524,0
1,20,2,2,0,0,3,1,-32.0,32.0,3,7,0,0,6,2,431,0
0,29,0,2,0,0,0,0,0.0,0.0,3,2,1,0,1,1,518,-1
0,48,1,3,0,0,0,4,-6.0,6.0,3,0,1,0,0,1,638,0
