date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0.46436,4,0.382979,0.029572,0.485421,0.002009,0.485759,0.404825,UP
0.88943,2,0.829787,0.035547,0.686998,0.002447,0.624288,0.360526,UP
0.004779,5,0.021277,0.106161,0.506694,0.003467,0.422915,0.414912,UP
0.442989,1,0.893617,0.055272,0.535852,0.003693,0.401346,0.560526,DOWN
0.890226,6,0.957447,0.273118,0.552514,0.002009,0.420249,0.671053,DOWN
0.88912,2,0.680851,0.03882,0.588218,0.0027,0.566805,0.387719,UP
0.438432,2,0.425532,0.061247,0.515025,0.003467,0.422915,0.414912,UP
0.433742,0,0.12766,0.041431,0.105028,0.003467,0.422915,0.414912,DOWN
0.893766,2,0.489362,0.074907,0.609045,0.004985,0.618332,0.497807,UP
0.890315,1,0.680851,0.028822,0.619161,0.00204,0.597359,0.398246,DOWN
0.451927,1,0.234043,0.034556,0.331895,0.001323,0.285862,0.831579,DOWN
0.884695,6,0.978723,0.034406,0.371616,0.002264,0.37623,0.5,UP
0.433609,4,0.595745,0.073736,0.495091,0.003467,0.422915,0.414912,UP
0.026813,2,0.510638,0.109253,0.548944,0.003467,0.422915,0.414912,UP
0.45613,6,0.93617,0.028972,0.438709,0.001915,0.305282,0.799561,DOWN
0.903057,4,0.617021,0.067401,0.452098,0.004466,0.56784,0.402193,DOWN
0.429539,5,0.957447,0.067641,0.332937,0.003467,0.422915,0.414912,DOWN
0.424848,3,0.361702,0.060796,0.441833,0.003467,0.422915,0.414912,UP
0.89027,0,0.659574,0.032064,0.379798,0.002106,0.366649,0.639912,DOWN
0.438476,3,0.574468,0.06584,0.521868,0.003467,0.422915,0.414912,UP
0.443255,0,0.93617,0.044554,0.422493,0.002995,0.292595,0.569737,DOWN
0.01792,3,1.0,0.082593,0.503124,0.003467,0.422915,0.414912,UP
0.022256,3,0.531915,0.074937,0.488843,0.003467,0.422915,0.414912,UP
0.022344,5,0.021277,0.047166,0.382773,0.003467,0.422915,0.414912,DOWN
0.469714,0,0.404255,0.03999,0.371616,0.002688,0.300621,0.58114,UP
0.438653,0,0.468085,0.064639,0.519191,0.003467,0.422915,0.414912,UP
0.871908,5,0.829787,0.027591,0.478875,0.001801,0.390212,0.639474,DOWN
0.911376,4,0.276596,0.116759,0.483338,0.007759,0.62144,0.470175,UP
0.022211,2,0.851064,0.048487,0.400179,0.003467,0.422915,0.414912,DOWN
0.89381,3,0.297872,0.038669,0.549241,0.002636,0.515536,0.425877,DOWN
0.447591,1,0.723404,0.05278,0.74457,0.003695,0.64811,0.255702,UP
0.894252,6,0.787234,0.09253,0.722999,0.006036,0.574573,0.565351,UP
0.017521,1,0.319149,0.074727,0.58435,0.003467,0.422915,0.414912,DOWN
0.434627,6,0.531915,0.045785,0.253198,0.003467,0.422915,0.414912,DOWN
0.460112,6,0.0,0.030954,0.490181,0.002071,0.427499,0.449123,UP
0.473563,3,0.191489,0.02567,0.212883,0.001724,0.246245,0.641667,DOWN
0.894739,3,0.170213,0.074787,0.289795,0.00388,0.417141,0.750439,DOWN
0.885536,4,0.957447,0.069923,0.545671,0.004414,0.439669,0.524561,UP
0.889562,5,0.531915,0.035307,0.55296,0.002476,0.57276,0.27193,DOWN
0.880669,6,0.914894,0.033656,0.262422,0.001789,0.238995,0.74386,DOWN
0.017698,5,0.382979,0.108863,0.496876,0.003467,0.422915,0.414912,UP
0.031592,5,0.340426,0.077819,0.373698,0.003467,0.422915,0.414912,UP
0.434406,1,0.234043,0.045334,0.386343,0.003467,0.422915,0.414912,DOWN
0.872262,6,0.723404,0.030683,0.369682,0.001967,0.31564,0.860526,DOWN
0.425512,4,0.510638,0.073316,0.513835,0.003467,0.422915,0.414912,DOWN
0.009026,3,0.12766,0.041341,0.305118,0.003467,0.422915,0.414912,DOWN
0.455821,6,0.255319,0.038129,0.264207,0.002601,0.249871,0.57193,DOWN
0.004911,1,0.659574,0.077669,0.484528,0.003467,0.422915,0.414912,DOWN
0.424893,4,0.340426,0.103399,0.446891,0.003467,0.422915,0.414912,UP
0.451706,3,0.468085,0.037228,0.657542,0.002511,0.689021,0.439035,DOWN
0.428919,5,0.787234,0.087486,0.390062,0.003467,0.422915,0.414912,UP
0.47374,0,0.893617,0.036958,0.368045,0.001685,0.254272,0.799123,UP
0.894031,1,0.489362,0.076108,0.683428,0.005035,0.707405,0.534649,UP
0.894385,2,0.148936,0.049928,0.266141,0.00328,0.398498,0.698246,DOWN
0.022964,5,0.957447,0.089738,0.310324,0.003467,0.422915,0.414912,UP
0.907836,0,0.978723,0.041702,0.287712,0.002815,0.325479,0.423246,UP
0.872041,1,0.425532,0.028822,0.666022,0.001826,0.537286,0.70614,DOWN
0.469935,5,0.191489,0.049838,0.273579,0.003346,0.239513,0.729386,DOWN
0.44268,1,0.914894,0.090128,0.476198,0.006082,0.391248,0.512281,UP
0.425202,4,0.765957,0.062748,0.370425,0.003467,0.422915,0.414912,DOWN
0.915756,5,0.382979,0.100667,0.611723,0.006755,0.571983,0.429825,UP
0.425114,2,0.851064,0.083794,0.370574,0.003467,0.422915,0.414912,UP
0.447237,0,0.446809,0.042752,0.588367,0.00286,0.316416,0.750877,UP
0.906995,2,0.93617,0.125015,0.419369,0.008631,0.534697,0.285088,UP
0.425822,4,0.744681,0.096673,0.446147,0.003467,0.422915,0.414912,UP
0.429096,2,0.829787,0.075387,0.438709,0.003467,0.422915,0.414912,DOWN
0.424539,3,1.0,0.058094,0.306456,0.003467,0.422915,0.414912,UP
0.881288,6,0.765957,0.042152,0.44942,0.002767,0.450285,0.583333,UP
0.027167,3,0.361702,0.074817,0.490628,0.003467,0.422915,0.414912,UP
0.876244,3,0.361702,0.030503,0.561738,0.001961,0.571983,0.547368,UP
0.871864,4,0.191489,0.040801,0.2349,0.001039,0.309166,0.853509,UP
0.438565,5,0.617021,0.053381,0.313448,0.003467,0.422915,0.414912,DOWN
0.881333,0,0.787234,0.041492,0.462809,0.002725,0.443035,0.58114,UP
0.47374,0,0.680851,0.028582,0.352425,0.001683,0.269291,0.781579,DOWN
0.425601,6,0.382979,0.075657,0.339185,0.003467,0.422915,0.414912,UP
0.876377,6,0.276596,0.028942,0.320887,0.001462,0.316157,0.819737,DOWN
0.433742,0,0.957447,0.068302,0.39884,0.003467,0.422915,0.414912,UP
0.893854,4,0.255319,0.051459,0.421303,0.003394,0.444588,0.558333,DOWN
0.430114,4,1.0,0.049838,0.353615,0.003467,0.422915,0.414912,DOWN
0.912128,0,0.106383,0.028191,0.100714,0.001851,0.254272,0.625877,DOWN
0.8985,5,0.93617,0.076318,0.510265,0.005216,0.445106,0.44693,DOWN
0.460865,2,0.06383,0.033986,0.391104,0.002322,0.393061,0.325877,DOWN
0.03199,0,0.446809,0.074817,0.34335,0.003467,0.422915,0.414912,UP
0.894695,2,0.042553,0.062237,0.518298,0.00409,0.527965,0.524123,DOWN
0.894075,2,0.297872,0.051039,0.584647,0.003604,0.633351,0.482018,DOWN
0.031061,0,0.042553,0.050829,0.151889,0.003467,0.422915,0.414912,DOWN
0.876112,0,0.851064,0.029933,0.310919,0.000843,0.268773,0.856579,UP
0.030972,5,0.914894,0.077489,0.285332,0.003467,0.422915,0.414912,UP
0.881244,5,0.021277,0.042242,0.432907,0.002013,0.358105,0.650439,UP
0.912172,1,0.808511,0.05251,0.45537,0.00354,0.403418,0.369737,DOWN
0.000752,4,0.574468,0.044224,0.470693,0.003467,0.422915,0.414912,DOWN
0.032034,1,0.93617,0.088237,0.311961,0.003467,0.422915,0.414912,UP
0.433786,1,0.87234,0.046535,0.365367,0.003467,0.422915,0.414912,DOWN
0.88558,5,0.340426,0.129909,0.623773,0.009086,0.656655,0.298684,UP
0.876687,6,0.595745,0.031104,0.513389,0.001955,0.36406,0.69386,UP
0.474227,4,0.893617,0.027981,0.245909,0.001645,0.106939,0.859649,UP
0.867484,2,0.638298,0.03945,0.659625,0.002644,0.784568,0.368421,UP
0.903367,4,0.468085,0.087426,0.517554,0.005796,0.551269,0.466667,UP
0.437857,3,0.659574,0.050859,0.480809,0.003467,0.422915,0.414912,DOWN
0.876554,3,0.319149,0.028372,0.519786,0.001147,0.519938,0.548684,DOWN
0.885978,0,0.680851,0.027591,0.33859,0.001791,0.300363,0.757456,DOWN
0.434052,0,0.93617,0.048037,0.421154,0.003467,0.422915,0.414912,DOWN
0.013982,4,1.0,0.067071,0.555638,0.003467,0.422915,0.414912,UP
0.026459,1,0.212766,0.074817,0.290539,0.003467,0.422915,0.414912,DOWN
0.438919,6,0.382979,0.048337,0.312705,0.003467,0.422915,0.414912,DOWN
0.867218,3,0.893617,0.028251,0.341267,0.001894,0.225013,0.657895,DOWN
0.005354,4,0.0,0.091209,0.54463,0.003467,0.422915,0.414912,UP
0.894252,6,0.042553,0.07923,0.520976,0.004778,0.544019,0.564474,UP
0.867218,3,0.276596,0.034646,0.344689,0.002358,0.354221,0.462281,DOWN
0.473298,4,0.404255,0.028432,0.55787,0.001921,0.498705,0.402632,UP
0.004602,1,0.510638,0.121202,0.591342,0.003467,0.422915,0.414912,UP
0.032034,1,0.87234,0.056923,0.174502,0.003467,0.422915,0.414912,DOWN
0.030972,5,0.021277,0.057254,0.271199,0.003467,0.422915,0.414912,DOWN
0.464758,6,0.042553,0.029062,0.362095,0.001978,0.367944,0.461404,DOWN
0.027388,1,0.808511,0.05245,0.440643,0.003467,0.422915,0.414912,DOWN
0.871377,0,0.702128,0.036538,0.44213,0.00237,0.498187,0.729825,UP
0.894429,3,0.021277,0.061096,0.558167,0.003978,0.464008,0.611842,DOWN
0.434317,6,0.893617,0.045334,0.297828,0.003467,0.422915,0.414912,DOWN
0.014291,4,0.425532,0.056263,0.651443,0.003467,0.422915,0.414912,UP
0.447016,2,0.978723,0.042662,0.570068,0.002817,0.48783,0.475439,DOWN
0.021857,1,0.361702,0.074517,0.488099,0.003467,0.422915,0.414912,UP
0.894783,4,0.978723,0.080311,0.665724,0.005457,0.566287,0.505702,DOWN
0.446706,2,0.191489,0.01294,0.22776,0.000837,0.261523,0.647807,DOWN
0.903544,1,0.702128,0.087336,0.491967,0.005827,0.474107,0.482018,UP
0.429892,6,0.659574,0.07956,0.41208,0.003467,0.422915,0.414912,UP
0.026282,4,0.595745,0.07959,0.434395,0.003467,0.422915,0.414912,UP
0.442901,6,0.787234,0.060706,0.507885,0.004244,0.423097,0.389912,UP
0.469581,4,0.340426,0.05308,0.538976,0.003527,0.480321,0.503947,UP
0.004248,0,0.340426,0.048367,0.551324,0.003467,0.422915,0.414912,DOWN
0.912216,2,0.595745,0.087396,0.509521,0.005985,0.589073,0.303947,UP
0.881023,0,0.340426,0.029092,0.242339,0.000725,0.162092,0.61886,UP
0.907703,4,0.957447,0.049718,0.463255,0.003373,0.402641,0.430263,DOWN
0.026813,2,0.446809,0.096343,0.542398,0.003467,0.422915,0.414912,UP
0.447237,0,0.319149,0.037529,0.335019,0.001142,0.143449,0.765789,UP
0.884695,6,0.021277,0.032845,0.417882,0.002131,0.399534,0.672368,UP
0.90319,0,0.638298,0.049478,0.295448,0.003,0.197307,0.800877,DOWN
0.004292,1,0.276596,0.046926,0.43737,0.003467,0.422915,0.414912,DOWN
0.438609,6,0.446809,0.051759,0.348408,0.003467,0.422915,0.414912,DOWN
0.442857,5,0.446809,0.078179,0.591937,0.005212,0.539099,0.525877,UP
0.469625,5,0.297872,0.061907,0.46742,0.004221,0.484982,0.413158,UP
0.898146,4,0.723404,0.124054,0.812407,0.00791,0.625065,0.755263,UP
0.022742,0,0.659574,0.088117,0.423981,0.003467,0.422915,0.414912,UP
0.429008,0,0.723404,0.084634,0.464296,0.003467,0.422915,0.414912,UP
0.871864,4,0.319149,0.028792,0.540762,0.001886,0.590886,0.525,DOWN
0.876421,0,0.12766,0.018554,0.101012,0.000823,0.184878,0.841667,DOWN
0.447812,6,0.319149,0.041822,0.455222,0.002692,0.287675,0.754825,UP
0.469669,6,0.574468,0.045815,0.361648,0.003087,0.377784,0.492982,UP
0.894518,5,0.553191,0.074457,0.63612,0.004987,0.668824,0.500439,UP
0.451794,5,0.0,0.037468,0.612615,0.002528,0.496634,0.60307,DOWN
0.890315,1,0.404255,0.029332,0.733859,0.002011,0.689798,0.332018,DOWN
0.871687,0,0.787234,0.027051,0.332937,0.001683,0.218799,0.830263,DOWN
0.022787,1,0.404255,0.102588,0.522166,0.003467,0.422915,0.414912,UP
0.473961,5,0.404255,0.029723,0.624517,0.001959,0.492491,0.592982,DOWN
0.469139,1,0.510638,0.061126,0.544927,0.003999,0.537804,0.495175,UP
0.004911,1,0.319149,0.090729,0.603541,0.003467,0.422915,0.414912,DOWN
0.46113,1,0.382979,0.042813,0.529158,0.002937,0.524858,0.33114,UP
0.452148,6,0.553191,0.033175,0.448825,0.002279,0.287675,0.474123,DOWN
0.425424,2,0.829787,0.122703,0.489586,0.003467,0.422915,0.414912,UP
0.455953,2,0.787234,0.054672,0.758405,0.003698,0.671673,0.408772,UP
0.017787,0,0.978723,0.083644,0.486016,0.003467,0.422915,0.414912,UP
0.911597,2,0.531915,0.063318,0.516662,0.004204,0.588555,0.442544,UP
0.456617,3,0.382979,0.038699,0.658137,0.002619,0.633092,0.500439,UP
0.912172,1,0.893617,0.049478,0.400922,0.003317,0.367426,0.483333,DOWN
0.004248,0,0.361702,0.048367,0.546266,0.003467,0.422915,0.414912,DOWN
0.022256,3,0.510638,0.074937,0.489289,0.003467,0.422915,0.414912,UP
0.425247,5,0.382979,0.083584,0.399435,0.003467,0.422915,0.414912,UP
0.425114,2,0.489362,0.083794,0.506248,0.003467,0.422915,0.414912,UP
0.893899,5,0.914894,0.042752,0.631657,0.002871,0.524858,0.614912,DOWN
0.451883,0,0.595745,0.033626,0.347962,0.002194,0.276023,0.726316,DOWN
0.885005,6,0.085106,0.050408,0.275811,0.003477,0.357846,0.329825,DOWN
0.434494,3,0.170213,0.052,0.177477,0.003467,0.422915,0.414912,DOWN
0.885448,2,0.042553,0.054431,0.424874,0.003538,0.432936,0.648246,UP
0.867395,0,0.425532,0.034676,0.361946,0.00227,0.323666,0.861404,UP
0.876466,1,0.340426,0.033746,0.567688,0.002144,0.515795,0.706579,UP
0.451617,1,0.425532,0.042212,0.722404,0.002808,0.680476,0.504825,UP
0.893677,4,0.319149,0.031224,0.524546,0.002162,0.576126,0.300877,UP
0.460643,4,0.93617,0.034526,0.492562,0.002314,0.404195,0.567982,DOWN
0.877129,2,0.829787,0.035097,0.530943,0.002441,0.506732,0.282018,DOWN
0.451838,6,0.553191,0.033626,0.432014,0.00225,0.380891,0.567105,DOWN
0.867041,6,0.87234,0.031374,0.286076,0.002129,0.188503,0.614474,UP
0.031724,1,0.404255,0.058785,0.47947,0.003467,0.422915,0.414912,UP
0.013318,3,0.0,0.097574,0.541952,0.003467,0.422915,0.414912,UP
0.880581,4,0.06383,0.03945,0.314341,0.002547,0.380114,0.652193,UP
0.014114,0,0.744681,0.061217,0.61321,0.003467,0.422915,0.414912,UP
0.005088,5,0.893617,0.068362,0.422642,0.003467,0.422915,0.414912,DOWN
0.027255,5,0.340426,0.11778,0.452098,0.003467,0.422915,0.414912,UP
0.017698,5,0.425532,0.087637,0.470544,0.003467,0.422915,0.414912,UP
0.469316,5,0.914894,0.035607,0.432014,0.00237,0.265148,0.647368,DOWN
0.424627,5,0.06383,0.055242,0.138947,0.003467,0.422915,0.414912,DOWN
0.460289,3,0.851064,0.043713,0.555043,0.002993,0.523045,0.366667,DOWN
0.442989,1,1.0,0.051579,0.50357,0.003513,0.424909,0.494298,DOWN
0.452369,4,0.87234,0.046085,0.713924,0.003178,0.528483,0.479825,DOWN
0.442458,3,0.446809,0.057254,0.517703,0.004011,0.507509,0.500526,DOWN
0.013406,5,0.87234,0.087156,0.536745,0.003467,0.422915,0.414912,UP
0.885359,0,0.87234,0.161583,0.423832,0.004086,0.371569,0.775,UP
0.889076,1,0.93617,0.028041,0.466379,0.001755,0.404454,0.568421,DOWN
0.907969,3,0.680851,0.042602,0.45299,0.003434,0.540911,0.321491,DOWN
0.014026,5,0.87234,0.068512,0.507438,0.003467,0.422915,0.414912,UP
0.031326,6,0.106383,0.051909,0.065457,0.003467,0.422915,0.414912,DOWN
0.897969,0,0.957447,0.0786,0.546564,0.004198,0.375194,0.706579,DOWN
0.469625,5,0.893617,0.047046,0.386641,0.003195,0.29622,0.56886,DOWN
0.021902,2,0.425532,0.073586,0.515174,0.003467,0.422915,0.414912,UP
0.871554,4,1.0,0.028942,0.427105,0.001965,0.406266,0.803947,DOWN
0.88943,2,0.893617,0.033746,0.59878,0.002329,0.530554,0.389474,UP
0.875979,0,0.978723,0.029542,0.370128,0.001884,0.349819,0.667105,DOWN
0.429406,2,0.87234,0.058364,0.384856,0.003467,0.422915,0.414912,DOWN
0.429804,4,0.638298,0.093191,0.619458,0.003467,0.422915,0.414912,UP
0.885138,2,0.531915,0.033776,0.501934,0.002368,0.562403,0.234211,DOWN
0.030707,6,0.765957,0.089828,0.329664,0.003467,0.422915,0.414912,UP
0.442901,6,0.319149,0.045635,0.340077,0.003041,0.243915,0.611404,DOWN
0.902526,6,0.170213,0.030803,0.165129,0.002,0.290523,0.672807,DOWN
0.907261,1,0.574468,0.158911,0.474412,0.010411,0.627654,0.444737,UP
0.447635,2,0.319149,0.073436,0.703362,0.004344,0.607457,0.389912,UP
0.425556,5,0.06383,0.069863,0.18432,0.003467,0.422915,0.414912,DOWN
0.022831,2,0.170213,0.046085,0.138054,0.003467,0.422915,0.414912,DOWN
0.871731,3,0.531915,0.093101,0.48795,0.006221,0.559814,0.529825,UP
0.02699,6,0.510638,0.091209,0.330408,0.003467,0.422915,0.414912,UP
0.017831,1,0.574468,0.083133,0.464445,0.003467,0.422915,0.414912,UP
0.027211,4,0.319149,0.080491,0.489586,0.003467,0.422915,0.414912,UP
0.022875,3,0.276596,0.084814,0.385302,0.003467,0.422915,0.414912,UP
0.004602,1,0.978723,0.07878,0.562333,0.003467,0.422915,0.414912,DOWN
0.893633,6,0.851064,0.069563,0.622285,0.004501,0.463231,0.725439,DOWN
0.031769,2,0.553191,0.086015,0.242636,0.003467,0.422915,0.414912,UP
0.018495,2,0.255319,0.088237,0.317465,0.003467,0.422915,0.414912,UP
0.911199,0,0.957447,0.042572,0.349598,0.002738,0.236665,0.715351,UP
0.473563,0,0.574468,0.027561,0.282505,0.001853,0.169601,0.636842,UP
0.00907,4,0.595745,0.044554,0.551919,0.003467,0.422915,0.414912,DOWN
0.898544,6,0.085106,0.077909,0.330854,0.005143,0.452356,0.488158,UP
0.031415,1,0.680851,0.0662,0.506099,0.003467,0.422915,0.414912,DOWN
0.464537,1,0.106383,0.02678,0.105475,0.001801,0.270326,0.578509,DOWN
0.871466,2,0.255319,0.025339,0.459387,0.001614,0.503884,0.722807,DOWN
0.44706,3,0.93617,0.041822,0.613657,0.002759,0.435526,0.715351,DOWN
0.907526,0,0.914894,0.033686,0.35778,0.002206,0.298809,0.639474,DOWN
0.442591,6,0.510638,0.081662,0.480363,0.005509,0.33014,0.500526,UP
0.451263,0,0.489362,0.040831,0.478578,0.002611,0.286898,0.860088,UP
0.451794,5,0.914894,0.033626,0.600119,0.002237,0.449508,0.660965,DOWN
0.438388,1,0.106383,0.06539,0.221363,0.003467,0.422915,0.414912,DOWN
0.889164,3,0.957447,0.027771,0.519042,0.001878,0.408079,0.514035,DOWN
0.898323,1,0.808511,0.077969,0.768373,0.005104,0.637752,0.515351,UP
0.022742,0,0.361702,0.083554,0.44823,0.003467,0.422915,0.414912,UP
0.442237,4,0.276596,0.110694,0.408807,0.003467,0.422915,0.414912,UP
0.88089,4,0.148936,0.028011,0.158137,0.001778,0.271621,0.839474,DOWN
0.447414,4,0.297872,0.043383,0.607409,0.002946,0.537027,0.311842,DOWN
0.023096,1,0.489362,0.101567,0.496578,0.003467,0.422915,0.414912,UP
0.87182,3,0.446809,0.028432,0.591491,0.001813,0.724754,0.535965,DOWN
0.447768,5,0.829787,0.043503,0.650848,0.003016,0.52434,0.38114,UP
0.438211,4,0.170213,0.043623,0.154716,0.003467,0.422915,0.414912,DOWN
0.897969,0,0.404255,0.107091,0.617971,0.006068,0.355774,0.902193,UP
0.881244,5,0.893617,0.02639,0.374442,0.001778,0.39798,0.529386,DOWN
0.880979,6,0.468085,0.030143,0.4036,0.001061,0.317193,0.686842,UP
0.460466,0,0.617021,0.024469,0.245016,0.001641,0.279907,0.722807,DOWN
0.03137,0,0.255319,0.067371,0.34945,0.003467,0.422915,0.414912,UP
0.88089,4,0.531915,0.028942,0.479619,0.001915,0.483169,0.65,DOWN
0.90757,1,0.0,0.047766,0.314936,0.003151,0.34464,0.572807,UP
0.438742,2,0.87234,0.058544,0.419518,0.003467,0.422915,0.414912,UP
0.881023,0,0.702128,0.028942,0.274026,0.000858,0.275246,0.662719,UP
0.42945,3,0.276596,0.073556,0.49881,0.003467,0.422915,0.414912,UP
0.031415,1,0.234043,0.102258,0.376227,0.003467,0.422915,0.414912,UP
0.890049,2,0.553191,0.340999,0.747248,0.023911,0.759969,0.305702,UP
0.898235,6,0.170213,0.031494,0.207676,0.002,0.309425,0.748246,DOWN
0.465201,2,0.808511,0.070734,0.537786,0.0049,0.515536,0.235965,UP
0.456175,0,0.12766,0.03915,0.164237,0.000953,0.24029,0.7,UP
0.017743,6,0.212766,0.056203,0.085838,0.003467,0.422915,0.414912,DOWN
0.868236,5,0.340426,0.028822,0.611871,0.001838,0.525893,0.682456,UP
0.460289,3,0.446809,0.040291,0.526927,0.002763,0.548679,0.27807,UP
0.022742,0,0.978723,0.102738,0.439453,0.003467,0.422915,0.414912,UP
0.868236,5,0.382979,0.028432,0.636715,0.001807,0.545054,0.646053,UP
0.885359,0,0.361702,0.028972,0.338441,0.001695,0.196012,0.787719,DOWN
0.005221,1,0.659574,0.042422,0.555936,0.003467,0.422915,0.414912,DOWN
