Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,target
3,9,10,0,0,0,1.0,55,8,1368.0,1,11,338657.0,395553.0,-2.925214,53.453146,5,3,7,91.0,580.0,0.0,1.0,2,3,2.0,29,6,0,0,8,8,1.0
2,3,17,0,0,0,1.0,43,7,125.0,1,1,359892.0,171877.0,-2.578493,51.444454,52,3,1,601.0,4.0,37.0,1.0,2,1,2.0,43,7,0,0,3,7,2.0
2,9,2,0,10,10,1.0,69,10,1598.0,1,12,370900.0,237500.0,-2.425618,52.035135,22,2,1,285.0,0.0,0.0,2.0,1,1,2.0,19,4,0,0,9,7,2.0
1,2,4,0,0,0,1.0,16,4,49.0,1,9,411830.0,278640.0,-1.827533,52.405642,20,2,1,306.0,0.0,0.0,1.0,2,1,1.0,16,4,0,0,2,10,1.0
2,9,4,0,0,0,1.0,44,7,1198.0,1,1,419583.0,286882.0,-1.713089,52.479516,23,3,3,290.0,0.0,0.0,2.0,1,1,1.0,40,7,0,0,9,5,2.0
2,9,18,0,0,0,1.0,26,6,1086.0,1,6,335216.0,390956.0,-2.976075,53.411419,5,2,1,91.0,5049.0,0.0,1.0,2,1,2.0,26,6,0,0,9,2,2.0
2,9,18,0,0,0,1.0,30,6,998.0,1,8,416295.0,434996.0,-1.754018,53.81100000000001,13,3,3,200.0,0.0,0.0,1.0,3,3,1.0,36,7,0,0,9,5,2.0
1,8,5,0,7,1,1.0,42,7,1781.0,1,15,532640.0,191360.0,-0.086059,51.605463,1,2,2,31.0,10.0,0.0,1.0,2,1,1.0,29,6,0,0,9,3,1.0
1,9,18,0,0,0,1.0,27,6,1399.0,2,9,436676.0,388410.0,-1.449977,53.39126,14,1,2,215.0,0.0,6109.0,1.0,1,1,1.0,27,6,0,0,9,4,1.0
1,9,9,0,0,0,1.0,34,6,1248.0,1,1,526050.0,268100.0,-0.15304600000000002,52.296574,35,2,5,393.0,1198.0,0.0,2.0,1,5,2.0,6,2,0,0,9,8,2.0
1,9,18,0,0,0,1.0,48,8,1896.0,2,5,526720.0,183290.0,-0.174404,51.534302,1,2,3,1.0,41.0,0.0,1.0,1,1,1.0,48,8,0,0,9,1,1.0
2,9,9,0,0,0,1.0,90,11,1240.0,1,11,357407.0,356071.0,-2.637581,53.10012800000001,7,2,4,129.0,513.0,0.0,2.0,2,4,2.0,84,11,0,0,9,6,1.0
2,8,18,0,0,0,1.0,55,8,1896.0,2,11,517500.0,180670.0,-0.308142,51.512747,1,2,1,27.0,4020.0,0.0,1.0,1,1,2.0,40,7,0,0,2,2,1.0
1,9,18,0,0,0,1.0,18,4,1390.0,1,9,457008.0,402126.0,-1.1418,53.512733,14,3,2,211.0,0.0,630.0,1.0,1,1,1.0,18,4,0,0,9,3,1.0
2,9,17,0,0,0,1.0,35,6,1598.0,1,5,418237.0,436350.0,-1.724446,53.823106,13,2,1,200.0,0.0,0.0,1.0,2,1,1.0,29,6,0,0,9,6,2.0
1,3,18,0,0,0,1.0,25,5,124.0,1,5,442915.0,314090.0,-1.366047,52.722764,33,2,1,366.0,7210.0,6.0,1.0,1,1,1.0,25,5,0,0,3,4,1.0
1,9,3,0,0,0,1.0,48,8,995.0,1,8,396369.0,340508.0,-2.055503,52.961926,21,2,1,256.0,50.0,50.0,2.0,1,1,2.0,48,8,0,0,9,10,2.0
1,3,18,0,0,0,1.0,23,5,125.0,1,7,531440.0,184890.0,-0.105796,51.54760200000001,1,1,2,3.0,1.0,0.0,1.0,1,1,1.0,23,5,0,0,3,2,1.0
2,9,18,0,0,0,1.0,30,6,1796.0,1,13,585431.0,186385.0,0.672859,51.545888,42,2,1,460.0,13.0,0.0,1.0,1,1,2.0,38,7,0,0,9,10,1.0
2,5,18,0,0,0,1.0,56,9,899.0,1,15,528417.0,410270.0,-0.062115,53.57332,16,2,2,233.0,180.0,0.0,1.0,2,2,1.0,56,9,0,0,5,9,1.0
1,9,18,0,0,0,1.0,25,5,1598.0,1,3,544114.0,209947.0,0.08718200000000001,51.769655,42,2,1,457.0,0.0,0.0,1.0,2,1,2.0,25,5,0,0,9,9,2.0
1,9,17,0,0,0,1.0,21,5,1299.0,1,13,376710.0,405790.0,-2.35297,53.548223,6,2,1,101.0,667.0,0.0,2.0,2,1,2.0,34,6,0,0,9,1,1.0
1,9,18,0,0,11,1.0,69,10,1240.0,1,5,537954.0,200614.0,-0.005727,51.687342,42,1,2,456.0,0.0,0.0,1.0,1,1,2.0,69,10,0,0,9,4,2.0
2,19,16,0,0,0,1.0,21,5,1461.0,2,5,432238.0,290026.0,-1.52646,52.507181,23,3,2,291.0,4102.0,0.0,2.0,2,2,1.0,21,5,0,0,19,3,1.0
2,9,3,0,0,0,1.0,35,6,1968.0,2,3,475103.0,247511.0,-0.904485,52.120823,34,2,2,385.0,508.0,0.0,2.0,1,1,1.0,36,7,0,0,9,7,1.0
3,9,3,0,0,0,1.0,59,9,2199.0,2,1,442870.0,413021.0,-1.35349,53.611994,13,4,5,206.0,0.0,0.0,2.0,1,2,1.0,20,4,0,0,9,1,1.0
2,9,5,0,0,0,1.0,35,6,1248.0,1,1,395306.0,229622.0,-2.069729,51.965055,53,3,2,625.0,435.0,94.0,2.0,1,1,1.0,84,11,0,0,9,7,2.0
3,9,2,0,0,0,1.0,42,7,1598.0,1,7,468268.0,519811.0,-0.945604,54.568924,17,3,1,241.0,0.0,0.0,2.0,3,1,2.0,42,7,0,0,9,9,2.0
2,5,18,0,0,0,1.0,56,9,645.0,1,5,413521.0,431969.0,-1.796277,53.783873,13,2,1,200.0,0.0,0.0,1.0,2,1,1.0,56,9,0,0,5,8,1.0
1,9,18,0,0,4,1.0,26,6,1242.0,1,16,495908.0,216529.0,-0.609351,51.839141,43,1,1,476.0,79.0,0.0,2.0,1,1,1.0,26,6,0,0,9,9,1.0
7,9,4,0,0,0,1.0,41,7,2179.0,2,1,507449.0,200032.0,-0.446998,51.688772,41,8,5,436.0,25.0,0.0,2.0,8,5,1.0,26,6,0,0,19,6,1.0
2,8,18,0,0,0,1.0,60,9,1797.0,8,5,526380.0,178190.0,-0.18113,51.488545,1,3,5,12.0,0.0,0.0,1.0,1,1,2.0,27,6,0,0,8,7,1.0
2,9,18,0,0,10,1.0,24,5,1598.0,1,6,526050.0,268100.0,-0.15304600000000002,52.296574,35,2,5,393.0,1198.0,0.0,2.0,1,1,2.0,34,6,0,0,9,8,1.0
2,9,4,0,0,0,1.0,30,6,2792.0,1,7,392830.0,289720.0,-2.107062,52.50532800000001,20,2,2,303.0,0.0,0.0,1.0,2,1,2.0,30,6,0,0,9,10,2.0
2,9,3,0,0,0,1.0,70,10,1339.0,1,9,402908.0,202046.0,-1.959307,51.717135,53,2,5,621.0,429.0,429.0,2.0,2,3,1.0,66,10,0,0,9,10,2.0
2,9,18,0,0,0,1.0,53,8,1596.0,1,9,453775.0,256204.0,-1.214583,52.201451,34,2,3,381.0,361.0,2.0,2.0,2,1,1.0,53,8,0,0,9,8,1.0
1,9,16,0,0,0,1.0,32,6,1461.0,2,9,467030.0,358404.0,-0.99992,53.11861,31,2,4,345.0,617.0,0.0,2.0,1,1,2.0,32,6,0,0,9,10,2.0
2,9,18,0,0,0,1.0,27,6,1968.0,2,7,379530.0,419220.0,-2.311298,53.669051,4,2,3,82.0,56.0,0.0,2.0,1,1,2.0,31,6,0,0,9,1,1.0
3,19,2,0,0,0,1.0,46,8,2198.0,2,2,394560.0,288870.0,-2.081561,52.497707,20,3,1,303.0,0.0,0.0,1.0,1,1,2.0,28,6,0,0,9,5,1.0
2,9,18,0,0,0,1.0,48,8,999.0,1,1,412694.0,562797.0,-1.803294,54.95965,10,2,2,146.0,695.0,6317.0,2.0,1,1,1.0,30,6,0,0,9,8,2.0
1,9,18,0,0,0,1.0,36,7,998.0,1,1,449874.0,302371.0,-1.264792,52.616827,33,3,2,361.0,582.0,6.0,2.0,2,2,1.0,43,7,0,0,9,3,2.0
1,9,18,0,0,0,1.0,63,9,1598.0,1,5,448434.0,393679.0,-1.272381,53.437671,14,2,3,213.0,0.0,0.0,1.0,1,2,1.0,82,11,0,0,9,9,2.0
1,9,18,0,4,0,1.0,80,11,1242.0,1,15,348890.0,375701.0,-2.767918,53.275814,7,2,1,130.0,2511.0,0.0,2.0,1,1,2.0,80,11,0,0,9,9,2.0
2,9,18,0,0,0,1.0,47,8,1398.0,1,4,427897.0,431335.0,-1.578158,53.77760600000001,13,3,3,204.0,621.0,0.0,1.0,3,3,1.0,25,5,0,0,9,9,2.0
2,9,18,0,0,0,1.0,28,6,1199.0,1,16,538420.0,183690.0,-0.005667,51.535152,1,2,2,17.0,11.0,0.0,1.0,1,2,1.0,32,6,0,0,9,5,1.0
2,9,16,0,0,0,1.0,32,6,1399.0,2,10,328719.0,133271.0,-3.019262,51.094299,52,2,1,607.0,38.0,0.0,2.0,1,1,1.0,33,6,0,0,9,5,1.0
1,9,9,0,0,0,1.0,20,4,1198.0,1,1,431630.0,291860.0,-1.535244,52.523704,23,5,2,291.0,0.0,0.0,1.0,1,1,2.0,20,4,0,0,9,8,2.0
3,9,2,0,0,0,1.0,41,7,1560.0,2,7,351838.0,391779.0,-2.726166,53.420598,5,3,2,92.0,5419.0,0.0,1.0,3,1,2.0,13,3,0,0,9,1,2.0
2,9,5,0,0,0,1.0,68,10,1298.0,1,13,283165.0,63780.0,-3.647431,50.462177,50,2,2,584.0,381.0,0.0,2.0,2,2,1.0,68,10,0,0,9,2,1.0
2,9,3,0,0,0,1.0,31,6,1390.0,1,9,524020.0,223896.0,-0.19887,51.899816,41,2,1,435.0,1155.0,0.0,1.0,1,1,1.0,24,5,0,0,5,9,2.0
1,9,18,0,0,9,1.0,35,6,973.0,1,14,373390.0,422330.0,-2.4044950000000003,53.696726,4,1,4,70.0,0.0,0.0,2.0,1,1,1.0,35,6,0,0,9,1,1.0
1,9,17,0,0,0,1.0,38,7,1753.0,2,8,354370.0,340110.0,-2.680672,52.956411,22,2,1,286.0,41.0,5476.0,2.0,2,1,1.0,52,8,0,0,5,8,1.0
2,9,10,0,0,0,1.0,64,9,1339.0,1,4,396650.0,269900.0,-2.050578,52.32718300000001,22,2,1,270.0,4184.0,0.0,1.0,1,1,1.0,57,9,0,0,5,10,2.0
1,9,18,0,0,0,1.0,30,6,1956.0,2,2,542620.0,181680.0,0.054034000000000006,51.516046,1,1,1,17.0,0.0,0.0,1.0,1,1,1.0,11,3,6,9,0,5,2.0
2,9,18,0,0,0,1.0,29,6,1043.0,1,18,349440.0,439810.0,-2.77007,53.852047,4,2,1,85.0,0.0,0.0,2.0,2,1,1.0,29,6,0,0,9,9,1.0
1,9,3,0,0,0,1.0,41,7,1388.0,1,11,510256.0,429246.0,-0.329516,53.747934,16,2,1,228.0,165.0,1165.0,1.0,1,1,2.0,41,7,0,0,9,6,2.0
1,9,12,0,0,0,1.0,47,8,1998.0,1,10,449066.0,318799.0,-1.274281,52.764571,33,2,1,362.0,1.0,1.0,2.0,2,1,2.0,45,7,0,0,9,3,2.0
2,9,4,0,0,0,1.0,82,11,1596.0,1,13,562850.0,269620.0,0.386867,52.300562,35,2,1,391.0,145.0,0.0,2.0,1,1,2.0,23,5,0,0,9,6,1.0
1,9,4,0,0,0,1.0,46,8,1997.0,1,12,400402.0,95745.0,-1.995666,50.761297,55,2,2,643.0,3074.0,0.0,1.0,2,1,2.0,44,7,0,0,9,7,2.0
1,9,12,0,0,0,1.0,31,6,2979.0,1,11,433059.0,265295.0,-1.516798,52.284807,23,3,1,294.0,425.0,0.0,1.0,2,1,2.0,25,5,0,0,5,7,1.0
2,9,18,0,0,0,1.0,18,4,1199.0,1,12,505940.0,190550.0,-0.471688,51.603834,1,2,2,26.0,0.0,0.0,2.0,1,2,2.0,25,5,0,0,9,4,1.0
1,9,9,0,0,0,1.0,64,9,1587.0,1,12,532400.0,177650.0,-0.094676,51.482316,1,2,1,8.0,215.0,214.0,1.0,1,1,2.0,64,9,0,0,9,3,2.0
1,9,9,0,0,0,1.0,28,6,1299.0,1,9,475794.0,216722.0,-0.901187,51.843965,43,2,3,476.0,41.0,57.0,2.0,1,1,2.0,28,6,0,0,9,6,2.0
3,9,18,0,0,0,1.0,32,6,1124.0,1,14,429643.0,556504.0,-1.539262,54.902386,10,3,2,150.0,1231.0,182.0,1.0,2,2,2.0,27,6,0,0,9,2,2.0
1,9,4,0,0,6,1.0,27,6,1242.0,1,8,419840.0,283170.0,-1.709525,52.446137,20,4,4,306.0,42.0,0.0,2.0,1,1,2.0,27,6,0,0,9,2,2.0
4,9,18,0,0,0,1.0,30,6,2400.0,2,2,519507.0,203261.0,-0.271538,51.715357,41,8,8,33.0,25.0,0.0,2.0,4,7,1.0,30,6,0,0,9,10,1.0
1,9,18,0,0,0,1.0,35,6,1968.0,2,2,528120.0,191360.0,-0.151291,51.606509,1,4,3,30.0,406.0,0.0,1.0,1,1,2.0,35,6,0,0,9,6,2.0
2,9,3,0,0,0,1.0,40,7,1360.0,1,12,428666.0,586322.0,-1.551517,55.170382,10,2,2,139.0,1334.0,0.0,1.0,2,1,2.0,40,7,0,0,9,5,2.0
2,9,1,0,0,0,1.0,82,11,1998.0,2,9,427145.0,433515.0,-1.589378,53.79723900000001,13,2,1,204.0,0.0,0.0,1.0,2,1,1.0,82,11,0,0,9,3,1.0
2,9,9,0,0,0,1.0,24,5,1198.0,1,9,530510.0,176480.0,-0.12231,51.47224,1,2,1,9.0,3.0,203.0,1.0,2,1,2.0,24,5,0,0,9,4,2.0
1,9,18,0,0,0,1.0,25,5,1968.0,2,8,372060.0,408800.0,-2.423417,53.575049,6,2,1,100.0,579.0,0.0,1.0,2,1,2.0,20,4,0,0,9,1,1.0
1,9,18,0,0,0,1.0,25,5,1229.0,1,4,396212.0,298988.0,-2.057346,52.58868100000001,20,2,1,307.0,0.0,0.0,1.0,1,1,2.0,25,5,0,0,9,3,2.0
2,9,18,0,0,0,1.0,58,9,1968.0,2,4,383427.0,274760.0,-2.244844,52.370632,22,2,1,278.0,442.0,449.0,1.0,2,1,2.0,58,9,0,0,9,7,2.0
