Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,target
1,9,18,0,0,6,1.0,35,6,1242.0,1,12,535980.0,192300.0,-0.037495,51.613114,1,1,1,32.0,406.0,0.0,2.0,1,1,2.0,35,6,0,0,9,7,2.0
2,9,16,0,11,0,1.0,27,6,1598.0,1,6,384016.0,166576.0,-2.231144,51.397989,54,2,2,635.0,3109.0,0.0,2.0,2,1,2.0,27,6,0,0,9,9,2.0
3,9,3,0,0,0,1.0,33,6,1149.0,1,13,535670.0,193970.0,-0.041323,51.628196,1,3,2,32.0,1055.0,0.0,1.0,2,1,2.0,50,8,0,0,9,9,1.0
2,9,17,0,0,0,1.0,41,7,1794.0,1,8,519480.0,192150.0,-0.275724,51.615506,1,2,2,30.0,5100.0,5100.0,1.0,2,2,2.0,41,7,0,0,9,6,2.0
1,9,18,0,0,0,1.0,20,4,1596.0,1,13,376909.0,159534.0,-2.332839,51.334425,52,2,2,611.0,3110.0,0.0,2.0,2,1,1.0,41,7,0,0,9,7,1.0
1,21,18,0,0,0,1.0,51,8,9200.0,2,8,243293.0,88754.0,-4.219318,50.677294,50,2,2,589.0,30.0,0.0,2.0,2,1,1.0,84,11,0,0,9,4,1.0
2,3,17,0,0,0,1.0,35,6,125.0,1,3,354610.0,422620.0,-2.688949,53.698034,4,2,4,83.0,0.0,0.0,1.0,1,4,2.0,23,5,0,0,9,9,1.0
2,9,3,0,0,0,1.0,45,7,1997.0,2,9,532160.0,178640.0,-0.09776,51.491269,1,3,3,8.0,215.0,0.0,1.0,2,2,1.0,45,7,0,0,9,5,1.0
1,9,18,0,0,0,1.0,70,10,998.0,1,2,503300.0,421764.0,-0.437448,53.68213299999999,16,1,1,232.0,0.0,1077.0,1.0,1,1,2.0,11,3,8,1,0,9,1.0
2,3,18,0,0,0,1.0,23,5,125.0,1,1,385303.0,348044.0,-2.22059,53.029476,21,2,1,253.0,5369.0,5368.0,1.0,2,1,1.0,23,5,0,0,3,6,1.0
1,9,7,0,0,0,1.0,49,8,1598.0,2,4,532420.0,185090.0,-0.091596,51.54917,1,2,1,3.0,0.0,0.0,1.0,2,1,2.0,35,6,0,0,1,3,2.0
1,9,4,0,0,0,1.0,36,7,1560.0,2,8,260247.0,55686.0,-3.967117,50.384412,50,3,1,584.0,38.0,0.0,2.0,2,1,2.0,35,6,0,0,9,7,1.0
1,5,10,0,0,0,1.0,40,7,599.0,1,15,389040.0,296870.0,-2.163137,52.56954200000001,20,2,1,309.0,0.0,0.0,1.0,1,1,2.0,40,7,0,0,5,1,2.0
1,9,18,0,0,0,1.0,40,7,1399.0,2,7,406490.0,182212.0,-1.907818,51.538773,54,1,1,635.0,3102.0,0.0,1.0,1,1,2.0,18,4,1,1,0,8,2.0
1,9,18,0,0,0,1.0,43,7,1461.0,2,5,351130.0,440440.0,-2.744482,53.857871,4,2,6,85.0,6.0,0.0,2.0,1,4,1.0,4,1,0,0,9,7,2.0
1,9,6,0,0,0,1.0,30,6,999.0,1,1,336218.0,395731.0,-2.9619720000000003,53.454455,5,2,1,91.0,59.0,0.0,1.0,2,1,1.0,30,6,0,0,4,6,2.0
1,9,16,0,0,4,1.0,63,9,1388.0,1,7,340252.0,93880.0,-2.848129,50.74144,55,1,1,645.0,35.0,0.0,2.0,1,1,1.0,63,9,0,0,9,2,1.0
1,8,9,0,0,0,1.0,29,6,1497.0,8,10,530720.0,183680.0,-0.116622,51.536896,1,2,1,3.0,5203.0,154.0,1.0,2,1,1.0,35,6,0,0,1,4,1.0
1,9,18,0,0,0,1.0,28,6,1968.0,2,11,399777.0,302194.0,-2.004728,52.617516,20,1,1,307.0,0.0,0.0,1.0,1,1,1.0,11,3,1,1,0,1,1.0
1,9,18,0,0,0,1.0,75,10,2179.0,2,7,411923.0,510898.0,-1.81744,54.493278,12,3,2,184.0,66.0,0.0,2.0,1,1,1.0,75,10,0,0,9,7,1.0
1,9,18,0,0,0,1.0,22,5,1396.0,1,18,384543.0,348563.0,-2.231947,53.03412,21,4,4,253.0,5369.0,0.0,1.0,1,1,1.0,22,5,0,0,9,4,1.0
3,9,18,0,0,0,1.0,26,6,1200.0,1,12,412398.0,94395.0,-1.825631,50.74902700000001,55,3,1,640.0,0.0,0.0,1.0,3,1,1.0,26,6,0,0,9,9,1.0
1,19,18,0,0,0,1.0,37,7,1996.0,2,1,533820.0,178170.0,-0.074042,51.486655,1,2,2,8.0,215.0,2.0,1.0,2,2,1.0,23,5,0,0,90,5,1.0
2,9,18,0,0,0,1.0,48,8,998.0,1,6,403750.0,281950.0,-1.946267,52.435513,20,2,1,300.0,0.0,0.0,1.0,2,1,2.0,48,8,0,0,9,6,2.0
2,9,5,0,0,0,1.0,54,8,1995.0,1,11,393143.0,285996.0,-2.102373,52.471854,20,2,2,303.0,0.0,4100.0,1.0,2,2,1.0,6,2,0,0,9,2,2.0
1,9,18,0,0,0,1.0,20,4,1998.0,1,9,519410.0,169940.0,-0.28425100000000003,51.415911,1,2,6,23.0,308.0,351.0,1.0,2,6,1.0,19,4,0,0,9,7,1.0
1,9,18,0,0,0,1.0,39,7,2435.0,2,12,418255.0,430796.0,-1.7245,53.773186,13,3,1,200.0,650.0,0.0,1.0,2,1,2.0,36,7,0,0,9,1,1.0
1,9,18,0,4,1,1.0,64,9,1390.0,1,13,652923.0,302833.0,1.7304689999999998,52.56448100000001,36,3,1,402.0,605.0,0.0,1.0,1,1,2.0,64,9,0,0,9,3,2.0
1,9,18,0,0,0,1.0,43,7,2993.0,2,11,419101.0,93443.0,-1.7306689999999998,50.740286,55,2,1,641.0,337.0,0.0,1.0,2,1,2.0,18,4,0,0,9,8,2.0
1,9,18,0,0,0,1.0,24,5,1461.0,2,1,164509.0,40153.0,-5.302185,50.21441,50,1,1,596.0,3047.0,0.0,1.0,1,1,2.0,11,3,5,4,0,4,1.0
4,9,18,0,0,0,1.0,44,7,1364.0,1,7,486930.0,242536.0,-0.733054,52.074375,43,8,4,479.0,1.0,0.0,2.0,2,1,2.0,44,7,0,0,9,6,1.0
2,9,4,0,0,0,1.0,38,7,1590.0,1,13,498570.0,248930.0,-0.561426,52.129895,40,2,4,420.0,422.0,206.0,2.0,2,3,2.0,38,7,0,0,9,8,2.0
1,9,18,0,0,0,1.0,44,7,1596.0,1,12,434795.0,120567.0,-1.505693,50.983463,44,2,2,501.0,3090.0,27.0,2.0,2,2,1.0,63,9,0,0,9,7,1.0
2,9,13,0,0,0,1.0,69,10,4921.0,2,11,577363.0,325589.0,0.629365,52.7987,36,2,1,407.0,148.0,0.0,2.0,2,1,1.0,69,10,0,0,9,1,1.0
1,9,18,0,0,0,1.0,24,5,1242.0,1,12,455587.0,342874.0,-1.173549,52.980337,31,2,1,346.0,682.0,6514.0,1.0,1,1,1.0,24,5,0,0,9,1,1.0
1,9,3,0,0,0,1.0,52,8,2143.0,2,2,427340.0,327590.0,-1.595516,52.84512700000001,30,2,1,328.0,38.0,0.0,2.0,1,1,2.0,52,8,0,0,9,4,2.0
1,19,18,0,10,7,1.0,47,8,2464.0,2,7,527974.0,409686.0,-0.06904,53.56818199999999,16,1,2,233.0,0.0,0.0,1.0,1,1,1.0,47,8,0,0,19,1,1.0
2,9,18,0,0,0,1.0,41,7,1984.0,1,23,621859.0,311327.0,1.278683,52.654259,36,2,1,404.0,1402.0,0.0,1.0,2,1,2.0,41,7,0,0,9,4,2.0
2,9,18,0,0,0,1.0,46,8,1956.0,2,3,391302.0,373772.0,-2.13185,53.260876,7,2,1,129.0,0.0,537.0,1.0,2,1,1.0,46,8,0,0,9,10,1.0
1,9,18,0,0,4,1.0,23,5,1596.0,1,8,511116.0,327678.0,-0.351984,52.835171,32,1,3,355.0,1177.0,0.0,2.0,1,3,1.0,21,5,0,0,9,6,1.0
36,9,18,0,0,0,1.0,22,5,1199.0,1,13,455113.0,220016.0,-1.200828,51.875998,43,37,36,481.0,40.0,0.0,2.0,19,11,1.0,49,8,0,0,9,10,1.0
1,9,5,0,0,0,1.0,46,8,1968.0,2,1,378560.0,425280.0,-2.3264,53.72347900000001,4,2,1,82.0,56.0,680.0,2.0,2,1,1.0,54,8,0,0,3,3,1.0
1,5,18,0,0,0,1.0,41,7,647.0,1,21,525620.0,176700.0,-0.1926,51.475323,1,1,1,11.0,217.0,0.0,1.0,1,1,1.0,41,7,0,0,5,6,1.0
1,9,18,0,0,0,1.0,41,7,1590.0,1,13,532990.0,167300.0,-0.090068,51.389167,1,2,1,20.0,0.0,213.0,1.0,2,1,1.0,16,4,0,0,1,4,2.0
2,9,18,0,0,0,1.0,60,9,1997.0,2,3,386460.0,412410.0,-2.206111,53.60806899999999,6,2,2,106.0,6222.0,0.0,1.0,1,1,2.0,46,8,0,0,9,3,1.0
2,9,10,0,0,0,1.0,19,4,1298.0,1,14,604845.0,258670.0,0.995295,52.188212,37,3,3,413.0,1308.0,1115.0,1.0,3,3,2.0,45,7,0,0,9,6,2.0
1,9,18,0,0,0,1.0,49,8,1587.0,1,14,540140.0,189800.0,0.021549,51.589631,1,2,1,14.0,0.0,0.0,1.0,1,1,1.0,49,8,0,0,9,10,1.0
1,9,12,0,0,0,1.0,40,7,2521.0,1,10,431250.0,366280.0,-1.533733,53.192694,30,2,1,327.0,5057.0,0.0,2.0,2,1,1.0,56,9,0,0,9,6,1.0
1,9,9,0,0,0,1.0,50,8,2143.0,2,5,480839.0,168778.0,-0.8390219999999999,51.41227,43,2,1,475.0,329.0,321.0,1.0,2,1,1.0,39,7,0,0,1,4,1.0
2,8,5,0,0,0,1.0,59,9,1997.0,2,7,391689.0,298770.0,-2.124102,52.58667,20,2,1,309.0,0.0,0.0,1.0,2,1,1.0,59,9,0,0,8,6,1.0
2,9,18,0,0,0,1.0,38,7,1984.0,1,14,299935.0,84131.0,-3.416719,50.648241,50,2,4,580.0,376.0,0.0,2.0,1,2,1.0,41,7,0,0,9,9,2.0
2,9,18,0,0,0,1.0,24,5,998.0,1,7,384000.0,395760.0,-2.242433,53.458344,6,2,3,102.0,0.0,5219.0,1.0,2,2,2.0,26,6,0,0,9,3,2.0
1,9,18,0,0,4,1.0,20,4,1242.0,1,4,534946.0,212908.0,-0.044449,51.798545,41,1,3,432.0,414.0,414.0,2.0,1,2,1.0,20,4,0,0,9,6,1.0
1,9,18,0,0,4,1.0,23,5,2720.0,2,8,524850.0,270930.0,-0.16958399999999998,52.322277,35,2,3,393.0,14.0,0.0,2.0,1,2,1.0,22,5,0,0,9,4,1.0
1,9,18,0,0,0,1.0,21,5,1598.0,1,12,347600.0,308680.0,-2.776385,52.673279,22,2,4,286.0,0.0,0.0,2.0,1,1,2.0,21,5,0,0,9,4,2.0
1,11,18,0,0,0,1.0,40,7,7300.0,2,12,528480.0,181110.0,-0.149838,51.514313,1,1,1,1.0,40.0,0.0,1.0,1,1,2.0,29,6,4,1,0,4,1.0
1,9,18,0,0,0,1.0,47,8,1753.0,2,6,441695.0,292067.0,-1.38688,52.52489,33,2,1,361.0,5.0,7401.0,2.0,1,1,1.0,47,8,0,0,9,3,1.0
1,9,9,0,0,0,1.0,37,7,1242.0,1,3,536140.0,190730.0,-0.035794,51.598967,1,2,1,13.0,179.0,0.0,1.0,1,1,1.0,35,6,0,0,9,3,1.0
2,9,10,0,0,0,1.0,45,7,2179.0,2,1,537463.0,227145.0,-0.0023120000000000003,51.92585800000001,41,4,2,432.0,10.0,16.0,2.0,4,2,1.0,50,8,0,0,9,3,2.0
2,9,10,0,0,0,1.0,29,6,1560.0,2,1,345710.0,405350.0,-2.820716,53.541972,4,2,2,84.0,5312.0,0.0,2.0,1,1,1.0,15,3,0,0,1,2,2.0
1,11,9,0,0,0,1.0,41,7,4461.0,2,2,433310.0,386873.0,-1.50075,53.377667,14,1,1,215.0,57.0,0.0,1.0,1,1,1.0,14,3,1,3,0,9,1.0
1,19,5,0,0,0,1.0,18,4,2198.0,2,7,266588.0,132987.0,-3.905978,51.080648,50,2,2,582.0,0.0,0.0,2.0,2,2,2.0,55,8,0,0,9,8,1.0
1,9,18,0,0,0,1.0,28,6,1995.0,2,7,540750.0,181770.0,0.027138,51.517323,1,2,1,17.0,13.0,0.0,1.0,1,1,1.0,28,6,0,0,9,4,1.0
1,9,18,0,0,0,1.0,58,9,1339.0,8,8,417001.0,433017.0,-1.743405,53.793191,13,2,2,200.0,647.0,650.0,1.0,2,1,1.0,31,6,0,0,8,1,2.0
1,8,7,0,0,0,1.0,66,10,1997.0,2,3,533340.0,182280.0,-0.079398,51.523702,1,2,1,4.0,1202.0,0.0,1.0,2,1,1.0,29,6,0,0,3,2,1.0
1,9,18,0,0,0,1.0,53,8,1796.0,2,2,511580.0,433719.0,-0.307833,53.787838,16,2,1,228.0,0.0,0.0,1.0,1,1,2.0,53,8,0,0,9,3,2.0
1,5,17,0,0,2,1.0,37,7,749.0,1,19,374960.0,414940.0,-2.380119,53.630383,6,1,1,100.0,676.0,0.0,2.0,1,1,1.0,37,7,0,0,5,10,1.0
1,9,14,0,0,0,1.0,52,8,1998.0,2,10,452927.0,305243.0,-1.219244,52.642355,33,2,1,360.0,5380.0,3103.0,2.0,1,1,1.0,30,6,5,1,0,5,1.0
2,9,3,0,0,0,1.0,38,7,1797.0,8,2,454461.0,338867.0,-1.190989,52.944436,31,2,2,346.0,52.0,6514.0,1.0,2,1,2.0,38,7,0,0,9,2,2.0
1,9,5,0,10,4,1.0,64,9,1299.0,1,12,526440.0,167620.0,-0.184038,51.393539,1,1,1,22.0,0.0,0.0,1.0,1,1,2.0,64,9,9,5,0,4,2.0
2,9,18,0,0,0,1.0,41,7,1390.0,1,10,545801.0,107993.0,0.069964,50.853084,47,2,3,554.0,27.0,0.0,2.0,2,1,2.0,41,7,0,0,9,6,2.0
1,9,12,0,0,0,1.0,19,4,1296.0,1,7,425907.0,326537.0,-1.616875,52.83573199999999,21,2,3,251.0,38.0,0.0,1.0,2,1,1.0,42,7,0,0,9,6,1.0
1,3,14,0,0,0,1.0,25,5,125.0,1,3,524050.0,175370.0,-0.215661,51.463717,1,1,1,10.0,219.0,0.0,1.0,1,1,1.0,25,5,5,1,0,5,1.0
2,9,18,0,0,0,1.0,37,7,1560.0,2,4,362890.0,228240.0,-2.541374,51.951405,22,3,1,285.0,449.0,4225.0,2.0,2,1,2.0,37,7,0,0,9,10,2.0
1,9,8,0,0,0,1.0,36,7,1595.0,1,8,328048.0,98000.0,-3.021867,50.777097,50,2,2,580.0,35.0,3261.0,2.0,2,2,2.0,51,8,0,0,9,7,2.0
1,9,18,0,10,4,1.0,28,6,1390.0,1,6,435010.0,377560.0,-1.476223,53.29385,30,1,2,327.0,61.0,0.0,2.0,1,2,2.0,23,5,0,0,9,2,1.0
1,9,18,0,0,0,1.0,50,8,1242.0,1,7,326598.0,382117.0,-3.103643,53.33085300000001,5,4,1,95.0,540.0,0.0,1.0,2,1,2.0,65,9,0,0,9,10,2.0
1,9,9,0,0,0,1.0,63,9,1598.0,2,4,408030.0,276430.0,-1.883442,52.385842,22,2,2,270.0,0.0,0.0,1.0,2,2,1.0,32,6,0,0,9,10,2.0
1,9,9,0,0,0,1.0,32,6,1598.0,1,11,617721.0,245089.0,1.174673,52.061372,37,2,1,412.0,1214.0,0.0,1.0,2,1,1.0,72,10,0,0,1,7,2.0
3,9,4,0,0,0,1.0,58,9,1461.0,2,6,440748.0,397839.0,-1.387534,53.47571,14,3,2,213.0,6090.0,0.0,2.0,3,2,2.0,58,9,0,0,9,4,2.0
2,9,4,0,0,0,1.0,58,9,1956.0,2,3,588229.0,242385.0,0.743534,52.047887,37,4,3,410.0,134.0,0.0,1.0,3,2,1.0,51,8,0,0,9,3,1.0
3,9,4,0,0,0,1.0,59,9,1796.0,1,11,389985.0,323743.0,-2.150021,52.811138,21,4,5,255.0,52.0,0.0,1.0,2,4,1.0,55,8,0,0,9,3,2.0
3,9,3,0,0,0,1.0,43,7,1995.0,2,11,336218.0,395727.0,-2.961971,53.454419,5,4,2,91.0,0.0,0.0,1.0,2,1,1.0,50,8,5,3,0,3,2.0
2,9,18,0,0,0,1.0,44,7,1299.0,1,12,454394.0,340059.0,-1.1917870000000002,52.95515699999999,31,3,1,346.0,609.0,6514.0,1.0,2,1,2.0,44,7,0,0,9,3,2.0
1,9,18,0,0,0,1.0,26,6,1598.0,1,8,545690.0,258090.0,0.130437,52.201791,35,2,1,390.0,603.0,0.0,1.0,1,1,2.0,26,6,0,0,9,7,2.0
2,9,3,0,0,0,1.0,26,6,1781.0,1,13,382236.0,219699.0,-2.259443,51.875573,53,3,2,623.0,40.0,0.0,2.0,3,1,2.0,54,8,0,0,9,4,1.0
2,9,18,0,0,0,1.0,38,7,1896.0,2,7,436322.0,569775.0,-1.433438,55.021197,10,2,4,148.0,193.0,2121.0,1.0,2,1,1.0,38,7,0,0,9,2,1.0
2,9,18,0,0,0,1.0,31,6,1248.0,2,3,445013.0,392057.0,-1.324105,53.423396,14,2,2,213.0,6123.0,0.0,1.0,1,1,1.0,51,8,0,0,9,9,2.0
2,9,9,0,0,0,1.0,23,5,1206.0,1,4,510037.0,220838.0,-0.402986,51.875266,40,2,2,421.0,505.0,505.0,1.0,2,1,2.0,23,5,0,0,9,8,2.0
2,9,3,0,0,0,1.0,73,10,1598.0,1,1,429586.0,434728.0,-1.5522049999999998,53.808008,13,2,1,204.0,660.0,0.0,1.0,2,1,2.0,58,9,0,0,9,2,2.0
1,9,18,0,0,0,1.0,27,6,1598.0,2,3,627628.0,308739.0,1.362035,52.628645,36,2,1,401.0,1042.0,0.0,2.0,2,1,2.0,22,5,0,0,9,6,2.0
1,8,1,0,0,0,1.0,47,8,1997.0,2,4,424760.0,564451.0,-1.614726,54.974063,10,1,1,147.0,1131.0,1131.0,1.0,1,1,1.0,85,11,5,3,0,9,1.0
1,9,18,0,0,0,1.0,42,7,2997.0,1,12,517240.0,177950.0,-0.31279,51.488355,1,2,2,25.0,4.0,3002.0,1.0,1,1,2.0,42,7,0,0,9,7,2.0
1,9,18,0,0,10,1.0,20,4,1497.0,1,13,453486.0,392278.0,-1.196578,53.42459300000001,14,3,1,213.0,6427.0,0.0,1.0,1,1,1.0,20,4,0,0,9,6,1.0
1,9,9,0,0,0,1.0,42,7,2143.0,2,4,287985.0,117518.0,-3.595871,50.946182,50,2,1,586.0,361.0,0.0,2.0,1,1,2.0,42,7,0,0,9,7,2.0
2,9,3,0,0,0,1.0,68,10,1560.0,2,2,419745.0,254760.0,-1.712581,52.190731,23,3,1,293.0,4390.0,0.0,1.0,1,1,1.0,66,10,0,0,9,7,2.0
1,3,18,0,0,0,1.0,23,5,124.0,1,1,521170.0,169010.0,-0.259272,51.40718,1,2,1,23.0,0.0,0.0,1.0,1,1,1.0,23,5,0,0,3,10,1.0
1,9,5,0,0,0,1.0,31,6,1598.0,1,3,530620.0,185820.0,-0.11727,51.55615,1,2,2,3.0,1.0,503.0,1.0,1,1,2.0,31,6,0,0,9,1,2.0
1,9,9,0,0,0,1.0,18,4,1360.0,1,11,459234.0,356003.0,-1.11683,53.097951,31,2,2,345.0,6020.0,0.0,2.0,2,2,1.0,40,7,0,0,9,1,2.0
1,9,1,0,0,0,1.0,47,8,1398.0,2,12,248552.0,58617.0,-4.1326839999999985,50.407855,50,2,1,583.0,0.0,0.0,1.0,2,1,1.0,44,7,0,0,9,2,2.0
1,9,9,0,0,0,1.0,21,5,1995.0,2,3,357407.0,356071.0,-2.637581,53.10012800000001,7,2,4,129.0,513.0,0.0,2.0,2,4,2.0,84,11,0,0,9,6,1.0
2,9,18,0,0,0,1.0,30,6,2521.0,1,7,546240.0,261690.0,0.140033,52.233988,35,2,1,395.0,0.0,0.0,1.0,1,1,1.0,18,4,0,0,9,10,1.0
2,9,4,0,0,0,1.0,43,7,1997.0,2,6,434668.0,197502.0,-1.500039,51.675223,43,3,1,483.0,420.0,0.0,2.0,1,1,2.0,58,9,0,0,9,10,1.0
2,9,16,0,0,0,1.0,82,11,1796.0,1,11,333530.0,260750.0,-2.974874,52.240906,22,2,4,285.0,4355.0,0.0,2.0,2,2,1.0,82,11,0,0,9,8,1.0
2,3,18,0,0,0,1.0,18,4,124.0,1,3,371810.0,410200.0,-2.42732,53.587619,6,2,1,100.0,6207.0,0.0,1.0,2,1,1.0,18,4,0,0,3,1,1.0
1,9,18,0,0,0,1.0,53,8,1796.0,1,16,536840.0,170480.0,-0.033545,51.416829,1,2,1,19.0,0.0,0.0,1.0,2,1,1.0,32,6,0,0,1,2,2.0
2,9,16,0,0,0,1.0,31,6,2199.0,2,5,489895.0,432735.0,-0.6371560000000001,53.783188,16,2,3,231.0,1230.0,0.0,2.0,2,3,1.0,3,1,0,0,9,9,1.0
1,9,4,0,0,0,1.0,31,6,1896.0,2,5,551940.0,175030.0,0.185392,51.453869,1,3,1,18.0,2186.0,0.0,1.0,3,1,1.0,66,10,0,0,9,1,1.0
2,9,17,0,0,0,1.0,59,9,1598.0,2,1,387583.0,104568.0,-2.177716,50.84050300000001,55,3,1,642.0,354.0,0.0,2.0,1,1,1.0,22,5,0,0,90,9,1.0
3,9,2,0,0,0,1.0,75,10,1598.0,1,4,389280.0,413650.0,-2.163534,53.61928,6,3,2,106.0,680.0,0.0,1.0,1,1,2.0,58,9,0,0,9,4,1.0
1,9,9,0,0,0,1.0,30,6,1796.0,1,15,538600.0,194260.0,0.0010949999999999998,51.630088,1,2,1,13.0,110.0,0.0,1.0,1,1,1.0,30,6,0,0,9,2,1.0
1,9,9,0,0,0,1.0,66,10,1198.0,1,1,618346.0,247322.0,1.185202,52.08117100000001,37,2,1,415.0,332.0,0.0,2.0,2,1,1.0,54,8,0,0,5,7,2.0
1,9,2,0,0,0,1.0,25,5,1896.0,2,9,524490.0,183070.0,-0.206616,51.53282,1,2,1,28.0,413.0,0.0,1.0,2,1,2.0,34,6,0,0,1,2,1.0
1,11,18,0,0,0,1.0,64,9,4500.0,2,3,544460.0,184350.0,0.081627,51.53957,1,1,1,16.0,0.0,0.0,1.0,1,1,1.0,28,6,1,3,0,5,1.0
1,9,11,0,0,6,1.0,56,9,1998.0,2,11,462213.0,208760.0,-1.099725,51.774063,43,4,4,484.0,40.0,0.0,2.0,3,4,2.0,40,7,0,0,9,7,2.0
2,9,5,0,0,0,1.0,19,4,1598.0,1,1,331712.0,412038.0,-3.03338,53.600439,5,2,1,93.0,565.0,0.0,1.0,1,1,1.0,37,7,0,0,4,3,1.0
1,19,13,0,0,0,1.0,23,5,2198.0,2,1,485720.0,164953.0,-0.769779,51.377169,43,2,4,470.0,3095.0,0.0,2.0,2,4,1.0,36,7,0,0,19,10,1.0
2,9,18,0,0,0,1.0,24,5,1596.0,1,11,404900.0,288920.0,-1.929251,52.498164,20,2,1,300.0,0.0,0.0,1.0,1,1,2.0,8,2,0,0,9,1,1.0
3,9,18,0,0,0,1.0,19,4,1422.0,2,1,403370.0,287730.0,-1.9518,52.487477,20,3,2,305.0,4092.0,0.0,1.0,1,1,1.0,18,4,0,0,9,3,1.0
1,9,5,0,0,0,1.0,59,9,1560.0,2,3,387490.0,421660.0,-2.19092,53.691235,4,2,2,82.0,6066.0,0.0,1.0,1,1,2.0,59,9,0,0,9,6,2.0
