CountryID,Gender,ageRDATE,p2sumstake,p2sumbet,p2sumday,p2intvday,p2bpd,p2net,Zp2bpd1m,Zp2stakeSD1m,Zp2totalactivedays1m,Zp2stakeslope1m,target
276,1,20,228.54,50,8,217,6.25,66.82,0.528423593,-0.090209468,0.288349759,0.216578906,0
276,1,42,87918.91,7595,267,698,28.44569288,7868.67,1.503807957,0.127382363,1.168302115,-0.247855067,0
250,0,50,54.24,14,6,293,2.333333333,6.4,-0.239091972,-0.241269864,-0.239621654,0.223570634,0
276,1,22,36.59,29,10,194,2.9,1.17,-0.111172711,-0.18433426,-0.415612125,-0.8630236,0
276,1,28,1297.97,272,82,690,3.317073171,-62.04,1.02730871,-0.133770298,-0.063631183,-0.297289496,0
276,1,24,161.57,64,5,57,12.8,0.28,2.111424445,-0.053161288,-0.239621654,0.103718488,1
276,1,28,3391.77,64,29,470,2.206896552,733.26,0.336544702,0.25931126,-0.591602597,-5.563797398,0
276,1,20,446.91,163,23,501,7.086956522,167.71,1.953809642,-0.03434562,0.288349759,-0.37996534,0
300,1,29,7501.7803,256,59,727,4.338983051,1237.1303,0.208625441,-0.062640933,0.112359288,0.162337425,0
276,1,47,1863.91,285,56,590,5.089285714,353.26,0.185782716,0.090134376,1.520283057,-0.000223023,0
276,1,39,21008.5943,2101,72,146,29.18055556,2134.8343,-0.38300114,0.373671555,-0.239621654,0.734341095,0
792,1,24,8779.7979,304,27,62,11.25925926,1245.6965,1.499105043,1.270487072,2.04825447,0.267962213,0
724,1,29,1639.67,128,12,320,10.66666667,116.79,-0.047213081,-0.116307643,0.288349759,0.086969438,0
276,1,43,936.1176,35,10,220,3.5,264.3576,-0.047213081,0.128675258,-0.415612125,0.658100013,1
724,1,33,654.0,50,14,198,3.571428571,254.75,-0.047213081,0.09501992,0.992311644,-0.217484941,0
792,1,28,68307.7494,1283,179,566,7.167597765,7042.7095,0.751003107,2.410129138,3.456178239,0.081171137,1
792,1,19,98.299,59,18,522,3.277777778,10.6832,-0.088329986,-0.226028146,1.520283057,-0.042600588,0
250,1,20,3152.3302,102,33,290,3.090909091,588.1402,-0.430970863,0.840688539,-0.063631183,-0.228460492,0
276,1,24,598.93,187,24,325,7.791666667,126.3,3.166758347,0.030028762,0.46434023,-0.274949772,1
250,1,33,61.5,50,5,179,10.0,13.92,1.487818049,-0.171297373,-0.239621654,0.738453256,0
300,1,28,4249.1,138,51,219,2.705882353,506.77,-0.38833111,0.139063883,0.640330701,0.28370215,1
276,1,39,668.56,768,56,58,13.71428571,87.81,1.454735481,-0.217873617,4.160140124,0.056323996,0
724,1,36,667.0,47,6,43,7.833333333,191.3,2.351273059,0.039363365,-0.591602597,0.589204421,1
276,1,19,10.1,7,5,632,1.4,-0.16,-0.558890124,-0.263905848,-0.415612125,0.10215541,0
276,1,27,5676.99,494,153,572,3.22875817,1143.63,-0.348737053,-0.239752657,0.288349759,0.072404507,0
276,1,18,19.0,8,4,368,2.0,-10.3,-0.367011233,-0.256423069,-0.415612125,0.491776423,0
276,1,38,171.06,87,20,397,4.35,24.98,0.01674655,-0.239701837,0.112359288,0.266024206,0
276,1,19,559.31,57,28,275,2.035714286,130.47,-0.526910309,-0.176002282,-0.591602597,-1.427617127,0
40,1,35,672.4,57,12,600,4.75,363.4,-0.622849754,-0.256191618,-0.591602597,-0.8630236,0
276,1,19,1409.23,107,9,401,11.88888889,112.45,1.263959343,0.492074156,0.112359288,-0.232121705,1
276,1,27,1710.52,338,98,608,3.448979592,310.71,-0.622849754,-0.244735999,-0.591602597,1.067334421,0
276,0,27,19195.88,1331,143,585,9.307692308,-1018.29,-0.156858161,0.092097205,0.288349759,0.391446298,0
276,1,19,170.94,141,32,732,4.40625,45.07,-0.494930494,-0.263905848,-0.415612125,-0.662730858,0
276,1,39,86459.25,3332,291,659,11.45017182,14909.73,-0.047213081,-0.054705267,2.04825447,0.208809162,0
276,1,39,12227.47,2465,164,486,15.0304878,2577.02,0.464463962,-0.101741883,1.696273528,0.017721888,1
250,1,28,4091.01,343,51,530,6.725490196,146.43,-0.622849754,-0.258482742,-0.591602597,-0.366368374,1
724,1,23,183.0,4,4,141,1.0,98.0,-0.622849754,-0.1366986,-0.415612125,-0.380434095,0
276,0,30,11.24,12,6,228,2.0,2.19,-0.430970863,-0.26121764,-0.063631183,0.078012924,1
250,1,20,185.0,34,9,414,3.777777778,132.5,0.14466581,-0.117203359,0.112359288,0.088900196,0
300,1,41,2868.56,76,16,330,4.75,730.7,0.528423593,1.684679915,0.46434023,0.47954314,0
276,1,24,1578.48,367,26,32,14.11538462,20.9,1.986703166,0.321815291,3.456178239,0.162140452,0
792,1,25,594.2864,180,29,514,6.206896552,135.3932,0.231883488,-0.199002265,0.992311644,0.210849692,0
276,0,35,49965.4,498,42,243,11.85714286,2552.58,0.451672036,2.049265333,-0.063631183,0.14000872,0
642,1,32,1398.32,498,82,577,6.073170732,58.82,-0.029769545,-0.197566667,0.992311644,0.293146579,0
276,0,46,2377.11,429,141,426,3.042553191,373.67,-0.18579228,-0.232498459,2.224244941,0.04198601,0
276,0,55,19055.03,4154,363,574,11.44352617,1687.0,0.680327715,-0.185624093,3.280187768,0.093204642,0
724,1,27,73.41,23,9,461,2.555555556,-10.23,-0.430970863,-0.140948086,-0.591602597,3.648444929,1
40,1,42,735.1,218,58,371,3.75862069,116.07,0.17418564,-0.191124729,1.344292586,0.147929832,0
276,0,18,1060.06,424,75,396,5.653333333,3.89,0.077925327,-0.127070541,3.104197297,-0.00733463,0
276,1,20,396.3,61,16,594,3.8125,-9.1,-0.398991048,-0.205570328,0.112359288,0.59599634,0
276,1,21,58.54,17,10,201,1.7,14.73,-0.335031418,-0.265722694,-0.591602597,0.445897941,0
276,1,18,42321.2241,1747,226,671,7.730088496,2356.7341,0.369914944,0.044467694,3.104197297,0.178162717,0
276,1,19,750.2,200,14,732,14.28571429,129.74,3.726405113,0.004935532,-0.415612125,0.800683922,0
276,1,22,729.58,66,14,323,4.714285714,59.58,0.208625441,0.501542806,-0.415612125,2.251058414,0
276,1,33,322.73,60,18,50,3.333333333,135.88,-0.032453166,-0.174144747,1.344292586,0.137662646,1
792,1,22,3986.8301,1083,234,712,4.628205128,600.4598,0.45773137,-0.172295963,2.400235412,0.061020969,0
724,0,27,6392.62,225,57,615,3.947368421,380.03,-0.281731726,-0.109267601,0.640330701,0.17517956,0
300,1,21,6436.7388,183,77,548,2.376623377,351.0188,-0.418978432,0.118736108,1.872263999,-0.020695081,0
250,1,27,190.26,65,17,218,3.823529412,61.46,0.272585071,-0.127336725,0.640330701,-0.063272618,1
208,1,50,69.7951,27,13,214,2.076923077,-19.3306,-0.367011233,-0.242510898,-0.415612125,1.349484394,0
276,1,29,115372.1412,2059,241,567,8.543568465,22160.4712,1.139593395,-0.052526608,3.808159181,0.147466342,1
276,1,19,10793.3852,523,62,667,8.435483871,1340.7052,1.249888224,0.119960771,3.456178239,0.135396491,0
300,1,24,32035.46,673,66,526,10.1969697,2485.44,3.424050497,3.361813154,0.992311644,0.440910351,1
276,0,33,321.56,201,14,62,14.35714286,41.24,0.528423593,-0.178313699,-0.063631183,-0.338490923,0
756,1,25,868.2457,224,18,305,12.44444444,29.9063,3.022849179,0.473184304,0.640330701,-0.359469822,1
276,1,26,11.26,7,4,201,1.75,5.5,-0.622849754,-0.260773866,-0.591602597,-1.17374184,1
300,1,24,2623.45,73,27,330,2.703703704,-265.44,-0.430970863,-0.001767386,-0.239621654,-0.025949087,0
616,1,26,6726.2178,815,209,698,3.899521531,227.7168,-0.085588859,-0.1008633,0.816321172,0.213194387,0
276,1,20,14951.13,780,224,640,3.482142857,1463.57,0.81624193,-0.041870837,4.336130595,0.167734601,0
276,1,49,1383.49,132,50,312,2.64,39.37,-0.335031418,-0.248593754,-0.239621654,0.495205224,1
250,1,34,502.29,69,28,310,2.464285714,-24.87,-0.197975067,-0.08427837,1.520283057,-0.132130478,0
792,1,20,3175.8703,294,43,163,6.837209302,244.4889,1.168019897,0.61272605,1.168302115,0.086240995,1
276,1,20,332.35,80,12,216,6.666666667,-20.93,0.768272207,-0.172733218,-0.239621654,-0.074249008,0
756,1,24,23575.7773,1756,54,143,32.51851852,2312.2112,3.527793629,0.585612567,2.400235412,0.121269944,0
792,1,25,202.9569,39,11,66,3.545454545,69.3342,-0.287061695,-0.178677366,-0.239621654,1.770911627,1
616,1,21,589.8523,268,66,480,4.060606061,94.6762,-0.584473976,-0.24733516,-0.063631183,-0.232722809,0
276,1,27,83.99,19,4,351,4.75,38.32,-0.111172711,-0.110178156,-0.415612125,-1.414047832,1
250,1,25,23277.7664,1943,295,749,6.586440678,1290.8964,-0.312891545,0.218005661,1.344292586,0.157772093,0
208,1,18,848.1892,14,5,255,2.8,-12.8044,0.048726365,-0.225248157,-0.591602597,0.14973636,0
276,1,29,463.62,78,16,600,4.875,101.07,0.14466581,-0.250463809,-0.591602597,-0.306319379,0
792,1,33,35.5259,25,9,177,2.777777778,10.4996,-0.184269432,-0.242395647,0.288349759,-0.440765452,1
276,1,23,150.97,93,49,319,1.897959184,13.31,-0.143152526,-0.14652446,1.520283057,-0.074943694,1
380,1,27,39651.862,1994,130,484,15.33846154,1469.772,0.108688518,-0.180796409,1.872263999,0.191987597,0
208,1,27,73.5963,7,6,229,1.166666667,-35.8766,-0.526910309,-0.16634886,-0.591602597,-2.199149038,1
380,1,42,1010.29,1661,170,511,9.770588235,345.79,2.659649849,-0.207207947,3.984149653,-0.000799688,1
756,1,34,1219.2,133,25,366,5.32,-50.33,-0.239091972,-0.160068344,0.46434023,0.247804667,1
250,1,23,61.0,66,15,56,4.4,11.88,-0.526910309,-0.263252953,0.46434023,-0.004955653,0
724,1,29,10256.4283,553,144,709,3.840277778,401.9283,-0.335031418,-0.225953399,-0.239621654,-1.014937273,0
792,1,39,557.1057,311,44,435,7.068181818,46.9819,0.516431162,-0.172853766,1.872263999,0.323636064,0
616,1,20,18206.4227,1651,173,728,9.543352601,972.9615,0.31255984,-0.078321406,0.46434023,0.822904926,0
250,1,32,204.81,72,30,451,2.4,105.94,-0.478940586,-0.255515511,-0.239621654,0.016539882,0
276,0,39,1201.46,303,29,524,10.44827586,518.52,-0.25508188,0.001956376,1.168302115,0.365955824,0
276,0,37,28.8,41,17,426,2.411764706,9.1,-0.622849754,-0.267143191,-0.591602597,0.379047073,0
276,1,30,19.64,12,6,381,2.0,2.68,-0.494930494,-0.256423069,-0.415612125,0.10215541,0
300,1,29,174.85,41,11,480,3.727272727,27.33,0.024741503,-0.208211747,0.46434023,-0.286667166,0
276,1,23,9930.37,558,51,683,10.94117647,1131.17,-0.526910309,-0.265356114,-0.591602597,-0.8630236,1
276,1,25,3990.58,432,61,682,7.081967213,4.09,1.487818049,0.493095113,0.46434023,0.727114957,0
276,1,28,1397.76,204,14,258,14.57142857,78.3,2.803559017,0.24705579,0.288349759,-0.200793853,0
276,1,40,47673.2,6510,192,313,33.90625,5977.23,2.891563621,0.194126062,2.400235412,0.255855421,1
276,0,24,127.24,178,36,650,4.944444444,20.13,-0.38833111,-0.262937977,0.640330701,0.081082324,0
276,1,26,20248.8001,1008,81,311,12.44444444,1336.2001,1.018780759,-0.144650206,0.640330701,0.217651199,1
276,1,23,2009.7,107,47,526,2.276595745,166.66,-0.546098198,-0.25919799,-0.063631183,-0.040105334,0
196,1,26,331.7651,132,45,273,2.933333333,59.3351,-0.622849754,-0.267347927,-0.415612125,0.044102676,1
705,1,25,1409.0,128,13,76,9.846153846,117.46,1.711676755,0.64936483,0.112359288,-0.070114825,0
276,1,33,501.76,198,31,408,6.387096774,77.88,1.21598962,-0.144234264,1.168302115,-0.108010215,0
276,1,18,5340.31,1575,91,197,17.30769231,309.84,4.216762279,-0.101604078,2.224244941,0.233831064,1
40,1,18,3618.93,425,30,80,14.16666667,424.49,2.994067345,1.526654498,2.576225884,-0.046872833,0
616,1,21,98.3679,93,7,317,13.28571429,20.8838,-0.111172711,-0.250252517,-0.415612125,1.371080955,1
300,1,31,148.48,11,6,425,1.833333333,95.03,-0.430970863,-0.22515322,-0.415612125,0.632779787,0
276,0,36,8107.12,249,52,547,4.788461538,1692.35,0.04415782,0.252458846,2.752216355,0.109570553,0
826,1,21,5900.56,375,42,55,8.928571429,-238.95,1.59746313,1.694045548,2.752216355,-0.056960586,0
276,1,21,150898.4008,2476,420,738,5.895238095,6778.6008,1.688418708,0.343213538,2.928206826,0.053694012,0
616,1,31,69.9144,15,6,338,2.5,22.018,-0.191122249,-0.09064754,-0.239621654,-0.551552081,0
40,1,60,59037.5899,878,54,563,16.25925926,13.3599,2.679486952,7.942163207,2.400235412,0.043690839,0
276,1,41,11258.0,1160,71,629,16.33802817,1031.6,3.086808809,0.612200475,2.752216355,0.123081707,0
276,1,24,238.99,152,8,691,19.0,-7.1,-0.143152526,-0.107268565,-0.591602597,-1.992210654,0
756,1,26,139.0378,56,7,509,8.0,68.6091,0.08070618,-0.224812103,-0.415612125,-1.507951281,0
276,1,24,3126.853,1223,152,639,8.046052632,393.663,1.860288838,-0.059169202,2.04825447,0.06281847,0
756,1,27,457.83,105,8,188,13.125,32.07,2.56233984,0.125786346,-0.063631183,-0.034116666,0
276,1,30,50.98,16,7,370,2.285714286,30.23,-0.303051602,-0.205447785,-0.415612125,0.650469449,0
792,1,23,126.5756,45,20,449,2.25,49.1049,-0.143152526,-0.242792963,-0.239621654,0.075078703,1
276,1,22,15.0,7,6,210,1.166666667,-0.14,-0.574880032,-0.263905848,-0.239621654,0.488227014,0
792,1,22,4899.7518,110,23,459,4.782608696,220.8133,0.944161191,1.754719911,0.112359288,0.068693688,1
276,1,52,28887.7681,1329,168,336,7.910714286,619.6881,0.427434703,0.066889583,2.400235412,0.073420672,0
276,1,32,527.51,199,41,580,4.853658537,58.32,0.208625441,-0.206034808,0.112359288,-0.462764476,0
616,1,25,1115.265,119,33,148,3.606060606,8.7153,-0.128004193,-0.00803733,2.400235412,0.205349109,0
276,1,24,6306.83,80,33,220,2.424242424,323.12,-0.622849754,0.698356824,0.112359288,0.555271334,1
276,1,43,802.25,164,60,334,2.733333333,-89.75,-0.095182804,-0.223905368,-0.239621654,-0.047466358,0
276,1,21,33478.9665,922,74,492,12.45945946,1921.3065,-0.38300114,-0.081402679,-0.239621654,0.426255504,0
250,1,30,1226.6,103,41,449,2.512195122,455.32,-0.398991048,0.063511191,0.112359288,-0.888222881,1
276,1,21,233.26,36,16,449,2.25,137.16,0.14466581,-0.220450085,-0.591602597,-0.883755382,0
276,1,33,78088.8,3842,127,515,30.2519685,-1494.79,4.619776725,0.126748933,4.512121066,0.122001103,1
196,1,19,423.0,37,11,64,3.363636364,37.75,-0.123964637,0.099708838,0.816321172,0.239172329,1
276,1,51,5423.35,734,241,380,3.045643154,267.01,-0.513204674,-0.256535329,1.520283057,-0.002368832,0
792,1,34,58487.3413,1479,124,623,11.92741935,5946.7501,0.087102143,2.533102802,0.816321172,0.456543196,0
40,1,20,7283.26,98,17,349,5.764705882,300.97,0.14466581,0.603208958,-0.591602597,-3.543718075,1
792,1,26,408.5221,71,16,381,4.4375,41.1098,0.240605256,0.23502443,-0.591602597,-2.488869249,0
208,1,18,105.0131,142,35,350,4.057142857,35.8385,-0.143152526,-0.240198494,1.520283057,0.022041372,0
276,1,26,1217.0002,631,60,558,10.51666667,250.2202,3.022849179,-0.223298259,-0.239621654,-0.272585112,0
276,1,20,208.91,96,34,342,2.823529412,-7.0,0.106290032,-0.196237832,1.696273528,-0.236088196,0
756,1,35,29325.5592,673,138,327,4.876811594,3533.4201,-0.542900216,0.610314775,1.168302115,-0.170340353,1
276,1,25,177.7,35,28,362,1.25,40.35,-0.590869939,-0.254419428,0.112359288,0.129731954,0
276,1,22,17.48,13,4,230,3.25,15.83,-0.111172711,-0.247144423,-0.415612125,1.020541707,1
276,1,19,17672.4933,457,76,721,6.013157895,1497.7933,0.233225299,2.161652609,1.344292586,0.192000941,0
208,1,31,707.1551,319,36,305,8.861111111,45.8364,1.924875523,-0.084024199,2.224244941,-0.00872225,0
276,1,23,11140.84,3772,221,604,17.0678733,528.17,4.064477445,-0.186894116,0.288349759,0.139003127,0
300,1,29,7.64,7,4,89,1.75,0.88,-0.494930494,-0.259907352,-0.415612125,-0.678829367,1
208,1,22,1276.7407,25,14,315,1.785714286,497.3882,-0.558890124,1.444973045,-0.415612125,1.505067552,1
276,1,22,1076.192,184,36,144,5.111111111,174.092,-0.239091972,-0.093700386,0.112359288,0.146014461,1
276,1,25,14487.6482,329,39,544,8.435897436,-126.1618,1.439848326,2.198899426,-0.239621654,1.782208087,0
616,1,24,486.2508,24,14,348,1.714285714,-23.0451,-0.50772242,-0.098339154,-0.063631183,-0.772494182,0
616,1,20,178.6569,145,35,172,4.142857143,35.0844,0.349336628,-0.237672865,1.696273528,0.14923826,1
276,1,47,733.51,271,51,258,5.31372549,114.61,0.254310891,-0.169052179,1.520283057,0.369138269,1
578,1,38,6398.7618,421,42,350,10.02380952,2001.9016,3.102798717,0.32919385,1.168302115,-0.013568652,1
616,0,18,91.2733,90,22,363,4.090909091,-4.33,-0.143152526,-0.2527531,-0.591602597,2.870041006,0
276,1,23,17.01,13,8,362,1.625,2.55,-0.485793403,-0.252177081,0.288349759,0.088589893,0
276,1,27,9004.22,541,96,380,5.635416667,491.87,-0.430970863,-0.233356835,-0.415612125,1.349631184,0
208,1,31,279.06,44,10,474,4.4,-51.53,0.451672036,0.07313558,-0.063631183,-0.375319047,0
276,1,19,171502.31,5146,307,563,16.76221498,1298.4,3.976053993,1.526293294,4.512121066,0.201000026,0
300,1,32,28.33,6,4,42,1.5,28.33,-0.494930494,-0.20413844,-0.415612125,2.187872551,0
792,1,24,1379.9475,271,32,127,8.46875,175.6724,0.728645045,-0.000709451,3.104197297,0.063896818,1
276,1,32,286.85,69,12,585,5.75,50.46,0.688322669,-0.125093278,0.112359288,-0.601594819,0
792,1,18,83.3529,47,14,403,3.357142857,15.5059,-0.321325782,-0.230763823,0.288349759,-0.488588948,0
276,1,22,89.2,108,37,487,2.918918919,12.94,-0.207112157,-0.260353927,0.112359288,0.02766033,0
470,1,23,3231.97,508,76,484,6.684210526,140.25,1.018780759,-0.19377811,0.640330701,0.031205294,0
792,1,29,81275.8073,830,118,322,7.033898305,10530.9155,-0.526910309,-0.062911489,-0.591602597,-8.030303875,1
724,1,27,128857.53,1827,201,330,9.089552239,14059.61,0.178526791,0.11596025,2.04825447,0.043854725,1
40,1,42,409.0,23,11,363,2.090909091,218.5,-0.392595085,0.033376955,0.816321172,0.460077017,0
276,1,31,762.4,754,116,590,6.5,72.39,2.111424445,-0.188592643,3.984149653,0.021686636,0
196,1,22,299.79,225,31,101,7.258064516,16.68,0.881884708,-0.183874088,2.400235412,0.151930584,1
276,1,27,77.27,114,19,53,6.0,4.58,0.432484147,-0.233027697,1.168302115,0.057750156,1
792,1,26,475.8722,54,11,389,4.909090909,45.2327,0.304564886,-0.10332429,0.112359288,0.71866281,1
276,1,31,3050.54,110,18,152,6.111111111,334.0,1.487818049,1.30406376,-0.591602597,-2.626760264,1
191,1,40,391628.331,2724,252,502,10.80952381,19886.281,0.88020156,5.470081084,4.336130595,0.100069699,0
276,1,19,191.9,83,11,430,7.545454545,17.83,2.025078944,-0.119778989,-0.063631183,1.132901976,0
